datetime,tempmax,tempmin,temp,humidity,precip
2010-01-01,51.2,34.4,43.8,69.9,0.044
2010-01-02,41.3,28,33.4,54.8,0
2010-01-03,40.5,24.6,30.3,47,0
2010-01-04,34.1,22.9,27.7,48.1,0
2010-01-05,37.7,18.1,27.1,48.3,0
2010-01-06,42.6,17.9,29,48.9,0
2010-01-07,39.6,22.9,31.7,76.8,0.102
2010-01-08,30,19.5,25,59.6,0
2010-01-09,35.7,17,26,59.6,0
2010-01-10,37.5,17.7,26.8,58.4,0
2010-01-11,46,15.9,30.1,56,0
2010-01-12,46.6,24.9,34.7,57.6,0
2010-01-13,48.6,23.1,33.6,63.1,0
2010-01-14,54.9,25.9,38,68.1,0
2010-01-15,64.2,28.5,45.1,66.2,0
2010-01-16,58.6,48.4,55.7,85.3,0.697
2010-01-17,60.6,47.8,53,86.1,0.013
2010-01-18,62.9,41,51.1,78.8,0
2010-01-19,66.1,36.2,49.7,80.9,0
2010-01-20,63.7,41.9,52.9,93.5,1.292
2010-01-21,70.9,52.2,60,89.5,1.394
2010-01-22,64.3,43.7,53,81.6,0
2010-01-23,51.9,44.7,49,88.1,0
2010-01-24,71.4,51.6,58.2,89.7,1.985
2010-01-25,57.2,43.1,50.4,61.1,0.01
2010-01-26,55.5,35.9,45.3,53.7,0
2010-01-27,55,33,41.7,61,0
2010-01-28,64,31.9,45.9,70.9,0
2010-01-29,54.4,42,48.4,75.4,0.457
2010-01-30,53.4,33.6,44,88.1,0.253
2010-01-31,44.7,31.4,35.9,73.3,0
2010-02-01,49.6,30.5,41.4,73.1,0
2010-02-02,57.8,41.2,49.6,77.8,0.002
2010-02-03,57.6,37.2,47.2,64,0
2010-02-04,51.4,44.1,47.4,82.4,0.897
2010-02-05,55.7,48,51.6,92,1.479
2010-02-06,48,39.3,43,71.9,0.001
2010-02-07,39.5,35.7,37.6,67.3,0
2010-02-08,56.4,29.5,41.6,72,0
2010-02-09,50.6,32.3,42.9,81.4,0.15
2010-02-10,42.4,26.7,34.1,53,0
2010-02-11,46,30.6,37.9,54.3,0
2010-02-12,40.6,30.7,35.2,78.9,0.333
2010-02-13,46.6,26.4,35.9,70.1,0
2010-02-14,57.1,26.9,43.3,69.3,0
2010-02-15,48.1,32.3,39.7,65.2,0.253
2010-02-16,42.9,24.4,32.9,56.7,0
2010-02-17,49.4,28.7,37.9,60.7,0
