datetime,tempmax,tempmin,temp,humidity,precip
2010-01-01,67.7,41.1,54.2,27.5,0
2010-01-02,69.6,46.1,57.5,29.3,0
2010-01-03,71.2,44,56.1,32.9,0
2010-01-04,73,46.4,60,23.6,0
2010-01-05,71.5,44.8,58.3,30.6,0
2010-01-06,67.9,44.6,56.2,35.8,0
2010-01-07,67.8,48,56.4,36.3,0
2010-01-08,69.2,46.2,57.6,32.6,0
2010-01-09,69.5,46,56.9,24.5,0
2010-01-10,69.5,47.9,57,27.5,0
2010-01-11,73.1,44.8,58.1,26.5,0
2010-01-12,74.8,48.7,61.1,20.8,0
2010-01-13,71,53.6,61.3,24.4,0.001
2010-01-14,71.4,48.1,59.5,42.5,0
2010-01-15,71.7,48.4,60.6,31.6,0
2010-01-16,69.3,53.2,59.4,30.7,0
2010-01-17,67.7,48.2,57.7,32.9,0
2010-01-18,57.4,51.3,55,51.1,0.023
2010-01-19,65.9,53.1,57.2,72.4,0.913
2010-01-20,62.4,47.8,55.6,60.9,0.004
2010-01-21,60.7,51.6,56.4,81.9,1.357
2010-01-22,58.5,47.8,52.2,73.4,0.186
2010-01-23,55.3,45.9,49.7,70.4,0.033
2010-01-24,56.9,40.6,48.8,62.1,0
2010-01-25,60.7,42.4,50.8,56.9,0
2010-01-26,66,46.4,54.8,54.4,0
2010-01-27,62.3,53.1,56.9,60.2,0.007
2010-01-28,62.4,51.7,56.5,73.9,0.036
2010-01-29,65.7,51.1,57.2,69.3,0
2010-01-30,66.3,49.9,57.7,54.9,0
2010-01-31,69,47.9,57.4,56.4,0
2010-02-01,66.1,48.1,57.1,55.4,0
2010-02-02,71.4,51.7,60.7,49.7,0
2010-02-03,69.6,53.7,61.1,51.9,0.011
2010-02-04,65.6,50,57.8,61.4,0
2010-02-05,67.6,49.8,58.8,58.3,0
2010-02-06,67.6,51.5,59.5,53.7,0
2010-02-07,61.8,49.8,55.4,60.6,0.066
2010-02-08,62.4,46.3,54.5,55.7,0
2010-02-09,65.6,46,55.4,50.4,0
2010-02-10,60.1,51.1,53.9,61.1,0.019
2010-02-11,63.1,44.4,53.5,68.8,0
2010-02-12,66.1,47.7,56.6,60.9,0
2010-02-13,71.5,47.7,59.3,52.6,0
2010-02-14,75.3,49.6,62,41.9,0
2010-02-15,74.7,53.1,64.4,29.5,0
2010-02-16,75.3,54.9,64.7,30.6,0
2010-02-17,76.6,51.7,64.4,32.4,0
2010-02-18,74.6,51.6,62.5,38,0
2010-02-19,73.4,51.6,62.5,39.3,0
2010-02-20,59.9,51.5,55.4,61.9,0.1
2010-02-21,62.3,51.6,55.7,73.9,0.24
2010-02-22,60.1,47.8,54,64.4,0.141
2010-02-23,60.6,42.4,51.6,37.6,0
2010-02-24,66,48.1,57.2,38.7,0
2010-02-25,71.1,51.3,60.6,41.9,0
2010-02-26,69.3,51,60.2,35.1,0
2010-02-27,71,52.9,60.4,39.3,0.004
2010-02-28,58.5,49.7,53,89.1,0.777
2010-03-01,65.7,48.1,57.2,69.5,0
