datetime,tempmax,tempmin,temp,humidity,precip
2010-01-01,55.6,48,51.7,84.9,0.097
2010-01-02,57.4,44.6,51.6,90.1,0.001
2010-01-03,51.3,38.9,46.8,92.3,0.001
2010-01-04,53.5,42.5,48.4,83.9,0
2010-01-05,47.9,39.6,44.2,92.1,0
2010-01-06,47.9,44.3,46,85.6,0
2010-01-07,48.2,44.5,46.1,89,0
2010-01-08,51.2,40.8,46.2,88.9,0.051
2010-01-09,49.8,44.6,47,91.8,0
2010-01-10,48.4,44.6,46.4,92.8,0.001
2010-01-11,48.4,44.3,45.9,92.3,0
2010-01-12,62.3,44.5,54.2,81.7,0.309
2010-01-13,62.3,46.6,55.3,80.1,0.633
2010-01-14,58.8,40.8,48.4,84.3,0.001
2010-01-15,55.2,40.8,47.9,85.4,0
2010-01-16,51.5,40.8,46.4,92.2,0.001
2010-01-17,53.1,48.4,50.5,88.6,0.136
2010-01-18,56.9,50.2,52.8,79.3,0.566
2010-01-19,53.1,46.1,50.2,79.7,0.866
2010-01-20,53.1,46.6,49.2,80.3,0.915
2010-01-21,48.4,42.8,46.2,84.5,0.674
2010-01-22,46.2,39.2,43.7,86,0.031
2010-01-23,55.1,39.4,46.2,83.3,0.126
2010-01-24,51.2,38.9,45.5,79.9,0.008
2010-01-25,53.1,46.2,49.1,83,0.404
2010-01-26,51.5,47.7,49.6,86.1,0.047
2010-01-27,55.1,34,44.8,86.9,0
2010-01-28,55.6,37.9,47.8,85.1,0.001
2010-01-29,56.9,44.6,50.5,85.5,0.031
2010-01-30,60.5,44.3,52.2,79.1,0
2010-01-31,57.4,37.6,47.7,82.1,0.001
2010-02-01,58.6,44.8,50.7,81.1,0
2010-02-02,55.1,43.8,48.9,86.9,0.03
2010-02-03,60.9,42.7,51.9,81,0
2010-02-04,57.2,48.4,52.5,81.8,0.392
2010-02-05,60.8,51.5,55.7,79.5,0.188
2010-02-06,55.2,46.4,52.6,83.1,0.164
2010-02-07,57.6,44.7,50.7,83,0
2010-02-08,55.8,42.8,49.4,83.5,0.038
2010-02-09,53.8,44.3,49.6,84.5,0.258
2010-02-10,56.9,39.2,48.1,83.1,0
2010-02-11,59,48,52.6,76.7,0
2010-02-12,62.5,51.5,55.6,75.3,0
2010-02-13,62.5,44.1,52.9,84,0.012
2010-02-14,64.1,42.5,51.2,86.7,0
2010-02-15,66,46.2,56.1,78.5,0
2010-02-16,66.4,46.4,55.2,81.6,0.001
2010-02-17,67.8,44.3,55.3,83.6,0.001
2010-02-18,66,46.1,54.6,86.8,0.001
2010-02-19,57.4,46.4,52.1,83,0
2010-02-20,55.8,43.2,49.9,82.6,0
2010-02-21,53.6,42.8,48.8,80.1,0
2010-02-22,60.7,39.4,49.2,68.5,0
2010-02-23,51.5,46.4,48.6,82,0.645
2010-02-24,57.4,49.8,52.7,82.6,0.024
2010-02-25,58.8,44.3,52,84.5,0
2010-02-26,58.8,46.6,53.8,81.4,0.38
2010-02-27,60.2,44.5,51.5,84.5,0.246
2010-02-28,62.5,37.6,51.1,79.6,0.001
2010-03-01,62.3,44.1,53.9,80.2,0
2010-03-02,57,48.6,53.1,83.6,1.227
2010-03-03,55.4,44.6,48,84.7,0.872
2010-03-04,56.7,39.2,46.8,78,0
2010-03-05,57.2,37.6,47.6,76.9,0
2010-03-06,64.4,46.6,53.4,73,0
2010-03-07,65.9,39.4,53,75.9,0.001
2010-03-08,57.4,42.2,49.4,70.1,0
2010-03-09,55.4,35.6,45.7,69.3,0.014
2010-03-10,55.6,39.4,47,71.2,0.059
2010-03-11,60.5,35.8,48.4,68.1,0
2010-03-12,53.3,43.2,48.8,80.8,0.376
2010-03-13,56.9,33.8,46.4,66.1,0
2010-03-14,62.6,38.9,50.5,54.3,0
2010-03-15,69.7,39.4,54.1,68.4,0
2010-03-16,71.6,46.1,58.1,70.2,0
2010-03-17,73.8,51.8,61.4,65.8,0
2010-03-18,75.2,44.3,59.8,58.5,0
2010-03-19,75.4,46.4,61.1,43.6,0
2010-03-20,69.5,46.4,58.5,65.8,0
2010-03-21,71.5,46.8,57.2,71.2,0
2010-03-22,69.3,44.3,56.3,68.7,0
2010-03-23,71.8,49.8,59.9,45.1,0
2010-03-24,69.2,46.6,55.9,66.5,0.001
2010-03-25,62.1,48,53.8,72.2,0.03
2010-03-26,64.6,38.9,51.1,64.7,0
2010-03-27,69.3,44.1,55.2,61.4,0
2010-03-28,73.1,47.3,58.8,61.6,0
2010-03-29,62.6,51.5,57.5,73.6,0
2010-03-30,60.5,47.9,54.7,67.3,0.074
2010-03-31,57,42.5,48.9,72.4,0.194
2010-04-01,60.2,39.7,50.1,71.7,0.001
2010-04-02,53.3,42.8,47.9,80.6,0.105
2010-04-03,57.4,37.6,47.3,74.2,0
2010-04-04,55.2,44.1,47.8,78.6,0.874
2010-04-05,58.8,42.7,49.8,69.3,0.011
2010-04-06,64.1,37.1,50.6,66.8,0
2010-04-07,69.8,39.7,56.4,62.4,0
2010-04-08,71.3,46.6,57.9,64.3,0
2010-04-09,73.3,47.9,59.2,39.5,0
