Territorial emissions in MtCO₂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,"Bonaire, Saint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,Côte d'Ivoire,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mexico,Micronesia (Federated States of),Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North Korea,North Macedonia,Norway,Occupied Palestinian Territory,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Republic of South Sudan,Romania,Russian Federation,Rwanda,Réunion,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
2010,8.3648,4.7839,118.3533,0.51662,22.9833,0.1319,0.5496,185.8543,4.2527,2.5062,405.5122,72.0173,27.5491,2.2277,29.0754,53.9916,1.8451,62.4451,114.6041,0.53861,4.6794,0.60822,0.48777,14.7188,0.054346,21.1457,4.5373,440.269,0.21251,8.0174,47.8084,2.0364,0.29678,5.0781,8.3833,556.0621,0.55693,,0.16854,1.236,71.3475,8620.6268,76.2665,0.16122,5.4999,0.07328,7.4926,21.0182,34.1998,4.0547,8.1011,117.4907,6.2247,2.7369,49.1897,0.51662,0.17221,20.5535,36.2764,203.6076,6.3186,6.4022,0.49734,18.9754,6.3369,0.63021,,1.0918,64.081,376.5639,,0.92333,5.8361,0.42502,6.208,831.1296,8.9425,,97.3542,0.6794,0.26014,,11.0977,2.4842,0.23816,1.887,2.1368,7.9966,40.0629,52.0875,3.6274,1677.3372,445.8061,552.9531,113.5363,41.7932,68.2869,436.5343,7.6773,1214.7075,20.6153,248.8032,12.1632,0.058624,8.3547,90.8699,6.3557,3.0045,8.5553,19.9966,2.2753,0.7569,61.0856,0.19083,13.8032,11.1976,1.2348,1.8718,0.9685,199.3461,0.93432,2.0885,2.6028,0.13557,,2.0935,3.9132,456.5974,0.10259,4.8309,13.7723,2.4219,0.058624,54.3652,2.6345,13.1216,2.8396,0.043968,4.8243,182.359,3.6576,34.8104,4.4678,1.16,111.4268,0.003664,50.0911,8.1855,45.621,2.0335,51.1491,153.9087,0.20885,9.0721,4.7147,5.0218,42.5051,83.0634,334.2246,52.934,73.4216,1.3133,86.0941,1632.7832,0.58098,,0.010992,0.21984,0.48731,0.065952,0.21984,0.1832,0.10259,524.6041,6.8624,45.6964,0.44334,0.54227,43.0483,38.4086,16.4597,0.32976,0.61189,462.9997,594.3391,282.9371,13.051,15.026,2.3701,0.99661,53.1204,45.0433,61.7219,270.148,2.5364,6.923,241.019,0.31313,2.5957,0.11725,47.1118,28.1378,316.193,59.1841,0.28213,0.010992,3.5696,294.3658,184.8423,511.9046,5679.7152,6.298,107.6659,0.12091,189.3167,139.5638,0.029312,,25.7134,3.1203,8.754
2011,11.8383,5.3147,125.0946,0.49098,23.397,0.12458,0.54594,189.6761,4.9689,2.4988,404.2568,69.9093,30.2098,2.1141,28.4676,56.5563,1.9415,61.3076,105.0686,0.55326,4.4797,0.44334,0.73202,15.9487,0.069331,23.7613,4.0288,462.58,0.21251,9.5554,53.1248,2.1309,0.34075,5.2747,8.105,565.254,0.61555,,0.18686,1.2729,78.0715,9532.4091,76.2242,0.1429,5.0464,0.080608,7.3108,20.6502,29.4311,5.1727,7.7876,115.202,6.5232,3.0423,44.2369,0.47266,0.15389,21.3179,38.2639,216.9173,6.4994,6.0945,0.57782,18.9564,7.4025,0.56792,,0.99862,56.638,354.0891,,0.88669,5.8279,0.44334,7.8045,807.6139,10.3355,,94.5052,0.72608,0.25282,,11.2373,2.5941,0.24182,1.9602,2.2729,8.8603,43.1497,50.2531,3.5047,1764.7124,500.7246,566.2888,122.9373,38.0564,68.5947,424.7392,8.2556,1264.6312,21.2438,238.9877,13.4476,0.05496,8.2945,87.9167,7.6202,3.1701,7.8119,20.2641,3.0631,0.84805,55.8615,0.17678,13.961,11.1024,1.2934,2.3739,1.0562,203.4523,0.98562,2.279,2.5839,0.13923,,2.2302,3.9168,483.4047,0.11725,4.945,21.3679,2.4072,0.03664,54.8676,3.1066,15.122,2.7821,0.040304,5.2204,169.1238,3.6944,34.2651,4.8059,1.3167,125.4293,0.007328,36.1859,8.8376,44.747,2.246,56.9835,154.6509,0.21618,9.9529,5.2984,5.1987,42.1731,83.908,333.5988,51.7398,81.4933,1.2812,92.8035,1685.9096,0.64358,,0.010992,0.23083,0.48731,0.065952,0.21618,0.19053,0.098928,502.9261,7.8188,48.9571,0.4067,0.71082,34.0166,37.9886,16.3588,0.34442,0.61189,465.9078,623.4428,283.7993,14.8862,14.6684,2.755,1.0076,49.211,40.9811,58.8356,276.283,2.3407,7.5239,244.8782,0.43389,2.5039,0.10259,47.0673,26.4364,342.0573,65.1551,0.28213,0.010992,3.8241,308.3764,197.5731,469.7133,5546.1161,7.6526,116.7561,0.13557,168.4131,152.5603,0.025648,,22.5153,3.3724,10.3632
2012,10.0353,4.8501,135.6743,0.48731,25.941,0.12091,0.55693,191.2921,5.7483,1.3484,406.5797,67.2829,32.7733,2.0518,27.119,60.7078,1.8034,62.5453,102.4045,0.45067,4.4025,0.3664,0.83519,17.5353,0.084272,22.1342,5.0767,498.309,0.21251,9.4998,48.29,2.6189,0.35202,5.576,7.6034,565.7817,0.50197,,0.19053,1.7429,79.6208,9779.3544,80.2553,0.15389,5.0195,0.084272,7.2601,19.0812,29.8386,6.2874,7.2628,111.2984,8.54,2.7987,39.8613,0.48731,0.16488,21.2548,37.4088,213.7335,6.4719,6.9007,0.60823,17.7718,8.1087,0.5899,,0.96891,51.146,356.4445,,0.8757,5.6298,0.44701,8.2545,812.8155,12.6443,,91.3926,0.57976,0.27114,,11.5766,2.4219,0.24549,1.9602,2.2642,9.2183,42.7421,46.8187,3.5013,1925.6997,515.9542,588.3648,133.4211,38.2272,74.7848,404.2606,7.9128,1305.8836,23.8146,246.3453,12.5057,0.051296,7.8478,101.7661,10.0867,3.398,7.5206,22.332,3.0924,0.96265,55.2788,0.18533,14.056,10.872,1.1322,2.7442,1.0661,212.99,1.1102,2.4366,2.717,0.13557,,2.4476,3.9644,501.5688,0.12458,4.7657,34.9999,2.2131,0.040304,56.9535,3.0547,11.8185,3.3551,0.043968,5.4703,165.4818,3.7056,35.9442,4.5498,1.8445,109.0659,0.007328,37.5651,8.4858,44.228,2.2017,62.7135,154.8856,0.2235,9.7681,5.0686,5.1733,45.5087,88.6286,325.9533,49.8986,93.321,1.33,91.1267,1701.2683,0.71847,,0.010992,0.21984,0.49098,0.065952,0.23083,0.18686,0.10992,566.8255,7.3621,43.7442,0.42502,0.83173,50.7061,35.9133,15.7596,0.34808,0.60822,458.9542,627.943,278.0604,15.7981,15.2134,2.4921,1.1688,46.7121,42.2487,45.8502,272.739,2.9334,8.785,262.3476,0.5913,2.2156,0.10626,46.1759,28.4559,356.1072,66.9386,0.28213,0.010992,3.627,304.4241,207.3923,487.4768,5344.086,8.5918,118.8547,0.11725,175.7196,144.2772,0.025648,,20.3558,4.1658,11.2538
2013,9.2505,5.2875,140.7864,0.47632,25.7097,0.11725,0.55693,189.5377,5.535,0.86104,399.288,67.776,33.5552,2.0299,31.1577,61.799,1.8221,64.1256,102.7147,0.43968,4.566,0.53494,0.9182,17.769,0.084272,21.801,5.6631,532.418,0.21251,7.6261,42.5867,2.8638,0.35907,5.6367,7.8495,569.5397,0.49464,,0.11725,2.0785,81.7368,9956.3762,88.1047,0.1832,5.8923,0.084272,7.6315,18.4322,28.1249,5.9284,6.5826,106.7327,9.6798,3.9216,41.763,0.55669,0.15755,21.267,39.655,211.4189,6.0945,8.1962,0.56951,19.6604,9.781,0.64853,,1.1061,51.715,358.4874,,0.87936,5.9268,0.42502,8.0125,833.8044,12.6063,,81.7133,0.56296,0.30411,,12.8117,2.1105,0.24549,1.9053,2.7062,9.3649,44.3069,43.6696,3.4901,1995.0981,489.0551,597.9523,141.0526,37.2819,63.0953,370.2535,8.4922,1315.192,23.8182,255.1649,13.458,0.051296,7.9694,83.7233,9.7338,4.2612,7.3697,22.1634,2.334,0.87426,43.4584,0.19254,13.1542,10.3387,0.98928,3.2076,1.1459,241.6711,1.0919,2.7434,2.3792,0.13923,,2.1689,4.067,495.4852,0.13557,4.8994,43.478,2.1508,0.047632,56.6064,3.5818,12.7222,2.5677,0.047632,6.2178,164.8742,3.9701,35.2402,4.6054,2.0784,116.3448,0.007328,27.0136,7.4892,44.516,2.4373,65.2514,151.5246,0.22717,10.5133,5.4296,5.1721,43.0239,96.0359,321.927,48.1027,82.8081,1.4436,79.3656,1640.4374,0.78227,,0.010992,0.2235,0.48731,0.065952,0.21984,0.19419,0.10992,544.5636,7.8527,44.5691,0.41403,1.0479,54.9087,35.5695,15.1283,0.37373,0.63021,458.6282,634.5807,251.9403,14.5105,17.0079,3.1474,1.3996,45.2021,43.1825,34.0429,273.873,2.9069,9.687,263.7535,0.61874,1.6426,0.11358,45.8236,28.333,347.3318,64.3396,0.28579,0.010992,3.7545,297.479,213.3351,477.6113,5480.1565,7.4924,112.282,0.10992,198.427,151.438,0.021984,,27.1604,4.4162,11.6714
2014,9.1703,5.9997,151.2828,0.46166,24.7677,0.12091,0.56792,188.3965,5.6041,0.87203,393.0494,64.1759,34.3484,2.1361,30.8997,66.009,1.6901,63.6489,97.0292,0.46899,4.796,0.67051,1.0282,19.8879,0.084272,19.3118,6.8502,557.901,0.21618,8.831,45.1618,2.9115,0.34808,6.8343,8.7715,566.353,0.48731,,0.12458,2.1828,77.5899,9998.674,98.2841,0.16122,5.4696,0.080608,7.7483,17.6816,27.6083,6.7967,6.9508,104.2562,9.9032,5.067,37.5714,0.38831,0.16488,21.8006,43.7314,226.8993,6.1512,7.6722,0.56911,18.8283,12.0165,0.59723,,1.2516,47.619,327.0095,,0.85005,6.3694,0.50563,8.9387,794.7385,13.2525,,78.6365,0.52261,0.2345,,13.8271,2.1654,0.26014,1.972,2.7046,9.4812,45.4918,43.7918,3.4467,2148.3437,487.89,632.6733,137.0211,36.8532,60.2823,350.1267,7.6975,1264.0719,25.8988,274.2897,14.5315,0.058624,7.1327,75.6235,10.2364,4.4497,7.1732,23.992,2.4732,0.82146,60.6021,0.16126,12.8549,9.8235,1.2934,3.1579,1.0408,245.0497,1.3154,3.1356,2.3644,0.1429,,2.5664,4.2063,484.1137,0.13557,4.7588,29.6261,2.1068,0.047632,57.1749,8.1221,15.8493,3.678,0.051296,7.5913,157.4676,5.0091,35.438,4.7451,2.2563,122.9804,0.010992,30.5436,7.2034,44.958,2.8366,65.8966,156.5293,0.21984,10.8554,6.6598,5.4582,49.3883,101.4836,309.5824,47.885,91.1776,1.5206,79.1269,1639.9591,0.8298,,0.010992,0.23083,0.48365,0.065952,0.25282,0.20152,0.12824,612.8419,8.7244,37.208,0.458,1.1285,52.1094,33.6586,13.5613,0.32976,0.63021,471.866,629.3665,254.1797,17.42,17.5356,3.2007,0.76944,43.4734,39.2286,30.943,276.371,4.6001,9.1984,272.4877,0.62426,1.5419,0.11358,46.8917,29.6921,364.0283,62.7993,0.30778,0.010992,4.0897,257.639,209.983,438.8071,5528.6811,6.6843,107.3995,0.15755,175.9614,181.8429,0.021984,,26.4766,4.8766,11.9461
2015,9.7911,4.7121,160.0875,0.46533,26.0304,0.13923,0.58258,191.7438,5.4693,0.89768,401.3784,66.3656,34.683,2.246,32.4597,73.1576,1.6864,58.7989,101.1456,0.6412,5.3289,0.53861,1.0565,19.8865,0.095264,18.4605,5.4212,529.353,0.22717,6.9333,48.121,3.715,0.35541,8.3656,9.8507,570.6803,0.49098,,0.17954,2.3517,81.7822,9866.9514,96.7742,0.17954,5.6333,0.080608,7.406,17.8247,29.4686,7.328,6.9716,105.0223,9.5547,3.2766,35.1106,0.43164,0.17587,23.4946,41.2757,224.4797,6.6678,7.0335,0.55435,15.824,12.6964,0.60822,,1.3199,44.186,331.4144,,0.84638,6.4756,0.58258,9.7562,798.0847,14.5681,,74.9276,0.52571,0.26014,,15.9519,2.4512,0.27846,2.0033,2.6607,10.348,42.3999,46.7174,3.5437,2234.2195,539.1492,631.5812,141.9866,38.7185,62.9391,361.9359,7.9989,1223.1687,25.5499,278.6613,16.9985,0.05496,8.2906,93.6606,10.2648,9.2293,7.2635,25.7346,2.2424,0.46722,54.5507,0.15977,13.0555,9.351,1.7697,3.2275,1.0829,235.5057,1.2787,3.2816,1.6653,0.1429,,3.0025,4.2099,479.5198,0.1429,4.7818,23.2823,2.2387,0.05496,58.4952,6.7306,21.8871,3.8513,0.05496,6.9047,163.8022,4.8769,35.8121,5.431,2.2061,109.2172,0.007328,24.6235,6.7566,45.494,3.0057,67.3762,166.4329,0.20518,10.7884,6.6386,6.0476,49.2279,112.4491,312.7154,52.2034,91.1943,1.9126,78.0319,1638.6753,0.97018,,0.010992,0.2345,0.47998,0.065952,0.2345,0.22717,0.13557,678.8493,9.8454,43.7738,0.4983,1.0845,61.9253,34.4719,13.6455,0.29312,0.63021,446.221,634.1773,270.7675,19.6874,21.1895,2.7134,0.86837,43.4187,38.7256,28.6033,275.868,5.3023,9.7233,277.0987,0.58962,1.8633,0.11725,45.5597,31.418,384.9297,64.3228,0.31144,0.010992,4.5256,223.7876,225.6836,422.4608,5376.4731,6.742,103.6959,0.13557,165.8531,215.462,0.021984,,14.0835,5.065,12.255
2016,9.0676,4.632,158.4816,0.46899,23.9927,0.13923,0.59723,189.9204,5.203,0.88302,410.2536,67.2266,34.7273,2.2094,31.5595,76.2033,1.6937,58.1345,99.623,0.62654,6.494,0.61922,1.2614,21.2393,0.10259,21.7304,6.3482,492.748,0.23083,7.6329,45.3369,3.904,0.42869,10.9217,9.958,557.6897,0.49464,,0.19786,2.3744,84.2505,9765.0295,99.6857,0.21618,5.7293,0.07328,7.8559,18.109,28.1715,6.1922,7.3737,106.6809,11.9827,2.5594,36.9166,0.38013,0.17221,24.6446,39.3571,239.3856,6.5958,7.5583,0.55748,17.4892,14.4249,0.63021,,1.2597,47.248,334.0051,,0.86837,6.5217,0.5899,10.0677,801.7445,13.9173,,71.361,0.5266,0.26747,,16.9265,2.7412,0.30411,2.3747,2.9795,9.7223,43.3658,47.1785,3.4955,2354.658,540.0857,633.8269,158.8926,40.3697,61.1607,358.814,8.1634,1202.4546,24.6983,277.6957,18.1345,0.05496,8.7935,109.1263,9.6217,16.4581,7.2116,26.4415,2.2131,0.49712,51.6494,0.14984,13.1217,9.0942,1.7807,3.2678,1.2056,236.8174,1.4363,4.2346,1.3563,0.1429,,2.6271,4.3455,479.7898,0.1429,4.9037,25.6291,2.0152,0.029312,58.4575,8.5473,21.1404,4.0512,0.051296,10.0851,164.6913,5.4817,34.153,5.4061,2.1452,116.9326,0.007328,27.5719,6.6538,44.678,3.2336,65.7392,195.7915,0.21251,10.4389,7.0352,7.1934,52.7327,121.7925,323.547,50.3667,87.3851,1.7038,76.7145,1634.885,1.0483,,0.014656,0.23816,0.47632,0.065952,0.24182,0.23816,0.15022,697.4203,10.0157,45.0398,0.55326,1.1428,40.2893,34.9144,14.4584,0.28946,0.63754,456.9729,637.9141,259.6294,22.987,20.0377,2.9208,1.0552,43.4141,39.1786,26.9363,279.731,5.6925,10.2135,284.0453,0.64297,2.312,0.12458,39.8931,30.5918,405.9502,64.4503,0.32976,0.010992,4.7954,233.961,226.6047,399.4301,5252.9322,6.5212,110.1391,0.15022,152.3853,223.2039,0.025648,,10.0073,5.8643,10.5335
2017,9.868,5.293,165.0896,0.46533,22.617,0.12824,0.60456,186.8989,5.5402,0.89035,413.6555,69.6087,34.607,2.5098,32.8352,80.7418,1.6446,59.3819,99.055,0.61555,6.8042,0.63387,1.3415,22.1712,0.10259,22.1562,7.0773,497.1214,0.17954,9.3094,47.4306,4.519,0.51296,12.4755,9.5781,566.6519,0.5093,,0.21618,2.3442,84.1383,10011.1517,92.275,0.26747,5.6514,0.080608,8.029,18.744,24.9476,4.9647,7.5038,107.7766,12.0019,3.1025,34.6646,0.39176,0.15389,24.0169,39.1742,260.1106,5.9697,7.8621,0.55706,18.7384,15.5837,0.70715,,1.3619,44.654,336.8959,,0.86104,5.8792,0.59357,10.1725,785.9859,12.4377,,74.8434,0.54382,0.27846,,17.3205,3.239,0.30411,2.3268,3.1392,10.2315,42.4312,49.5803,3.6122,2426.6069,556.9442,685.4013,176.9631,39.0783,58.8416,353.4186,7.7975,1186.8023,25.8135,293.4765,17.7094,0.065952,8.0225,103.3133,9.3607,19.6838,7.2163,27.8241,2.5135,0.89087,53.437,0.15577,13.2862,9.268,1.9273,4.1189,1.2297,244.1056,1.5132,4.6564,1.5308,0.14656,,3.4199,4.536,465.6209,0.1429,5.2205,34.1354,2.1031,0.029312,61.1071,6.9054,23.6301,4.2162,0.05496,12.4298,162.2026,5.5838,35.6872,5.4613,2.2498,112.7592,0.007328,51.7358,7.1521,44.165,3.2683,69.2307,216.1584,0.21618,11.2232,6.6602,7.9325,54.859,135.1501,336.7654,55.1063,100.1113,1.4546,79.6489,1666.1212,1.1551,,0.010992,0.24182,0.49098,0.065952,0.21618,0.24549,0.13923,680.8539,10.7601,45.5296,0.57525,1.0882,40.0145,36.1141,14.6167,0.28579,0.63754,439.3801,654.5373,273.5922,22.8729,20.493,2.4264,0.98562,42.4566,38.1721,28.4437,285.247,6.858,11.2339,283.3476,0.68967,1.9914,0.13557,40.3179,31.2716,430.9009,64.3599,0.35174,0.010992,5.3879,223.0808,212.4904,387.3671,5212.1623,6.1626,108.9309,0.1429,138.2269,229.6425,0.025648,,9.6946,6.8502,9.2956
2018,10.818,4.895,171.276,0.49464,21.4345,0.1319,0.61555,180.5993,5.8258,0.87203,415.3507,66.5719,34.5758,2.4219,32.6369,82.5557,1.6556,62.1569,99.9673,0.60456,7.4345,0.69616,1.4777,22.5016,0.098928,22.075,7.5043,477.9986,0.16122,9.3445,43.4796,5.0101,0.64508,13.9338,9.6455,577.0663,0.53861,,0.21984,2.3835,84.4389,10353.9345,87.112,0.29312,6.5449,0.080608,8.0124,17.7242,23.1331,4.3125,7.3217,106.3584,10.3524,3.3751,34.609,0.43488,0.16122,25.7562,38.4291,243.9079,6.2626,6.0084,0.62301,17.8848,15.989,0.72547,,1.4101,45.73,322.0785,,0.8757,5.474,0.64853,10.0625,754.8111,15.1934,,71.7809,0.54465,0.30778,,18.5008,3.162,0.31144,2.503,3.4102,9.8613,42.6006,49.5344,3.669,2593.0579,594.1014,710.2148,183.7535,39.0126,59.9858,349.8269,8.0864,1141.6689,25.142,307.1741,18.838,0.065952,8.0447,105.5479,11.1715,20.5581,7.863,26.1602,2.3706,0.42177,54.0195,0.14295,13.4347,9.5739,1.2421,3.7913,1.723,262.2072,1.7404,4.9087,1.5467,0.14656,,3.6643,4.4591,470.2859,0.1429,5.4454,45.3156,2.3999,0.029312,62.3092,7.0102,34.0168,4.1549,0.05496,14.7987,158.1339,5.913,35.7042,5.1992,1.8034,105.5996,0.010992,47.6299,6.672,44.405,2.9591,66.1354,205.0609,0.21251,10.756,7.6069,8.4005,55.8482,141.5178,336.0809,51.3727,95.4639,1.7367,80.2797,1712.4944,1.2874,,0.010992,0.24549,0.5093,0.058624,0.24182,0.23816,0.13923,686.8963,11.3304,44.3204,0.6009,1.0292,50.0356,36.1055,14.5199,0.28946,0.63754,435.2372,670.1687,268.6005,20.0969,21.7547,2.0893,1.0332,42.0366,36.8673,32.4246,283.416,8.0605,11.8379,288.3463,0.61702,2.1652,0.13557,40.3279,31.1341,422.0586,63.7602,0.36274,0.010992,5.523,231.6638,209.2785,379.7298,5377.7974,6.571,102.2881,0.17954,100.7345,257.7223,0.025648,,11.592,7.4194,10.7146
2019,11.0816,4.8269,178.5772,0.48365,19.2222,0.14656,0.6412,178.5116,6.2841,0.89035,415.8113,67.9562,37.7379,2.4549,37.5831,100.7919,1.6667,62.0963,99.4703,0.70715,7.1161,0.59357,1.4586,22.6051,0.10992,20.8104,6.7821,473.4644,0.16488,10.7328,42.2327,5.5075,0.68883,18.2196,9.5918,578.5877,0.56059,,0.22717,2.3031,91.9771,10721.042,94.4979,0.31144,7.2902,0.084272,7.6984,17.8574,22.6188,2.2424,7.3423,101.0327,10.5351,3.5922,30.9503,0.44862,0.17221,28.3747,40.0652,256.1402,7.5496,4.638,0.64809,12.324,16.675,0.74013,,1.408,42.454,315.4497,,0.8757,5.426,0.71082,10.8866,707.4914,16.4184,,65.7595,0.55541,0.32976,,19.5017,3.921,0.32243,2.7558,3.0915,11.2188,41.9002,49.3105,3.5587,2612.888,650.9059,694.6665,189.6065,37.3258,58.6592,340.4025,7.8234,1104.5398,24.7286,275.2898,19.7992,0.065952,8.3897,108.8935,9.0463,19.5343,7.6506,25.6614,2.3889,1.0196,70.5274,0.14902,13.6778,9.7696,1.2128,4.2564,1.6365,267.4943,1.9529,5.8326,1.6488,0.14656,,3.7739,4.5214,468.3221,0.14656,5.495,47.2545,2.4769,0.021984,68.7431,7.1011,33.6169,4.1111,0.05496,13.5749,152.5094,5.6729,36.8789,5.2226,2.5134,127.3376,0.007328,52.7642,7.6468,42.793,3.2654,59.2217,206.0612,0.21984,13.3808,7.8171,8.1367,58.365,144.16,317.6825,47.494,101.019,1.7807,76.8852,1705.0309,1.3727,,0.014656,0.25282,0.50197,0.065952,0.22717,0.27114,0.1429,707.1252,12.713,44.2785,0.59357,1.0039,33.7784,33.7785,14.0394,0.29312,0.63754,465.4293,646.1023,250.6608,21.2322,21.7725,2.6358,1.1212,41.006,36.7269,28.6771,273.954,8.8568,13.7433,281.8703,0.67543,2.415,0.16122,40.7829,30.3535,402.6923,65.3246,0.36274,0.010992,5.7319,221.9432,219.5566,364.7533,5262.1451,6.4899,108.4291,0.16488,87.6116,341.7888,0.025648,,11.8372,7.7508,9.7754
