datetime,tempmax,tempmin,temp,humidity,precip
2010-01-01,51.7,31.9,40.4,75.2,0
2010-01-02,53.5,35.5,43.5,69.4,0
2010-01-03,53.5,42.5,46.6,74,0.159
2010-01-04,44.8,32.1,41.4,83.6,0.195
2010-01-05,43.7,26,37.8,58.1,0.008
2010-01-06,39.3,24.5,31.6,70.3,0
2010-01-07,45.5,26.5,34.6,70.8,0
2010-01-08,43.8,26.5,34.4,74.1,0
2010-01-09,39.4,26.5,33,82.3,0
2010-01-10,45.1,30.1,35.2,78.6,0
2010-01-11,50.4,24.7,35.2,77.9,0
2010-01-12,53.5,32.4,46.1,58.4,0
2010-01-13,42.7,37.3,40.1,89.8,0.226
2010-01-14,47.1,33.2,40.3,92.5,0.048
2010-01-15,47,37.7,42,85.4,0.005
2010-01-16,53.5,37.3,44.1,85.3,0.038
2010-01-17,42.3,29.4,39.9,95.5,0.633
2010-01-18,37.1,31.9,34.2,92.3,0.506
2010-01-19,34.8,28.8,32.8,95.6,0.726
2010-01-20,42.2,29.9,35,93,0.02
2010-01-21,42.7,30.3,37.4,93.1,0
2010-01-22,48,26.5,39.3,77.2,0.001
2010-01-23,39.4,30.1,35.8,87.2,0.08
2010-01-24,44.7,33.7,38.4,84.6,0.016
2010-01-25,41.5,26.3,37.6,70.6,0.008
2010-01-26,35.5,20.6,32,46.7,0.012
2010-01-27,34.3,24.7,28.4,45.7,0
2010-01-28,31.8,19.3,24.4,57.2,0
2010-01-29,46.3,22.9,32.7,48.8,0
2010-01-30,53.5,28.3,38.4,54.4,0
2010-01-31,60.4,32.6,44.9,57.2,0
2010-02-01,60.7,37.1,47.5,61.1,0
2010-02-02,62.5,33,46.6,61.7,0
2010-02-03,41.4,35.5,38.4,91.6,0
2010-02-04,47.9,35.5,40.5,70.7,0.004
2010-02-05,39.9,27.9,35.8,76.7,0.337
2010-02-06,36,22.7,28.8,88.6,0.343
2010-02-07,31.9,24.7,27.5,78.7,0.06
2010-02-08,33.7,24.7,27.4,70.6,0
2010-02-09,40.5,21.1,29.5,72.1,0
2010-02-10,40.9,24.7,31.5,76.1,0
2010-02-11,35.6,24.2,32.8,89.4,0.031
2010-02-12,31.8,24.7,28.1,93.2,0.298
2010-02-13,32.8,18.9,27,86.9,0.063
2010-02-14,40,20.6,28.9,76.9,0
2010-02-15,41.8,22.9,31.5,76.8,0
2010-02-16,53.3,33.7,41.1,72.5,0.002
2010-02-17,51.7,40.9,44.6,67.7,0
2010-02-18,51.7,38.2,43.4,78.6,0.151
2010-02-19,52.2,40.9,45.8,86.1,0.154
2010-02-20,61.9,39.1,51.6,67.8,0
2010-02-21,58.9,42.7,49.4,76.1,0
2010-02-22,53.5,42.2,48.1,62.3,0.008
2010-02-23,47.3,27.2,41.7,54.5,0
2010-02-24,52.3,36,40.7,66.1,0
2010-02-25,51.7,30.1,40.9,64.8,0.004
2010-02-26,44.2,37.3,40.1,83.9,0.004
2010-02-27,44.6,32.3,41,80.2,0
2010-02-28,52.8,33.7,43.8,68.9,0
2010-03-01,50.8,34.6,43.3,74.8,0
2010-03-02,57.1,37.5,46.2,72.4,0
2010-03-03,57,33.3,44.9,75.1,0.028
2010-03-04,47.4,37.3,42.8,58.4,0.004
2010-03-05,50.7,28.3,40,61.7,0.008
2010-03-06,63,40.9,49.8,62,0.035
2010-03-07,51.7,37.3,46.1,63.9,0.002
2010-03-08,39.6,29.4,36.9,71,0.048
2010-03-09,49.9,35.5,42.2,81.5,0.049
2010-03-10,54.8,39.6,48,69.3,0.079
2010-03-11,51.2,35.5,42.3,71.1,0.024
2010-03-12,57.3,33.7,42.1,79.6,0.516
2010-03-13,60.9,46.3,52,70.5,0.16
2010-03-14,54.2,40.9,46.1,70.8,0.046
2010-03-15,62.1,38.4,47.8,82,0.323
2010-03-16,49.9,34.1,41.3,69.9,2.262
2010-03-17,50.4,33.7,41.1,45.5,0
2010-03-18,49.9,30.1,38.8,51.8,0.004
2010-03-19,43.6,31.4,36.9,42.1,0.012
2010-03-20,49.1,26.5,38.1,55.9,0
2010-03-21,56.1,29.1,41.7,53.3,0
2010-03-22,62.5,31.9,45.7,50.1,0
2010-03-23,66.1,37.3,52.7,46,0
2010-03-24,59.9,41.1,52.2,58.3,0
2010-03-25,72.2,39.4,54.6,58.6,0
2010-03-26,55.5,41.4,52,67.2,0.012
2010-03-27,49.2,39.1,45,62.3,0
2010-03-28,54.2,40.2,45.6,67.6,0
2010-03-29,64.7,35.5,49,62.7,0
2010-03-30,69.5,47.2,55.8,63.9,0.04
2010-03-31,57.6,43.4,51.4,69.2,0.642
2010-04-01,69.7,43.7,55.9,47.5,0
2010-04-02,71.6,45.5,57.7,55.5,0.012
2010-04-03,54.5,44.3,51.8,79.7,0.626
2010-04-04,58.1,41.6,52,65,0.081
2010-04-05,63.5,33.5,52.9,52.4,0
2010-04-06,60.2,44.5,51.9,69.7,0.117
2010-04-07,60.6,49.7,53.8,66,0.044
2010-04-08,57.9,45.9,51,79.7,0.75
2010-04-09,59.1,40.4,51.7,65.4,0.068
2010-04-10,58.1,44.5,50.9,56,0.004
2010-04-11,59.7,44.2,52.3,60.3,0.032
2010-04-12,52.2,48.6,50.2,85,0.602
2010-04-13,57,46.3,50.6,66.6,0.005
2010-04-14,62.5,42.7,52,46.1,0.012
2010-04-15,58.4,42.2,50.2,67.2,0
2010-04-16,70.8,40.9,56.2,65.1,0
2010-04-17,73.6,51.7,61.6,61.6,0
2010-04-18,74,48.3,60.5,67.7,0.001
2010-04-19,59.2,51.7,54.7,72.7,0.12
2010-04-20,63,43.2,54,81.8,0.434
2010-04-21,66.3,46.3,56.7,74.3,0
2010-04-22,70.4,46.3,57.8,74.2,0.294
2010-04-23,54.9,42.9,50.7,76.4,0.325
2010-04-24,49.1,41.4,45.9,86.4,1.743
2010-04-25,64.8,40.9,53.7,76.4,0.095
2010-04-26,65.7,42.5,56.1,74,0.039
2010-04-27,56.3,51.4,54.4,83.1,0.314
2010-04-28,52.5,42.7,47.8,89.4,0.811
2010-04-29,47.7,40.9,43.2,88.9,0.225
2010-04-30,64.6,42.7,52.7,72.5,0
2010-05-01,55.3,49.5,51.2,85.6,0.169
2010-05-02,54.6,37.1,49.6,87.8,0.363
2010-05-03,63.3,45.6,53.9,80.1,0.958
2010-05-04,62.8,43.1,55.2,77.6,0.396
2010-05-05,64.9,53.5,57.6,77.7,0.092
2010-05-06,69.7,53.5,59.5,74.6,0.05
2010-05-07,73.3,51.7,61.7,68.5,0
2010-05-08,75.8,52.9,64,65.4,0
2010-05-09,75.1,56.2,65,64.8,0.019
2010-05-10,73.9,56.4,64.9,70.4,0.116
2010-05-11,76.5,55.1,65.4,60.8,0.081
2010-05-12,75.7,56.3,66.7,61.9,0.011
2010-05-13,72.8,62.5,67,76.6,0.481
2010-05-14,77.2,57.1,67.6,73,0
2010-05-15,75.1,61,67.5,74.8,0.161
2010-05-16,80,51.2,67.4,64.8,0
2010-05-17,81,58.9,69.1,68.8,0.077
2010-05-18,82.3,58.9,70,61.2,0.018
2010-05-19,71.5,60.3,67,65.2,0.149
2010-05-20,73.9,53.7,63.9,56.2,0.039
2010-05-21,64.9,52.2,59,69.7,0.079
2010-05-22,68.6,49.9,59.7,70.3,0.005
2010-05-23,71.5,55.3,60.6,76.3,0.455
2010-05-24,69.7,52.8,60.8,64.5,0.156
2010-05-25,73.6,57.1,63.9,49.6,0
2010-05-26,78.9,52.7,65.9,47.4,0
2010-05-27,82.8,54.3,69.1,48.3,0
2010-05-28,82.3,58.9,68.9,58,0.031
2010-05-29,78.7,57.6,66,68.8,0.7
2010-05-30,77.7,54.4,67.5,69.7,0.011
2010-05-31,81,57.1,69.5,66.3,0
2010-06-01,84.1,62.5,72.9,61.2,0
2010-06-02,84.1,67.3,75,59,0
2010-06-03,85.7,58.2,74.7,66.4,0.042
2010-06-04,94.6,67.7,80.2,62.7,0
2010-06-05,90.1,69.7,80.4,60.1,0
2010-06-06,90.6,67.6,78.2,47.2,0
2010-06-07,82.3,66.1,71.3,57.3,0.044
2010-06-08,87.8,60.7,72.5,58,0.018
2010-06-09,84.1,59.4,71.6,54.7,0.12
2010-06-10,87.7,61.2,74.3,55.6,0
2010-06-11,86.7,60.3,74.9,59.1,0.015
2010-06-12,87.7,63.8,75.5,57.9,0.186
2010-06-13,94.9,63.8,78,51.5,0.037
2010-06-14,96.7,67.9,81,52.4,0
2010-06-15,96.7,67.4,80.5,53.5,0.004
2010-06-16,87,64.3,74.6,65.7,0.003
2010-06-17,84.6,60.3,72.1,68.6,1.115
2010-06-18,87.7,60,72.1,72.5,0.409
2010-06-19,87.7,62.7,72.6,75,1.624
2010-06-20,85.9,60.7,74.3,72.9,0.092
2010-06-21,86.6,62.9,74.9,62.1,0.002
2010-06-22,91.3,61.6,73.5,62.3,0.068
2010-06-23,86.2,58.9,71.6,67.9,0.549
2010-06-24,79.9,60.7,69,65.7,0.088
2010-06-25,79.1,62,69.5,56.8,0.02
2010-06-26,94.9,57.8,76.2,49.2,0.004
2010-06-27,89.5,66.1,77.3,52,0.03
2010-06-28,91.3,66.1,78.5,52.1,0
2010-06-29,93.1,61.4,78.5,47.3,0
2010-06-30,84.1,69.7,76,60.1,0
2010-07-01,93.5,64.1,78.9,50.5,0
2010-07-02,91.3,69.5,78.9,55.4,0.012
2010-07-03,94.9,71,81.4,52.7,0
2010-07-04,94.9,71.5,81.9,51.2,0
2010-07-05,93.6,69.7,82.1,51.6,0
2010-07-06,94.9,73.3,82.6,53.7,0
2010-07-07,94.9,73,82.6,50.2,0
2010-07-08,93.6,73.3,83.3,51.7,0
2010-07-09,94.9,65.7,84.4,45.8,0
2010-07-10,100.3,73.3,85.2,53.3,0
2010-07-11,100.3,76.4,87.5,49.1,0
2010-07-12,100.3,76.9,85.6,51.9,0
2010-07-13,96.7,71.3,83.3,53.2,0
2010-07-14,90.1,63.8,79.3,54.8,0.08
2010-07-15,85.9,69.4,75.8,58.6,0.25
2010-07-16,84.1,64.3,72.2,70.9,1.516
2010-07-17,83.6,63.8,74.3,71.2,0.039
2010-07-18,85.9,69.7,76.9,64.7,0.035
2010-07-19,96.7,71,81.5,53.2,0.012
2010-07-20,92.4,64.1,81,53.7,0
2010-07-21,93.1,63.8,82.9,52.5,0.004
2010-07-22,87.7,71.5,79.6,59.8,0.244
2010-07-23,83.8,64.3,75,60.8,0.531
2010-07-24,85.9,68.1,76.5,54.6,0.027
2010-07-25,91.3,64.3,77.4,54.2,0.036
2010-07-26,93.1,66.1,79.7,46,0
2010-07-27,96.7,59.6,81.1,40.5,0
2010-07-28,93.7,66.1,79.8,42,0
2010-07-29,95.1,61.6,80.8,41.4,0
2010-07-30,94.9,67.9,80.6,46.8,0
2010-07-31,94.9,65.6,80.1,40.4,0
2010-08-01,93.1,66.1,80.2,41.7,0
2010-08-02,93.7,65.4,79.3,42.1,0
2010-08-03,93.4,64.3,80.3,38.8,0
2010-08-04,96.7,66.1,79.7,37.1,0
2010-08-05,94.9,66.1,80.2,35.4,0
2010-08-06,96.7,66.7,81.9,36.6,0
2010-08-07,98.5,66.6,83.2,37.3,0
2010-08-08,96.7,64.5,82.1,39.2,0
2010-08-09,96.7,69.7,82.5,39.6,0.004
2010-08-10,94.9,69.5,81.7,41.5,0.004
2010-08-11,97.4,69.7,83,41.8,0
2010-08-12,98.5,71.5,84.5,36.5,0
2010-08-13,91.3,66.8,79.3,48.3,0
2010-08-14,95.3,63.2,81.1,43.6,0.004
2010-08-15,94.9,67.2,80.5,42.2,0
2010-08-16,94.1,64.5,80.8,44.6,0.028
2010-08-17,94.1,69.7,81.1,46.9,0.008
2010-08-18,87.9,66.3,77.1,64.5,0.367
2010-08-19,91.3,63.6,80.4,53.2,0
2010-08-20,92.5,61.4,80,50.3,0
2010-08-21,87.7,69.7,77.9,51.7,0
2010-08-22,82.3,59.8,72.8,61,0
2010-08-23,71.6,57.1,66.5,80.4,0
2010-08-24,78.3,58,69.4,73.5,0.001
2010-08-25,82.3,67.1,74.1,65,0
2010-08-26,86.1,63.6,74.5,61.5,0.001
2010-08-27,84.1,60.7,71.9,73.1,1.026
2010-08-28,89.5,60.9,75.3,64.3,0
2010-08-29,91.5,64.3,77.2,56.5,0
2010-08-30,97.6,66.7,80.1,53.5,0
2010-08-31,94.9,61.6,78.3,52.8,0
2010-09-01,94.9,59.8,80.3,46.1,0
2010-09-02,93.4,63.4,79.4,46.2,0
2010-09-03,93.1,71.5,80.1,54.9,0
2010-09-04,93.1,62.9,79.6,52.4,0
2010-09-05,94.9,61.2,78.6,49.7,0
2010-09-06,93.2,61.6,79.9,53,0
2010-09-07,91.3,67.2,78.6,49.5,0
2010-09-08,84.1,60.3,74.8,61.6,0.008
2010-09-09,84.6,66.6,74.9,61.8,0
2010-09-10,82.8,62.5,73.3,64.9,0.004
2010-09-11,70,55.5,62.6,89,0.828
2010-09-12,67.9,49.5,61.2,79.5,0.461
2010-09-13,79,51.3,67.8,70.1,0
2010-09-14,75.1,57.8,67.5,70.3,0.438
2010-09-15,69.8,62.4,65.8,66.2,0.004
2010-09-16,75.1,60.3,67.1,57.4,0
2010-09-17,78.7,49.4,66.6,58.6,0
2010-09-18,72.6,60.7,67.9,69.8,0
2010-09-19,84.1,54.6,69.6,66,0
2010-09-20,82.3,52.6,70.2,63.9,0
2010-09-21,85.1,54.6,70.2,57.1,0
2010-09-22,85.4,54.4,71.7,62.6,0
2010-09-23,77.7,58.4,69.8,72.4,0.838
2010-09-24,82.3,57.6,70.1,65.5,0.06
2010-09-25,75.1,60.2,68.6,76.7,0.035
2010-09-26,76.1,55.3,67.2,81,0.158
2010-09-27,79.7,53.3,69.1,74.7,0
2010-09-28,79.5,53.1,70.2,73,0
2010-09-29,81.3,63.1,71.5,66.9,0
2010-09-30,84.5,58.2,71.5,67.6,0.611
2010-10-01,70.6,60.5,66.3,66.9,0.152
2010-10-02,76.9,56.3,65.6,64.6,0.008
2010-10-03,66.1,54.4,61.9,85.8,0.817
2010-10-04,68.8,55.3,60.8,69.6,0.157
2010-10-05,59,51,56,88,0.468
2010-10-06,55.9,47,53.8,94.4,1.467
2010-10-07,66.1,43.4,55.7,79.5,0.348
2010-10-08,60.7,53.4,55.2,91.5,0.841
2010-10-09,65.6,53.5,57.1,81.8,0.139
2010-10-10,67.2,51.7,57.8,75.8,0.001
2010-10-11,71.5,47.7,57,67.4,0.004
2010-10-12,62.5,49.9,55.1,62.2,0.041
2010-10-13,65,41.8,53.4,67,0
2010-10-14,67.6,52.7,57.6,71.1,0.018
2010-10-15,63.9,48.3,56,90.3,0.896
2010-10-16,70.6,53.3,61,79.5,0.201
2010-10-17,66.6,49.2,59.9,85.7,0.938
2010-10-18,73.3,52.2,61,78.4,0.03
2010-10-19,72,58.6,63.1,77.1,0
2010-10-20,74.4,52.5,62.6,74.4,0
2010-10-21,76.6,55.3,65.9,70.8,0
2010-10-22,72.6,60.7,65.3,73,0.847
2010-10-23,61.5,50.3,58.6,77.5,0.041
2010-10-24,62.2,46.3,56.4,84.9,0.739
2010-10-25,60.7,47,56.8,83.4,0
2010-10-26,61.5,45.2,56.4,88.1,0.004
2010-10-27,70.8,44.3,60.2,68.8,0
2010-10-28,71.5,48.1,58,66.6,0
2010-10-29,64.8,53.5,57.5,78.9,0.018
2010-10-30,57.9,49.2,53.7,86,1.343
2010-10-31,53.5,42.7,47.8,63.2,0.001
2010-11-01,53.5,33.2,43.7,72,0
2010-11-02,54.3,31.7,44.2,71.3,0
2010-11-03,56.7,33.7,43.3,74.3,0
2010-11-04,59,34.5,44.8,70.9,0
2010-11-05,66.1,36.9,53.3,51,0
2010-11-06,67.9,41.4,55.7,49.7,0
2010-11-07,67.9,40.9,52,62.4,0
2010-11-08,67.9,43.2,53.2,62.8,0
2010-11-09,67.9,40.4,50.8,66.1,0
2010-11-10,67.9,39.1,51.6,55.8,0
2010-11-11,69.7,41.7,53.3,56.9,0
2010-11-12,66.1,37.3,49.6,68.1,0
2010-11-13,69.7,39.1,52.3,59.8,0
2010-11-14,69.7,40.9,51.6,61.7,0
2010-11-15,67.9,40.3,50.9,66.1,0
2010-11-16,66.1,38.3,50.3,64.8,0
2010-11-17,64.2,37.1,47.1,69.2,0
2010-11-18,64.3,37.9,48.3,63.4,0
2010-11-19,61,37.4,47,72.2,0
2010-11-20,48,39.8,44.6,86,0
2010-11-21,58.6,39.1,45.1,81.8,0
2010-11-22,54.1,42.7,47.3,82,0
2010-11-23,58.9,37.3,47.2,76.2,0
2010-11-24,60.3,37.3,45.3,78.8,0
2010-11-25,62.5,35.5,46.7,70,0
2010-11-26,64.3,43.1,51.4,65,0
2010-11-27,66.1,46.5,55.1,64,0.05
2010-11-28,67.9,44.5,56.1,60,0.002
2010-11-29,55.3,40.9,49.8,78.6,0
2010-11-30,60.7,37.8,47.3,72.2,0
2010-12-01,67.9,42.7,53,62.6,0
2010-12-02,60.9,41.1,53.2,58.5,0
