Country or Area,Year,sfc_emissions,pfc_emissions,nf3_emissions,n2o_emissions,methane_emissions,HFC_PFC_emissions,green_house_emissions
Australia,2020,90.90177808,270.314743,,18586.65058,97303.73517,11564.38753,528149.4564
Australia,2019,136.8617202,303.1420192,,18751.64546,99367.7314,11285.31033,546606.6243
Australia,2018,145.2653998,236.0027039,,19578.73524,105796.2475,10443.94638,552484.0247
Australia,2017,115.357167,202.6255367,,20719.44029,105002.7919,10476.34156,550874.8679
Australia,2016,117.1251464,224.9241339,,19042.91262,103078.5804,10248.98231,543976.8123
Australia,2015,116.1721558,171.3236571,,19054.83227,103955.9844,9844.642053,534936.017
Australia,2014,105.6331345,192.5359906,,19673.13894,103494.5953,9293.000998,526711.78
Australia,2013,108.1699172,192.0012359,,19263.63581,106249.1564,8566.91308,532267.3349
Australia,2012,114.9805854,294.882947,,20490.29646,106641.0529,8207.617406,541899.7403
Australia,2011,118.1551199,301.3048395,,20287.68309,106310.0444,7817.917603,538663.8778
Australia,2010,129.8091292,283.3152346,,19537.87169,104768.4485,7070.972754,536893.7378
Australia,2009,146.9930018,358.5519811,,19661.26262,107797.783,6446.186937,541475.7925
Australia,2008,163.3245449,444.5166936,,19147.73293,109033.21,5568.86335,538590.7141
Australia,2007,175.1276488,582.676819,,18821.08063,111645.922,4957.94184,535807.5516
Australia,2006,186.0686787,687.0598418,,20417.38309,111294.1277,4271.699714,529240.6412
Australia,2005,196.2155125,1791.70112,,20511.08111,112300.3057,3859.008723,524811.8453
Australia,2004,230.6646051,1713.848706,,20441.00271,110016.9325,3185.099,518408.4377
Australia,2003,229.1142294,1683.984775,,18758.95993,108530.0508,2647.354318,501128.9763
Australia,2002,225.0953028,1727.623153,,19909.19896,115485.9686,2112.146521,501000.8427
Australia,2001,218.7957158,1801.881974,,19403.20465,117110.6191,1685.156508,497352.0254
Australia,2000,212.4268239,1287.061789,,19088.84026,118052.1764,1252.657101,489528.6493
Australia,1999,211.2890248,1139.058757,,18148.09165,114164.5278,985.2746319,478136.8747
Australia,1998,240.2073951,1660.51882,,17673.20762,117834.9993,660.9206039,472145.8318
Australia,1997,266.7730588,1228.150898,,17617.68957,118004.5423,464.7250496,457864.5104
Australia,1996,289.0978231,1410.395058,,16826.27048,115157.2934,278.0395293,445847.2253
Australia,1995,316.2149497,1530.835665,,15562.64309,115838.5339,1018.654777,439269.8779
Australia,1994,295.6063533,2164.428749,,16394.36954,117269.4169,1028.123332,430848.498
Australia,1993,276.8685449,3315.528376,,15972.74167,120116.1833,1829.872,430381.7307
Australia,1992,258.1121688,4603.282544,,15513.31779,123239.8436,1333.184,429473.0847
Australia,1991,239.3420851,4610.743294,,15683.91439,124199.2515,1424.68352,425686.445
Australia,1990,220.5596943,4607.012919,,16084.64518,125133.2494,1424.68352,425624.307
Austria,2021,370.5270968,23.40351,11.9623,3122.738426,6499.26459,1485.823334,77532.35118
Austria,2020,454.5150386,27.02043,11.27,3088.916394,6502.903997,1704.965409,73910.84268
Austria,2019,449.8169132,34.70289,12.7351,3130.598802,6608.554924,1801.571384,79994.13764
Austria,2018,398.1841275,29.39778,15.456,3135.72701,6757.867949,1945.849658,78854.37492
Austria,2017,412.208287,39.75225,11.2378,3174.933602,6993.400422,1892.29298,82132.49226
Austria,2016,404.8976228,45.65169,5.7477,3230.682343,7023.266964,1884.442966,79821.26397
Austria,2015,319.0506643,44.893263,12.59825,3142.201114,7103.221553,1896.858388,78884.46456
Austria,2014,323.6232254,48.022812,9.88701,3127.412096,7190.581116,1787.23541,76662.66179
Austria,2013,314.6943178,44.62425,9.1287,3045.87982,7348.952889,1689.195925,80228.51783
Austria,2012,321.4544835,45.95313,8.01619,3061.23357,7469.673567,1599.073981,79788.32472
Austria,2011,316.7848292,66.43158,3.83985,3087.342217,7604.118309,1517.981546,82505.75617
Austria,2010,346.1824625,70.514685,3.85273,2994.280806,7835.564511,1425.574723,84693.29256
Austria,2009,352.1687652,32.62974,4.2504,3163.794545,7957.544715,1311.313767,80137.03146
Austria,2008,384.8995757,188.487792,50.05168,3362.014289,8082.372538,1207.5265,86770.81867
Austria,2007,378.2744051,208.70393,55.5933,3210.574982,8245.191368,1161.817261,87377.95091
Austria,2006,467.3845389,156.329195,30.6383,3194.594403,8379.425301,1112.88084,90158.66685
Austria,2005,508.7801682,150.05916,26.3557,3188.214925,8514.254201,1103.516308,92588.57965
