datetime,tempmax,tempmin,temp,humidity,precip
2010-01-01,14,1.8,9.3,71.7,0
2010-01-02,10.2,-3.9,3,72.6,0
2010-01-03,12,-2.6,3.7,70.4,0
2010-01-04,12.4,-0.7,5.2,73.4,0
2010-01-05,12.5,-0.7,5.3,69.2,0
2010-01-06,21,-0.3,11.1,70.4,0.049
2010-01-07,21.1,12,15.6,81.1,0.25
2010-01-08,15.9,6.9,11.3,75,0.001
2010-01-09,8.8,-7.1,1.7,76.1,0.001
2010-01-10,23,-9.1,7.2,71.1,0
2010-01-11,25,17.7,22.4,68.7,0
2010-01-12,26.3,10.4,17.9,83.5,0
2010-01-13,39.1,19.2,29.4,72.5,0
2010-01-14,44.7,32,38.4,73,0
2010-01-15,35.8,28.7,31.4,92.7,0
2010-01-16,35.7,28.7,32.5,94.3,0
2010-01-17,35.7,28.3,32.3,94.7,0
2010-01-18,35.7,33.5,34.4,96,0
2010-01-19,33.5,30.1,31.9,93.7,0
2010-01-20,35.3,30.1,33.1,92.2,0.09
2010-01-21,35.2,33.9,34.9,95.1,0.184
2010-01-22,39,33.9,35.6,93.5,0
2010-01-23,49.9,35.7,43.1,92.6,0.269
2010-01-24,48,33.9,42,85,0.258
2010-01-25,33.9,24.4,29.9,78.7,0
2010-01-26,23,16,18.9,70.5,0
2010-01-27,32,16,24.5,79.5,0.116
2010-01-28,24.4,10.7,15.5,62.1,0.011
2010-01-29,19.2,12,15.1,65.2,0
2010-01-30,24.5,12.1,18.6,66.7,0
2010-01-31,30.1,8.4,19.6,72.5,0
2010-02-01,37.2,19.4,29.9,70.5,0
2010-02-02,35.7,24.9,33.1,72.9,0
2010-02-03,33.3,17.7,24.6,74.9,0
2010-02-04,35.7,26.2,31,81.7,0
2010-02-05,33.9,33.4,33.8,89.8,0.38
2010-02-06,33.9,21.5,29.5,74,0
2010-02-07,30.4,15.6,24,75,0
2010-02-08,30,24.4,27,81.1,0.169
2010-02-09,26.2,10.2,17.2,78.2,0.088
2010-02-10,28.2,17.2,22.8,74.1,0
2010-02-11,26.3,5,16.1,75.3,0.001
2010-02-12,30,17.6,24.7,77.5,0
2010-02-13,30,10.7,20.5,81.6,0
2010-02-14,30.5,19.6,25.5,85.5,0.091
2010-02-15,26.2,12.5,20.4,76.5,0.012
2010-02-16,33.4,19.7,25.1,71.3,0
2010-02-17,30,14.1,22.4,67.8,0
2010-02-18,33.9,14,23,70.5,0
2010-02-19,39.5,15.5,28.3,66,0.065
2010-02-20,44.3,33.4,37.9,79.2,0.044
2010-02-21,37.2,35.2,35.6,93.4,0.919
2010-02-22,33.9,26.7,32.2,85.7,0.062
2010-02-23,33.9,23,27.7,72.8,0
2010-02-24,26.2,14.1,19.4,70.4,0
2010-02-25,35.6,14.1,23.7,68.4,0
2010-02-26,35.7,17.7,26.5,65,0
2010-02-27,37.2,19.3,27.9,61,0
2010-02-28,44.2,21.5,32.2,65.5,0
2010-03-01,39,28.8,34.2,78.2,0
2010-03-02,41,28.8,34.5,71.3,0
2010-03-03,42.9,24.5,32.8,66.2,0
2010-03-04,48,24.5,34.8,58.2,0
2010-03-05,46.4,24.9,35.5,61,0
2010-03-06,53.2,24.5,38.2,60.2,0
2010-03-07,56.8,39,44.4,65.8,0.02
2010-03-08,43,37.2,39.7,87.1,0
2010-03-09,57.5,37.3,48.6,82.6,0.042
2010-03-10,69.5,53.7,60.3,71,0.044
2010-03-11,66,46.7,56.3,73.3,0.286
2010-03-12,48.5,44.3,46.3,80.4,0.387
2010-03-13,53.2,44.2,47.1,91.3,0.208
2010-03-14,46.2,44.2,45.5,85.5,0.012
2010-03-15,51.9,44.2,47.6,73.6,0
2010-03-16,53.3,39.1,45.4,82.4,0
2010-03-17,60.9,41,49.1,69.9,0
2010-03-18,62.7,34,48.1,74.1,0
