datetime,tempmax,tempmin,temp,humidity,precip
2010-01-01,18.7,8.8,13.7,71.5,0
2010-01-02,16.8,3.1,10.2,70.2,0
2010-01-03,18.5,1.3,10.2,70.5,0
2010-01-04,18.6,8.6,14,74.9,0
2010-01-05,18.7,8.3,13,76,0
2010-01-06,23.8,11.5,16.1,74.2,0
2010-01-07,23.8,8.7,17.6,80.1,0.156
2010-01-08,24.4,10.2,17,80.2,0
2010-01-09,20.3,12.4,16.1,75.7,0.004
2010-01-10,19.5,7,12.6,71,0
2010-01-11,25.7,15.8,21,70.9,0
2010-01-12,29.3,18.4,25.2,74.6,0
2010-01-13,38.1,14.5,25.5,73,0
2010-01-14,43.8,25.9,34.9,65.8,0
2010-01-15,40.9,34.7,38.5,81.5,0
2010-01-16,38.5,30.6,34.9,91,0
2010-01-17,36.9,27.6,33.5,93,0
2010-01-18,33.4,26.7,30.7,93.2,0
2010-01-19,35.5,30.1,32.7,87.9,0
2010-01-20,33.9,27.6,31.1,77.5,0.02
2010-01-21,38.4,32.9,35.3,89,0.62
2010-01-22,39.3,33.9,36.3,92.9,0.01
2010-01-23,48,36.6,42.8,89.1,0
2010-01-24,53.7,37.9,47.9,83.9,0.375
2010-01-25,37.5,25,31.7,79.9,0.046
2010-01-26,24.9,18.6,20.5,73.5,0.005
2010-01-27,32,15.9,23.9,73.7,0.029
2010-01-28,32,8.4,17.9,69.9,0.007
2010-01-29,19.2,8.7,14.4,63.7,0
2010-01-30,25.7,15.7,18.7,61.7,0
2010-01-31,28.7,9.3,19.3,69.5,0
2010-02-01,36.4,18.3,27.2,61.2,0
2010-02-02,37.7,30.5,34,66.5,0
2010-02-03,32,23.1,27.4,77.9,0
2010-02-04,37.4,23.9,30.8,75.3,0
2010-02-05,35.2,30,33.3,79.9,0.279
2010-02-06,30,16.4,25.3,73.4,0.017
2010-02-07,27.7,11.5,18.8,75.9,0
2010-02-08,26.6,11.7,20.7,74.6,0
2010-02-09,27.6,10.7,21.7,81.9,0.173
2010-02-10,24.9,10.7,21.8,77.9,0.009
2010-02-11,26.4,16.6,21.3,74.4,0
2010-02-12,28.2,6.3,17.1,76.9,0
2010-02-13,28.4,14.3,20,73.7,0
2010-02-14,30.2,8.5,20.3,78.4,0
2010-02-15,26.2,21.4,23.4,83.5,0.122
2010-02-16,26.2,21,24.2,82.8,0
2010-02-17,30,17.3,25.1,75.3,0
2010-02-18,34.1,23.7,28.3,71.2,0
2010-02-19,36.2,12.1,25.1,69.2,0
2010-02-20,37.6,29,33.6,77.2,0.034
2010-02-21,39.3,34.9,37.2,82.7,0.103
2010-02-22,37.2,33.4,34.9,89.7,0.162
2010-02-23,32.9,26.5,31.1,85.2,0
2010-02-24,26.4,20.6,23,80.2,0.014
2010-02-25,32.2,21,26,72.4,0
2010-02-26,34.5,19.2,26.4,66.1,0
2010-02-27,32,24.9,29.2,84.6,0.012
2010-02-28,37.2,30.5,33.6,81.5,0.005
2010-03-01,38.7,31.4,35,78.5,0
2010-03-02,40.9,28.6,33.5,73.6,0
2010-03-03,37.2,27,32,77.1,0
2010-03-04,43.7,24.4,33.5,62.9,0
2010-03-05,46.3,24.4,34.3,57.7,0
2010-03-06,47.4,23.2,35.1,58.6,0
2010-03-07,54.3,26.2,39.4,62.6,0.109
2010-03-08,59.8,33.5,46.2,72.5,0
2010-03-09,60.9,36.6,48.7,68.9,0.005
2010-03-10,71.4,50,58.6,63.6,0.049
2010-03-11,63.6,50.6,56,77.9,0.124
2010-03-12,55.5,44.6,51.1,87.2,0.323
2010-03-13,50.6,42.9,45.7,87.9,0.572
2010-03-14,44.6,38.4,41.7,81.3,0.048
2010-03-15,46.5,41,43.6,78.9,0
2010-03-16,60.8,35.4,48.2,65.7,0
2010-03-17,62.7,37.5,49.6,50.8,0
2010-03-18,63.8,38,50.9,48.2,0
2010-03-19,65.7,38.5,52.9,53.8,0
2010-03-20,66.3,42.1,54.6,55.8,0
2010-03-21,53.6,39.3,46.4,68.3,0.006
2010-03-22,44.5,39,41.1,86.9,0.727
2010-03-23,59.8,34.6,45.9,67.3,0
2010-03-24,64.5,40.3,51.7,61.7,0
2010-03-25,55.4,37.1,48.4,76,0.6
2010-03-26,44.5,28.7,36.5,59.8,0
2010-03-27,57,30,43.2,55.8,0
