datetime,tempmax,tempmin,temp,humidity,precip
2010-01-01,35.2,17.2,22.7,64.5,0
2010-01-02,21.5,12.5,16.8,64.7,0
2010-01-03,24.4,6.4,14.8,64.8,0
2010-01-04,26.2,17.7,20.7,63.9,0
2010-01-05,23,12.5,18.1,69,0
2010-01-06,21.5,15.4,18.3,73.3,0
2010-01-07,28.2,10.7,20.2,80.7,0.08
2010-01-08,15.9,8.2,12.8,75,0
2010-01-09,24.4,15.9,19.5,76.5,0
2010-01-10,23,12.5,18.4,71.1,0
2010-01-11,28.7,14,23.2,70.7,0
2010-01-12,28.7,15.9,23.5,72.9,0
2010-01-13,37.2,8.8,22.2,73.3,0
2010-01-14,50,17.7,32.4,62.8,0
2010-01-15,50.1,37.2,43.7,55,0
2010-01-16,53.7,32,43,74.3,0
2010-01-17,46.7,37.7,43.8,88.8,0.483
2010-01-18,37.2,28.7,33,91,0
2010-01-19,50,30.5,40.2,90.6,0
2010-01-20,42.4,35.7,37.8,93.5,0.359
2010-01-21,48,35.7,40.9,94.5,0.67
2010-01-22,48,39.5,44.4,95.6,0.012
2010-01-23,51.9,44.2,47.9,86.5,0
2010-01-24,51.9,46.7,50.3,86.3,0.935
2010-01-25,48,33.9,37.3,80.1,0.039
2010-01-26,33.9,19.7,28,68.2,0.117
2010-01-27,37.7,17.7,28.2,67.3,0
2010-01-28,39,21,32.6,52.9,0
2010-01-29,21.5,15.9,19.1,56.8,0
2010-01-30,28.2,14,20.9,64.2,0.096
2010-01-31,32,-2.2,15.4,64.5,0
2010-02-01,39,12,24.2,63,0
2010-02-02,44.7,26.7,35.2,65.6,0
2010-02-03,41,30,35.4,62.3,0
2010-02-04,39,28.7,33.6,71.8,0
2010-02-05,39.5,33.9,36.5,89.6,0.863
2010-02-06,33.9,21.5,29.6,84.3,0.184
2010-02-07,26.2,19.7,22.6,77.7,0
2010-02-08,30,17.2,24.6,74.1,0
2010-02-09,33.9,12.5,28.3,84.8,0.475
2010-02-10,28.7,12,22.2,70.7,0
2010-02-11,28.2,10.7,22,71.2,0
2010-02-12,32,3.1,17.5,71.9,0
2010-02-13,28.2,15.5,21.5,73.5,0
2010-02-14,32,8.8,23.3,79.3,0.012
2010-02-15,33.4,19.7,24.6,84.5,0.128
2010-02-16,26.2,19.2,23.4,77.3,0
2010-02-17,32,24.9,27.9,69.2,0
2010-02-18,35.7,19.7,28.5,66.9,0
2010-02-19,41,12.1,26.4,63.3,0
2010-02-20,48,23,35.8,60.9,0
2010-02-21,60.9,33.5,46.8,52,0
2010-02-22,50,37.2,44.9,80.1,0.031
2010-02-23,37.2,33.4,34.8,82,0.012
2010-02-24,33.4,23,29.1,74.2,0
2010-02-25,30.5,21.5,26.1,73.1,0.012
2010-02-26,39,21.5,30.2,57,0
2010-02-27,33.4,26.7,30.4,75.9,0.024
2010-02-28,35.7,30.5,33.6,78,0
2010-03-01,39.5,33.9,36.4,69.8,0
2010-03-02,41,30.5,34,72.2,0
2010-03-03,37.7,30,33.4,64.4,0
2010-03-04,46.2,28.2,36.1,53.2,0
2010-03-05,48.5,17.3,33.8,47.8,0
2010-03-06,51.4,19.2,34.4,54.9,0
2010-03-07,57.5,19.3,39.5,50.1,0
2010-03-08,64.2,37.2,49.7,58.3,0.034
2010-03-09,69.4,32.1,51,59.9,0
2010-03-10,68,51.4,58.1,67.4,0.082
2010-03-11,68,50,57.2,73.4,0.001
2010-03-12,60.9,41.1,51.4,90.2,0.113
2010-03-13,50,44.2,46.9,80.4,0
2010-03-14,46.2,41,43.4,87.7,0.105
2010-03-15,48.5,39.5,43,79.8,0.012
2010-03-16,55.2,42.9,48.2,69.4,0
2010-03-17,60.4,44.7,50.9,63.1,0
2010-03-18,66,33.9,51.8,44.4,0
2010-03-19,66.5,33.5,50.2,51.7,0
2010-03-20,66.5,37.7,53.5,52.8,0
2010-03-21,69.4,46.7,56.5,57.6,0.07
2010-03-22,55.2,39.5,43.8,80.8,0.374
2010-03-23,60.4,39,47.9,66.3,0
2010-03-24,69.4,35.7,52.5,62.7,0
2010-03-25,60.4,48.5,54.6,71,0.151
2010-03-26,48.5,32,40.1,62.3,0.148
2010-03-27,64.7,28.7,46.6,55.3,0
2010-03-28,57.5,50,53.2,72,0.272
2010-03-29,48.5,42.4,45.2,82,0.012
2010-03-30,59,30.5,45,68.3,0
2010-03-31,75,35.7,55.9,56.5,0
2010-04-01,82.2,51.9,66.6,41.8,0
2010-04-02,82.7,50,67,42.1,0
2010-04-03,69.4,48.5,61.1,50,0.012
2010-04-04,75.5,39.5,58.6,54,0
2010-04-05,80.7,53.3,70,54.5,0
2010-04-06,84,66,75.5,35.6,0
2010-04-07,75,66,71.1,46.6,0
2010-04-08,69.9,44.2,54.2,70.8,0.478
2010-04-09,57.5,37.7,46.8,57.4,0
2010-04-10,66.5,30.5,50.1,54.3,0
2010-04-11,73.7,37.3,56.5,50.9,0
2010-04-12,75,42.9,59.1,56.5,0
2010-04-13,80.7,46.7,64.4,50.8,0
2010-04-14,80.2,51.9,65.7,49.9,0
2010-04-15,82.7,50.1,67.4,55.4,0
2010-04-16,80.7,55.2,67.1,58.6,0.319
2010-04-17,60.9,46.7,54.9,50.7,0.186
2010-04-18,62.7,32,48.1,50,0
2010-04-19,64.2,37.3,51.5,59.6,0
2010-04-20,64.7,44.7,54.6,52.2,0
2010-04-21,69.4,39.1,55,60.8,0
2010-04-22,71.2,41,55,66.5,0.012
2010-04-23,66.5,51.9,58.7,82.1,0.155
2010-04-24,71.7,57.5,62.4,85.5,1.091
2010-04-25,69.4,55.2,60.4,82.6,0.308
2010-04-26,55.2,50,52.6,90,0.046
2010-04-27,59,46.7,52.6,70.6,0.709
2010-04-28,64.2,32,49.4,61.8,0
2010-04-29,73.2,37.7,57,62.2,0
2010-04-30,80.7,57,69.6,47.2,0
2010-05-01,71.2,62.2,65.6,80,1.517
2010-05-02,69.9,64.2,66.8,93.2,3.663
2010-05-03,77,57.5,68.8,69.1,0
2010-05-04,78.4,55.7,66.5,53.9,0
2010-05-05,82.7,51.9,69.2,57.1,0
2010-05-06,77,57,68,46.1,0
2010-05-07,86,51.5,70.1,60.9,0
2010-05-08,71.7,48.5,54.8,56.1,0.089
2010-05-09,59,39,48.7,59.6,0
2010-05-10,62.7,37.2,51.3,59.5,0
2010-05-11,73.2,53.7,63.8,72.1,0.055
2010-05-12,77,62.2,69.3,85.2,0.494
2010-05-13,82.7,60.9,72.9,76,0.013
2010-05-14,80.2,66.5,74.1,77.4,0
2010-05-15,78.4,60.4,69.1,60.7,0.012
2010-05-16,64.2,59,62.2,84.3,0.585
