datetime,tempmax,tempmin,temp,humidity,precip
2010-01-01,53.5,37.3,46.5,69.2,0.049
2010-01-02,53.5,31.9,41.2,64,0
2010-01-03,51.7,30.1,38.9,59.7,0
2010-01-04,39.1,28.3,35.1,61.9,0
2010-01-05,42.8,24.7,32.7,62.3,0
2010-01-06,51.7,26.5,38.5,50.9,0
2010-01-07,48.1,31.9,41.8,75.7,0.234
2010-01-08,33.7,24.7,28.7,53.4,0
2010-01-09,37.3,19.3,26.7,62.9,0
2010-01-10,41,19.3,28.2,63.8,0
2010-01-11,49.9,17.5,32.6,61.8,0
2010-01-12,59,30.1,42.3,63,0
2010-01-13,53.5,24.7,39,60.8,0
2010-01-14,62.5,33.7,47.7,59.3,0
2010-01-15,62.5,42.7,51.3,75.6,0.042
2010-01-16,59.1,50,55,90.8,0.609
2010-01-17,55.3,44.6,50,83.3,0
2010-01-18,64.3,37.4,50.8,76.6,0
2010-01-19,71.5,42.7,56.4,73.9,0
2010-01-20,76.8,57.1,65,86.2,0.436
2010-01-21,78.7,53.5,68.8,62.4,0.011
2010-01-22,73.3,42.7,57.5,63.1,0
2010-01-23,69.7,48.1,60,87,0
2010-01-24,69.7,53.6,62,55.7,0.038
2010-01-25,64.3,40.9,53,51.4,0
2010-01-26,64.3,39.1,51.3,51.8,0
2010-01-27,64.3,35.5,49.2,59,0
2010-01-28,66.1,39.1,52.8,69.6,0
2010-01-29,66.1,44.5,56.6,85.8,0.866
2010-01-30,44.5,31.9,37.5,77.7,0
2010-01-31,53.5,33.7,40.5,64.1,0
2010-02-01,46.3,33.7,41.9,84.6,0.082
2010-02-02,64.3,46.3,51.9,73.8,0
2010-02-03,53.5,42.7,48.2,73.5,0.125
2010-02-04,53.5,46.3,49.8,91.7,2.749
2010-02-05,53.5,44.5,49.6,86.6,0.05
2010-02-06,49.9,42.7,45.1,71.5,0
2010-02-07,51.7,35.5,43.6,66.5,0
2010-02-08,64.3,35.5,50.8,75.4,0.031
2010-02-09,53.5,37.3,45.3,65.5,0.519
2010-02-10,46.3,30.1,39.1,49.2,0
2010-02-11,39.1,35.5,37.8,69.1,0.466
2010-02-12,39.1,30.1,35.7,82.9,0.584
2010-02-13,51.7,30.1,39.3,74,0
2010-02-14,60.7,30.1,46.9,76.3,0.364
2010-02-15,48.1,31.9,40.2,55.9,0.081
2010-02-16,48.1,26.5,38.3,63.1,0
2010-02-17,51.7,30.1,41.1,60.5,0
2010-02-18,60.7,30.1,43.6,59.5,0
2010-02-19,62.5,33.7,46.5,58.8,0
2010-02-20,69.7,33.7,50.8,64.9,0
2010-02-21,66.1,48,59,83.1,0.214
