datetime,tempmax,tempmin,temp,humidity,precip
2010-01-01,23,15.6,20.1,69.3,0
2010-01-02,16,6.9,10.6,66.1,0
2010-01-03,21.5,3.6,13.7,69.9,0
2010-01-04,26.4,19.7,22.6,76.4,0
2010-01-05,28.3,23.1,25.5,81.5,0.012
2010-01-06,26.8,25,26.4,77.2,0
2010-01-07,25,21.1,23.3,85.5,0.272
2010-01-08,23,12.8,19.7,78.9,0.074
2010-01-09,19.3,4.7,12.5,77.2,0
2010-01-10,23.1,3.3,16.4,70.2,0
2010-01-11,24.5,14.1,19.3,76.9,0.059
2010-01-12,25,6.5,17.4,79.9,0
2010-01-13,33.9,21,27.3,69.9,0
2010-01-14,39.3,28.2,33.9,70.9,0
2010-01-15,35.3,32,33.1,77.2,0
2010-01-16,32,26.8,29.5,80.4,0
2010-01-17,30.1,23.2,26.2,88.3,0
2010-01-18,32,25.1,30.1,90.9,0
2010-01-19,35.3,30,31.4,77.7,0
2010-01-20,28.3,17.3,24,71.7,0
2010-01-21,32,17.4,25.2,75.7,0
2010-01-22,30.5,21.7,27.4,84.5,0
2010-01-23,35.7,25.2,32.4,83.4,0
2010-01-24,46.6,35.4,41.4,86.7,0.237
2010-01-25,37.6,28.7,32.1,81,0.011
2010-01-26,28.7,23,26,77.4,0
2010-01-27,24.4,16,19.9,72.2,0
2010-01-28,23.1,3.8,13.1,62.9,0
2010-01-29,17.3,3.4,10.7,62.3,0
2010-01-30,21.1,1.8,10.9,66.4,0
2010-01-31,28.3,8.8,19.1,65.1,0
2010-02-01,26.3,8.7,18.1,78.2,0
2010-02-02,28.7,17.8,24.7,87.2,0.147
2010-02-03,30.1,13.9,26.2,84.9,0
2010-02-04,30,10,20.5,79.8,0
2010-02-05,32,24.6,27.5,75,0
2010-02-06,25,16,21.3,69.8,0
2010-02-07,26.4,10.3,18.8,74.6,0
2010-02-08,30.5,7,20,67.4,0
2010-02-09,26.4,21.5,23.8,80.7,0.079
2010-02-10,26.4,19.7,22.9,77.3,0.021
2010-02-11,28.2,19.5,24.2,77.3,0
2010-02-12,28.7,23.1,25.8,68.2,0
2010-02-13,28.3,14.2,22.9,76.2,0
2010-02-14,30.5,26.4,28,72.2,0
2010-02-15,26.8,24.4,25.5,71.8,0.033
2010-02-16,30.2,19.8,25.2,77.5,0.039
2010-02-17,33.9,24.6,29.4,80.8,0
2010-02-18,37.2,24.6,31.4,69.3,0
2010-02-19,35.7,19.7,27.7,69.4,0
2010-02-20,35.7,17.8,28.3,65.9,0
2010-02-21,38.9,30.1,34.6,66.7,0
2010-02-22,33.4,26.8,28.9,84.7,0.29
2010-02-23,33.5,25.1,28.9,78.3,0.041
2010-02-24,30.2,25,27.4,85.1,0.266
2010-02-25,26.7,17.4,23.2,73,0
2010-02-26,28.8,24.6,26.6,82.6,0.093
2010-02-27,35.3,26.9,30.3,84.6,0
2010-02-28,37.6,30.5,33.7,79.3,0
2010-03-01,37.2,24.9,32.1,65.4,0
2010-03-02,35.2,17.8,26.9,75.3,0
2010-03-03,37.2,24.4,30.3,63.3,0
2010-03-04,37.2,15.3,26.1,62.4,0
2010-03-05,38.9,15.3,26.7,72.4,0
2010-03-06,42.5,17.1,30.2,63.4,0
2010-03-07,44.2,24.1,34.4,60.7,0
2010-03-08,48.5,22.8,36,68.5,0
2010-03-09,51.8,26.5,39.9,65.6,0
2010-03-10,53.6,39.9,45.9,73,0
2010-03-11,60.8,42.8,50.6,78.6,0.105
2010-03-12,57.4,46.2,50.2,89,0.118
2010-03-13,48.1,39.4,45,87.8,0.041
2010-03-14,42.8,37.2,38.8,85.5,0.019
2010-03-15,55.6,37.7,43.5,69.5,0
2010-03-16,60.9,28.8,44.8,42.2,0
2010-03-17,62.7,28.2,45.9,45.3,0
2010-03-18,60.5,38.6,49.5,43.2,0
2010-03-19,62.7,42.8,51.5,60.3,0
2010-03-20,44.6,30.5,34.1,81.1,0.106
2010-03-21,46.1,30.1,35.6,66.3,0
2010-03-22,50,32,39.4,49.8,0
2010-03-23,55.6,35.2,43.5,50.7,0
2010-03-24,57,28.7,43.6,46.3,0
2010-03-25,47.9,28.8,41.9,58.3,0.047
2010-03-26,38.9,17.4,28.3,49.4,0
2010-03-27,49.8,26.8,37.4,45.5,0
2010-03-28,46.5,30.6,38.8,62.7,0.013
2010-03-29,44.6,30.1,36.5,71.9,0
2010-03-30,57.5,24.5,41.3,63.1,0
2010-03-31,73.6,40.9,57,51.2,0
2010-04-01,78.9,53.2,65.7,49,0
2010-04-02,78.9,58.9,70.5,35.7,0
2010-04-03,71,46.1,58.4,52.4,0.127
2010-04-04,69.8,39.3,55.8,51.7,0
2010-04-05,69.4,48.4,58.6,59.9,0.083
2010-04-06,64.9,48.5,55.4,84.8,1.503
2010-04-07,66.4,51.6,56.6,83.4,0.508
2010-04-08,55.2,33.5,43.8,79.9,0.089
2010-04-09,46.6,32,37.8,58,0
2010-04-10,69.4,28.7,48.8,50.3,0
2010-04-11,64.6,44.8,54.3,48.1,0
2010-04-12,62.2,35.2,50.3,39.2,0
2010-04-13,55.5,42.9,48.8,62.4,0.055
2010-04-14,70,39.2,56.5,45.9,0
2010-04-15,80.3,53.6,67.9,41,0
2010-04-16,67.9,44.2,58.8,50.5,0
2010-04-17,46.2,35.7,40.7,53.8,0
2010-04-18,51.3,32,41.7,66,0
2010-04-19,60.8,30.5,46.1,60.7,0
2010-04-20,64.1,37.5,51.2,52.4,0
2010-04-21,69.4,37.5,52.8,54.7,0
2010-04-22,59,33.6,45.7,56.8,0
2010-04-23,64.2,33.6,51.4,42.7,0
2010-04-24,57.5,51.5,53.6,51.8,0
2010-04-25,53.6,46.7,50.8,88.7,0.045
2010-04-26,62.2,46.4,53.1,53,0
2010-04-27,55.5,33.9,45.1,46,0
2010-04-28,60.4,30.5,45.9,51.5,0
2010-04-29,64.7,35.1,52.5,49.3,0.007
2010-04-30,80.2,55.1,67.4,57,0
2010-05-01,73.5,64.1,68.7,72.5,0.02
2010-05-02,71.2,53.8,62,84.2,0.247
2010-05-03,71.7,53.3,62.1,63.6,0.001
2010-05-04,73.1,46.7,61.8,54.3,0
2010-05-05,64.7,56.9,62.3,51.1,0.019
2010-05-06,62.5,46.6,55.3,52.8,0
2010-05-07,55.8,46.7,48.8,84.5,0.526
2010-05-08,47.9,37.6,43.8,72.7,0.011
2010-05-09,53.7,30.5,42.6,55.6,0
2010-05-10,57.3,30,45.2,52,0
2010-05-11,46.6,42.4,44.7,76.6,0.411
2010-05-12,51.3,42.5,46.2,80.3,0
