datetime,tempmax,tempmin,temp,humidity,precip
2010-01-01,8.4,-7.4,2.8,64.8,0
2010-01-02,1.3,-14.8,-7.4,60.6,0
2010-01-03,8.3,-14.4,-3.1,69.4,0
2010-01-04,6.9,-9.3,-1.4,63.2,0
2010-01-05,10.6,-7.5,0.4,61,0
2010-01-06,17.3,-2.2,7.8,68.8,0
2010-01-07,17.3,5.1,9.1,72,0
2010-01-08,8.6,-2.2,3.6,67.2,0
2010-01-09,6.4,-11.4,-3.6,71.4,0
2010-01-10,15.9,-5.8,8.2,66.7,0
2010-01-11,21.4,6.9,15.1,73,0
2010-01-12,21.1,1.7,11.3,79.2,0
2010-01-13,28.3,15.7,22.1,80.7,0
2010-01-14,31.9,15.6,24.2,82.6,0
2010-01-15,30,17.5,25.1,82.6,0
2010-01-16,32,19.2,24.2,79.1,0
2010-01-17,33.8,16.2,23.6,82.8,0
2010-01-18,33.8,14.1,22.3,80.1,0
2010-01-19,22.9,12.3,19.4,86.5,0
2010-01-20,28.3,21,24.6,74.7,0
2010-01-21,30.3,26.4,28.2,77.2,0.003
2010-01-22,33.8,30,31.5,80.8,0.012
2010-01-23,35.7,33.5,35,86.9,0.195
2010-01-24,35.3,33.4,34.2,90.5,0.06
2010-01-25,35.3,17.6,24.2,76.3,0
2010-01-26,17.3,3.4,10.4,64.8,0
2010-01-27,10.6,3.3,7.3,64,0
2010-01-28,8.3,-0.4,3.4,58.2,0
2010-01-29,10.3,-4,3.6,65.3,0
2010-01-30,17.6,1.6,9.9,61.9,0
2010-01-31,17.3,5,10.9,62.7,0
2010-02-01,15.9,8.3,12.6,70.3,0.029
2010-02-02,21.1,8.7,16.6,76.1,0.002
2010-02-03,21.1,1.3,11.9,75.8,0
2010-02-04,30,19.6,25.6,79.2,0.015
2010-02-05,33.5,28.6,30.8,82.3,0.081
2010-02-06,30,19.3,24.2,66.5,0
2010-02-07,24.5,12.8,20.5,73.5,0.003
2010-02-08,26.3,23,24.3,79.4,0.029
2010-02-09,26.4,17.5,23.3,75.8,0.001
2010-02-10,24.5,5.2,13.7,67.7,0
2010-02-11,24.5,1.2,10.7,74.2,0
2010-02-12,26.5,3.2,13.5,77,0
2010-02-13,24.4,8.7,15,81.3,0
2010-02-14,24.5,7,16.5,73.9,0.014
2010-02-15,28.6,21.6,25.8,62,0
2010-02-16,35.3,17.6,27.4,45.6,0
2010-02-17,37.2,19.6,27.3,47.8,0.025
2010-02-18,35.7,12,23.4,55.7,0
2010-02-19,30.3,6.9,19.8,62.9,0
2010-02-20,33.7,17.8,25.6,55.7,0
2010-02-21,30.4,12.3,22.6,72,0
2010-02-22,33.4,19.2,25.8,61.6,0
2010-02-23,24.5,10.6,17.3,67.4,0
2010-02-24,19.5,2,10.9,53.2,0
2010-02-25,26.5,4.8,15.3,63.9,0
2010-02-26,33.4,6.7,20.6,54.4,0
2010-02-27,39,12.2,25.7,42.9,0
2010-02-28,38.9,16.2,28.6,53.4,0
2010-03-01,37.5,19.5,28.8,65.1,0
2010-03-02,42.6,17.8,30.3,62.1,0
2010-03-03,42.4,21.3,30.9,59.1,0
2010-03-04,39.1,19.5,29.5,72.4,0
2010-03-05,41,23,31.4,65.6,0
2010-03-06,41,23,33.1,64.4,0
2010-03-07,47.9,33.9,39.5,67.4,0.001
2010-03-08,37.3,33.9,35.9,85,0
2010-03-09,39,33.9,36.3,88.2,0.044
2010-03-10,42.5,37.2,40.2,88.5,0.17
2010-03-11,46.5,37.2,41.8,88.9,0.165
2010-03-12,44.3,39.1,41.4,89.3,0.058
2010-03-13,46.2,39,42,84.6,0
2010-03-14,64.4,39.4,49.7,71.9,0
2010-03-15,60.7,42.5,50.2,72.3,0
2010-03-16,49.9,42.7,45.1,80.7,0.014
2010-03-17,58.9,33.6,45.3,72.6,0
2010-03-18,64.3,39.3,50.5,58,0
2010-03-19,48,30.4,35.6,55.8,0
2010-03-20,39,24.6,31.6,45.4,0
2010-03-21,51.3,24.8,36.5,55.4,0
2010-03-22,56.9,30,42,52.6,0
2010-03-23,60.5,35.8,47.3,42.1,0
2010-03-24,55.4,32,44.3,36,0
2010-03-25,42.7,24.9,33.2,34.4,0
2010-03-26,51.5,26.6,38.8,37.2,0
2010-03-27,51.8,40.8,45.6,50.4,0
2010-03-28,51.6,35.3,44,50.4,0
2010-03-29,59,32,45.5,51.9,0
2010-03-30,75,46.6,59.8,41.4,0
2010-03-31,76.8,53.6,63.2,41.9,0
2010-04-01,80.4,48.6,64.9,46.4,0
2010-04-02,69.9,49.9,63.2,61.9,0.353
2010-04-03,60.7,40.9,50.6,45.7,0.084
2010-04-04,66.3,51.4,58,40.1,0
2010-04-05,60.5,44.6,54.2,45.1,0
2010-04-06,53.6,44.5,49.5,63.4,0.375
2010-04-07,55.5,39.4,47.6,40.5,0
2010-04-08,51.8,35.3,42,46.7,0
2010-04-09,64.6,32,49,46.6,0
2010-04-10,62.6,44.7,53.9,39,0
2010-04-11,69.5,37.6,54.2,40.3,0
2010-04-12,66.3,44.9,57.1,46.9,0
2010-04-13,69.6,46.6,56.8,58.3,0.506
2010-04-14,73.6,53.5,61.4,67.7,0.126
2010-04-15,71.3,57,64,63,0.399
2010-04-16,60.5,46.6,53.6,39.5,0
2010-04-17,64.5,39.6,53.4,35.1,0
2010-04-18,66.3,40.8,55,41.7,0
2010-04-19,67.9,44.5,56.9,44.4,0
2010-04-20,71.5,46.7,59,49.5,0
2010-04-21,60.8,42.9,51.9,47.9,0
2010-04-22,64.5,35.5,50.1,42.4,0
2010-04-23,66.5,46.4,56.7,50.1,0.003
