datetime,tempmax,tempmin,temp,humidity,precip
2010-01-01,24.4,12,16.4,68.9,0
2010-01-02,21,3.4,12.1,63.9,0
2010-01-03,17.2,10.6,13.2,60.3,0
2010-01-04,14,1.2,6.8,66.6,0
2010-01-05,19.6,-0.3,8.3,58.3,0
2010-01-06,24.4,5,16.2,72,0
2010-01-07,21.5,3.4,11.6,68.5,0
2010-01-08,10.2,3,6,68.2,0
2010-01-09,15.9,-4,5.3,71.4,0
2010-01-10,30,-7.8,11.9,63.1,0.123
2010-01-11,35.2,19.6,28.7,63.4,0.08
2010-01-12,24.4,10.7,18.4,83.1,0
2010-01-13,53.2,10.3,31,66.5,0
2010-01-14,51.4,37.2,43,68.7,0
2010-01-15,42.4,35.2,37.1,87.6,0
2010-01-16,46.6,33.4,37.8,92.1,0
2010-01-17,42.4,30.1,35,92.6,0
2010-01-18,46.2,30,37.1,92.4,0
2010-01-19,46.7,35.3,39.9,86,0.006
2010-01-20,62.6,39.5,46.2,85.2,0.15
2010-01-21,42.9,37.2,40,90.5,0.802
2010-01-22,44.6,35.7,39.6,87.8,0.012
2010-01-23,50,42.9,46.2,87.6,1.033
2010-01-24,48,35.7,41.4,75.6,0.421
2010-01-25,35.7,30,32,60.8,0
2010-01-26,33.4,21.5,26.4,63.9,0
2010-01-27,35.2,21.5,29.4,84.3,0.063
2010-01-28,28.7,19.6,23.8,56.9,0
2010-01-29,21.5,17.7,19.8,61.7,0
2010-01-30,33.9,17.7,24.5,63,0.109
2010-01-31,37.7,15.9,27.1,69.6,0
2010-02-01,42.4,23,32.6,63.3,0
2010-02-02,39,26.7,34.8,70.2,0
2010-02-03,41,19.6,29.8,65.4,0
2010-02-04,37.6,33.4,34.3,70.4,0.063
2010-02-05,35.2,33.4,33.9,91.4,0.665
2010-02-06,35.2,30,33.5,74.9,0
2010-02-07,37.2,21.5,30.7,69.9,0
2010-02-08,33.9,19.2,30.8,84.8,0.188
2010-02-09,26.2,5,15.5,68.5,0
2010-02-10,28.6,17.6,23.7,72.3,0
2010-02-11,33.4,10.2,22.5,78.5,0
2010-02-12,35.2,28.2,31.7,80.5,0.019
2010-02-13,41,21.4,31.3,77.1,0
2010-02-14,35.2,17.6,27.4,75.9,0.012
2010-02-15,26.7,15.9,22.1,71.6,0
2010-02-16,33.4,21,25.6,69.7,0
2010-02-17,37.6,17.7,27.1,58.4,0
2010-02-18,44.7,21.5,31.8,49.6,0
2010-02-19,48.4,26.7,37.6,65.1,0.046
2010-02-20,46.2,35.7,39.6,85.5,0.055
2010-02-21,39.4,33.9,36.7,90.9,1.702
2010-02-22,33.9,24.4,30.2,75.9,0
2010-02-23,39,19.2,26.6,66.5,0
2010-02-24,28.2,12.8,20.6,59.1,0
2010-02-25,39,10.7,24.3,55.1,0
2010-02-26,42.9,19.2,30.4,57.3,0
2010-02-27,44.2,21.5,31.2,55.8,0
2010-02-28,48,21.5,34.1,56.6,0
2010-03-01,39,26.7,34,69.6,0
2010-03-02,42.4,30.4,35.9,67.6,0
2010-03-03,46.6,23,33.6,61.6,0
2010-03-04,51.4,19.7,34.9,57.1,0
2010-03-05,55.6,21.5,39.6,49.2,0.012
