datetime,tempmax,tempmin,temp,humidity,precip
2010-01-01,42.3,33.2,36.3,79.6,0.08
2010-01-02,33.3,19.7,27.4,51,0
2010-01-03,26,19.3,22.5,49.2,0
2010-01-04,30.4,21,25.2,54.4,0
2010-01-05,32,19.9,26.2,57.7,0
2010-01-06,35.6,28.1,31.2,56.1,0
2010-01-07,39,29.7,33,57.9,0
2010-01-08,31.8,23.1,28.9,74.5,0.034
2010-01-09,30,19,23.6,49.8,0
2010-01-10,29.8,13.9,21.3,46.8,0
2010-01-11,32,18.9,25.7,54,0
2010-01-12,35.1,26.7,30.2,57.1,0
2010-01-13,36.8,24.9,29.8,53.8,0
2010-01-14,44.8,24.4,33.8,57.2,0
2010-01-15,51.8,25,38.2,60.7,0
2010-01-16,51.8,37.1,43.1,60.9,0
2010-01-17,42.2,32.1,37.8,88.2,0.606
2010-01-18,53,36.6,43.4,77.2,0.013
2010-01-19,50.4,28.7,38.3,80.1,0.001
2010-01-20,42.4,28.6,34.9,63.1,0
2010-01-21,42.2,25,33.2,64.4,0
2010-01-22,44.5,30.4,36,54.2,0
2010-01-23,42.4,27.5,33,54.2,0
2010-01-24,50.5,27.8,38.2,84.6,0.029
2010-01-25,60.7,46.9,55.4,83.1,1.616
2010-01-26,46.4,34,40.1,58.4,0.006
2010-01-27,37.7,28.5,33.4,55.4,0
2010-01-28,44.7,21.5,33.1,56.6,0
2010-01-29,24.2,17,20.2,40.3,0
2010-01-30,19.6,17,18.4,44.8,0.001
2010-01-31,30.4,15.3,22.6,39.9,0
2010-02-01,35.7,21.2,28.8,45.9,0
2010-02-02,35.3,22.7,29.9,55.1,0
2010-02-03,38.9,30,33.4,77.9,0.037
2010-02-04,39.3,28.7,33.3,46.3,0
2010-02-05,35.9,26.8,32,54.9,0.037
2010-02-06,29.9,20.8,25.7,70.5,0.162
2010-02-07,34.7,13.7,24.2,50.7,0
2010-02-08,35,19.3,26.8,53.1,0
2010-02-09,38.9,22.9,31,61.3,0.148
2010-02-10,33.7,29.9,32.7,89,0.903
2010-02-11,37.5,28.1,32.1,60,0.009
2010-02-12,35.3,22,28.3,56.8,0.001
2010-02-13,31.7,23,27.4,56.1,0
2010-02-14,36.9,24.2,31,56.8,0
2010-02-15,38.8,24,31.2,61.3,0.044
2010-02-16,35.4,30.1,32.4,75.3,0.08
2010-02-17,35.4,24.3,30.4,61.8,0
2010-02-18,43.9,30.4,36.6,57.4,0
2010-02-19,44,35.1,39.5,51.7,0
2010-02-20,42.3,33.3,37.7,54.2,0
2010-02-21,45.9,31.6,37.6,47.1,0
2010-02-22,40.7,25.3,34.2,60.5,0.051
2010-02-23,37.5,35.2,36.9,90,0.825
2010-02-24,43.6,35.5,38.9,81.1,0.019
2010-02-25,37.6,28.6,33.9,85.8,0.394
2010-02-26,36.8,24.8,30.1,71.9,0.064
2010-02-27,40.4,26.6,33.4,68.7,0.001
2010-02-28,40.6,30.7,35.8,72.8,0.001
2010-03-01,46.8,34,40.4,57.1,0
2010-03-02,46.1,33.3,39.3,67.6,0.001
2010-03-03,40.7,35,38,78.2,0.041
2010-03-04,46.1,35,39.9,52.5,0
2010-03-05,48.4,35.1,40.4,44.1,0
2010-03-06,53.5,30,41.4,33.9,0
2010-03-07,55.7,35.4,46.2,33.5,0
2010-03-08,60.4,37.5,49.2,37.7,0
2010-03-09,62.2,39,51.1,39,0
2010-03-10,59,33.6,46.9,57,0
2010-03-11,60.4,44.1,48.9,78.6,0
2010-03-12,46,42.7,44,89.5,0.359
2010-03-13,49.6,42.6,46.4,91.1,2.072
2010-03-14,51.4,43.9,47,92.7,0.495
2010-03-15,46.3,42.2,43.8,84.5,0.256
2010-03-16,63.7,42.2,51,44.7,0
2010-03-17,65.9,33.7,50.8,43.4,0
2010-03-18,67.9,35.4,53.4,41,0
2010-03-19,71.5,37.8,57,40.7,0
2010-03-20,73.6,44.5,60.3,41.3,0
2010-03-21,75.2,47.4,60.9,46.5,0
2010-03-22,60.6,55.1,58.1,85.3,0.983
2010-03-23,57,47.5,51.3,81.9,0.243
2010-03-24,63.9,46.2,52.9,45.1,0
2010-03-25,67.8,35.7,53.5,55,0
2010-03-26,62.2,37.5,46.9,60.5,0.115
2010-03-27,46,28.1,36.4,42.4,0
2010-03-28,55.3,29,42.4,76.2,0.115
2010-03-29,55.4,51.2,53.9,92.9,1.588
2010-03-30,54.7,40.8,44.5,86.4,1.697
2010-03-31,60.3,42.7,50.8,70.5,0.005
2010-04-01,71.5,41.3,55.9,67.5,0
2010-04-02,73.1,42.4,57.1,68,0.001
2010-04-03,71.6,44.5,55.4,72.6,0
2010-04-04,73.9,48.2,61.8,58.3,0
2010-04-05,78.8,49.5,65.2,56.6,0
2010-04-06,87.2,57.2,72.4,59.6,0.01
2010-04-07,89.1,66.1,77.7,39.9,0
2010-04-08,82.8,63.2,73.8,52.1,0
2010-04-09,64.8,47.8,55.3,62,0.552
2010-04-10,60.8,42.8,50.1,40.3,0
2010-04-11,73.7,44,60,46,0.001
2010-04-12,64.8,44.5,57.7,37.6,0.001
2010-04-13,54.2,44.5,50.3,58.3,0.026
2010-04-14,64.6,38.7,52.4,57.7,0.002
2010-04-15,71.6,47.7,60.2,42.7,0
2010-04-16,64.9,47.9,53.9,74.6,0.024
2010-04-17,57.3,46.3,51.1,66.5,0.042
2010-04-18,55.7,38.8,48.3,54.8,0
2010-04-19,64.1,43,53.6,49.3,0
2010-04-20,68.9,42.8,56.5,51.2,0
2010-04-21,68,45.6,56,70.7,0.082
2010-04-22,71.1,48,58.3,69.2,0.005
2010-04-23,67.7,44.4,55.8,40.6,0
2010-04-24,69.2,42.9,56.6,36.8,0
2010-04-25,53.3,46.6,49.2,88.5,0.378
2010-04-26,53.6,49.8,51.2,90.3,0.494
2010-04-27,57.9,41.2,51,66.1,0.006
2010-04-28,58.9,39.2,48.6,43.1,0
2010-04-29,69.7,43.7,56.8,34.3,0
2010-04-30,80,47.9,65.2,43.5,0
2010-05-01,89.7,56.9,74.3,51.4,0
2010-05-02,87.5,69.7,78.4,66.5,0
2010-05-03,80.4,69.2,75.5,72.2,0.276
2010-05-04,80.1,63.6,71.4,54.1,0
2010-05-05,82,51.9,67.2,56.3,0
2010-05-06,78.9,59.3,69.1,56.1,0
2010-05-07,71.7,48.7,61.6,49.6,0
2010-05-08,75.3,53.4,62.8,55.9,0
2010-05-09,55.6,46.1,50.1,43.4,0
2010-05-10,60.9,39.1,50.4,41.8,0
2010-05-11,56.9,39,49.3,51.5,0.04
2010-05-12,51.5,46.1,48.3,90.7,0.289
2010-05-13,66.5,42.4,55.5,63.2,0
2010-05-14,81,55.5,66.7,74.3,0.374
2010-05-15,73.5,60.4,67.6,54.8,0.01
2010-05-16,71.5,55.6,62.4,53.7,0
2010-05-17,69.9,51.7,61.6,53.4,0
2010-05-18,56.6,49.2,52,85.2,0.506
2010-05-19,64.5,51.8,58.1,78.1,0
2010-05-20,80.1,55.2,68,60.2,0
2010-05-21,86,58.8,73.4,54.2,0
2010-05-22,74.9,57.7,66.1,77.4,0
2010-05-23,70.9,60.6,64.2,87.9,0.018
2010-05-24,73.2,61.9,66.3,87.7,0.038
2010-05-25,82.5,62.4,71.7,73.1,0
2010-05-26,91.1,62,77.8,60.6,0
2010-05-27,80.5,57.6,73.3,66.3,0.069
2010-05-28,71.8,57.2,64.6,73,0.104
2010-05-29,78.8,62.1,69.9,73.2,0.034
2010-05-30,84.6,68,76.4,59.6,0.006
2010-05-31,89.7,64.5,76.9,66.5,0.068
2010-06-01,83.5,71.5,76.9,72.4,0.078
2010-06-02,85.9,66.4,76.7,66.9,0
2010-06-03,87.5,69.9,78.8,67.9,0.009
2010-06-04,87.3,68.1,78.4,68,0.005
2010-06-05,88,73.8,81.2,64.2,0
2010-06-06,89.4,64.7,79.2,62.9,0
2010-06-07,74.8,53.6,65.2,52,0
2010-06-08,73.7,55.1,65.5,47.5,0
2010-06-09,67.9,52,59.8,74.7,0.288
2010-06-10,82.5,59.2,68.6,75.8,0.005
2010-06-11,76.6,57.7,67.4,65,0
2010-06-12,85.7,60.9,72.7,73.1,0
2010-06-13,86.3,69.3,75.4,81.1,0.119
2010-06-14,80.8,66.3,72.9,78.7,0
2010-06-15,78.9,64.5,72.7,56.3,0
2010-06-16,78.8,62,70.5,75.6,0
2010-06-17,78.7,64.3,73,66.1,0.023
2010-06-18,83.8,57.9,71.8,57.9,0
2010-06-19,87.4,60.6,74.6,67.4,0
2010-06-20,92.8,71.2,81.1,65.6,0
2010-06-21,89.6,71.1,81,53.6,0
2010-06-22,89.3,69.1,78.8,62.2,0.025
2010-06-23,91.8,68.4,82.2,63,0
2010-06-24,96.5,78.4,84.6,57.4,0.001
2010-06-25,89,69.3,79.4,55.4,0
2010-06-26,91.3,64.9,80,57.3,0
2010-06-27,94.7,71.7,84.3,59.8,0
2010-06-28,95.1,78.3,85.8,62.3,0.031
2010-06-29,91,75.3,82.3,57.6,0
2010-06-30,80.5,61,71.1,40,0
2010-07-01,78.5,57.5,68.9,44.5,0
2010-07-02,81.9,56.8,70.2,43.6,0
2010-07-03,90.9,56.1,75.6,47.6,0
2010-07-04,98,64.7,83.6,39.9,0
2010-07-05,98.5,72.8,86.4,42.8,0
2010-07-06,102.1,74.8,89.4,48,0
2010-07-07,100.7,82.5,90.5,46.7,0
2010-07-08,89.3,74.9,81.2,70.3,0
2010-07-09,87.5,72.8,80,73.1,0.033
2010-07-10,80.7,73.3,75.9,83.9,0.175
2010-07-11,91.1,71.3,80,63.5,0
2010-07-12,91.5,64.5,78,64.7,0.081
2010-07-13,85.7,71.3,76.8,85.5,1.462
2010-07-14,82.5,73.5,76.8,84.9,0.267
2010-07-15,89.3,71.8,79.5,73,0
2010-07-16,94.3,73.5,83.6,68.7,0
2010-07-17,91.7,74.9,83.7,56.5,0.001
2010-07-18,92.8,75.6,84.7,57.7,0
2010-07-19,91.6,75.6,81.7,68.6,0.062
2010-07-20,87.3,73.1,80.1,69.1,0
2010-07-21,91.6,73.6,83.2,67.5,0
2010-07-22,89.6,71.1,80,62.6,0.077
2010-07-23,93.6,71.7,83.1,62.1,0
2010-07-24,96.2,82.4,88.9,59.3,0
2010-07-25,92.9,69.9,81,69.5,0.196
2010-07-26,87.1,64.2,75.9,58.8,0
2010-07-27,87.7,64.7,77.8,56,0
2010-07-28,89,71.3,79.6,67.8,0
2010-07-29,89.5,74,80.9,69.7,0.01
2010-07-30,83.6,64.1,74.8,50.7,0
2010-07-31,83.9,62.3,73.5,53.3,0
2010-08-01,77.8,66.7,71.9,77.5,0.025
2010-08-02,82.4,65.4,74.3,67.9,0.005
2010-08-03,87.2,69.9,77.8,65.4,0
