datetime,tempmax,tempmin,temp,humidity,precip
2010-01-01,39.7,33.7,36.3,82.5,0.094
2010-01-02,34,17.5,25.7,60.2,0.007
2010-01-03,22.1,17.6,19.7,55.1,0
2010-01-04,30.1,19.7,23.5,55.3,0
2010-01-05,30.5,21,25.4,55.6,0
2010-01-06,34.3,26.6,29.2,55,0
2010-01-07,37.8,30,33.2,60.4,0
2010-01-08,33.7,23.3,29.7,68.5,0.026
2010-01-09,30.5,19.7,23.8,47,0
2010-01-10,28.8,14.6,21.6,41.5,0
2010-01-11,30.6,21.3,26.6,47.5,0
2010-01-12,34.4,25.1,29.9,51.8,0
2010-01-13,35.5,24.7,29.7,50.9,0
2010-01-14,41.3,30,35,53.8,0
2010-01-15,49.2,35.3,41.1,49.8,0
2010-01-16,48.8,38,43.1,53.9,0
2010-01-17,43.5,35.2,37.8,80.3,0.488
2010-01-18,49.7,36.9,42.8,72.7,0.085
2010-01-19,47.8,39.8,43.3,70.1,0
2010-01-20,41.8,35,37.6,60.1,0
2010-01-21,41.6,30.6,35.9,55.7,0
2010-01-22,44.1,33.5,37.3,49.4,0
2010-01-23,39.7,28.1,33.6,52.4,0
2010-01-24,48.4,32.6,38.3,80,0.022
2010-01-25,55.2,49.3,52.8,86.9,1.184
2010-01-26,47.8,35.5,41.2,50.9,0.297
2010-01-27,38.3,30.3,34.6,50.2,0
2010-01-28,41.6,21.2,33.2,57,0.09
2010-01-29,23.6,16.2,19.5,39.7,0
2010-01-30,19.5,13.4,17.2,42.8,0
2010-01-31,30.3,14.4,22.4,38.7,0
2010-02-01,35.6,24.9,30,40.1,0
2010-02-02,33.8,27.8,30.8,50.6,0.013
2010-02-03,37.9,28.5,32.5,74,0.076
2010-02-04,36.5,28.5,32.6,40.4,0
2010-02-05,36,30,33.1,46.9,0
2010-02-06,33.8,21.6,27.2,50.5,0.002
2010-02-07,34.4,17.5,24.6,47.6,0
2010-02-08,37.7,23.1,29.4,48.6,0
2010-02-09,42.3,28.2,34.3,54.3,0.002
2010-02-10,34,30.2,32.1,90.3,1.178
2010-02-11,35.9,28.5,32.4,57.8,0.007
2010-02-12,37.4,26.7,30.9,51.2,0
2010-02-13,32.3,25.1,28.3,52.1,0
2010-02-14,39,28.1,32.8,54.5,0
2010-02-15,39.1,27.1,33.5,56.4,0.007
2010-02-16,33.4,29.1,31.8,87.4,0.393
2010-02-17,34,26.7,30.9,64.6,0
2010-02-18,39.5,32,36.1,59.7,0
2010-02-19,43.4,35.5,39.2,53.1,0
2010-02-20,44.8,35.3,39.5,58.9,0
2010-02-21,46.3,33.7,39.6,44,0
2010-02-22,44.1,28.8,36.8,55.1,0.004
2010-02-23,37.4,35.5,36.2,91,1.088
2010-02-24,40.6,36,38.2,89.5,0.446
2010-02-25,37.2,28.9,34.1,92,1.658
2010-02-26,33.7,26.2,30,85.9,0.781
2010-02-27,37.8,28.8,34.2,73.9,0.006
2010-02-28,38.9,33.3,36.4,71.3,0
2010-03-01,47.1,35.9,40.9,57.7,0
2010-03-02,46.4,35.9,40.7,64.2,0.007
2010-03-03,40.3,34.2,37.9,75.9,0.069
2010-03-04,46.6,37.3,40.9,51.8,0
2010-03-05,46.7,34.5,40.1,44.6,0
2010-03-06,53.9,32.2,42.8,26.4,0
2010-03-07,57.3,37.4,47.3,33.9,0
2010-03-08,60.9,42.3,51,35,0
2010-03-09,60.6,44.6,52.6,35.3,0
2010-03-10,54.2,42.5,48.8,45.1,0
2010-03-11,50.8,42.6,45.7,69.2,0
2010-03-12,43.2,40.4,42.5,80.1,0.206
2010-03-13,45.3,38.1,41.8,90.1,3.555
2010-03-14,49.1,43.1,46.1,87.8,0.42
