datetime,tempmax,tempmin,temp,humidity,precip
2010-01-01,46.9,34.3,43.1,73.3,0.002
2010-01-02,32.3,23.5,27.9,42.1,0
2010-01-03,32.4,19.6,25.1,38.9,0
2010-01-04,35.5,18,26.7,47.5,0
2010-01-05,35.6,18.7,27.3,53,0
2010-01-06,40,20.1,30.1,53.3,0
2010-01-07,46.4,20.3,34.8,47.9,0
2010-01-08,42.2,23.6,32,54.1,0.045
2010-01-09,36.4,20.1,27.3,47.6,0
2010-01-10,37.4,20,27.3,48.6,0
2010-01-11,44.7,16.9,29.4,49.6,0
2010-01-12,38.1,28.5,34.3,51.2,0
2010-01-13,45.3,19.6,32.4,52.2,0
2010-01-14,56.5,23.9,38.4,52.9,0
2010-01-15,62.3,28.5,42.6,52.6,0
2010-01-16,61.9,30,45.1,53,0.001
2010-01-17,66.6,44.7,53.8,88.5,1.22
2010-01-18,62.4,40.8,50.2,75.2,0.001
2010-01-19,65.9,35.6,49,69.3,0
2010-01-20,65,38.5,50.7,69.5,0.002
2010-01-21,41.4,37.7,38.4,88.5,0.607
2010-01-22,39.7,37.8,38.5,91.7,0.019
2010-01-23,49.1,31,40.2,75.1,0
2010-01-24,64.5,39.7,51.8,81.3,0.057
2010-01-25,65.2,49,59.9,63.1,0.838
2010-01-26,50.3,32.8,43.2,45.5,0
2010-01-27,48.8,27.2,37.6,57.2,0
2010-01-28,62.3,30.6,45.7,53.6,0
2010-01-29,46.2,29.1,36.6,47.2,0.063
2010-01-30,28.6,19.7,23.5,87.1,0.51
2010-01-31,36,17.4,25.2,62.2,0.031
2010-02-01,47.6,19.2,32.2,57.1,0.001
2010-02-02,37.5,29.9,34.5,81.7,0.121
2010-02-03,50.5,33.8,39.5,76.5,0.022
2010-02-04,44.5,30.2,37.4,66.3,0
2010-02-05,41.5,34,37.6,81.8,1.217
2010-02-06,36.9,30.9,34.5,82.6,0.006
2010-02-07,41.4,24.5,31.8,64.8,0
2010-02-08,45.2,24.4,33.3,64.3,0
2010-02-09,40.1,33.3,37,78,0.329
2010-02-10,38.1,28.6,34.7,53.6,0.001
2010-02-11,44.9,30.5,36.2,47.4,0
2010-02-12,38.1,27.1,32.8,57.1,0.057
2010-02-13,42.3,30.2,33.6,67.7,0.071
2010-02-14,46.7,26.3,34.5,46.8,0
2010-02-15,49.5,30.6,40,66.1,0.024
2010-02-16,39.8,27.6,33.4,44.8,0
2010-02-17,41.8,26.7,33.5,48,0
2010-02-18,49.1,28.5,37.5,50.3,0
2010-02-19,53.7,27.5,39.4,51,0
2010-02-20,58.1,25.1,41.3,42.2,0
2010-02-21,64.5,25.4,46.3,48.1,0
2010-02-22,51.4,38.6,47,79.9,0.223
2010-02-23,53.5,41.4,46.1,84.1,0
2010-02-24,47.8,37.3,40.9,84.4,0.097
2010-02-25,42,31,35.8,61.8,0.001
2010-02-26,50,30.3,38.1,40,0
2010-02-27,49.8,30.5,39.3,44.7,0
2010-02-28,50.6,27.4,40,49.7,0
2010-03-01,53.6,30.6,42,51.1,0
2010-03-02,42.5,33.8,37.5,71.9,0.22
2010-03-03,42.9,33.5,38.6,74.1,0.16
2010-03-04,50.2,35.6,42.2,47.5,0
2010-03-05,51.5,25.8,39.5,45,0
2010-03-06,55.7,29.6,42.3,41.2,0
2010-03-07,62.6,24.9,43.6,45.4,0
2010-03-08,64.7,31.2,48.4,46.4,0
2010-03-09,71.9,34.6,54,53,0
2010-03-10,67.9,51.3,58,58.1,0.128
2010-03-11,68.2,51.3,58.8,87.8,0.273
2010-03-12,64.4,57.7,61,89.3,0.085
2010-03-13,66.3,50.3,57,76.6,0.332
2010-03-14,60.5,45,52.5,64.2,0.177
2010-03-15,60.9,40.1,52.1,61.4,0
2010-03-16,52.2,42.3,49.6,62.8,0
2010-03-17,62.8,34.8,49.4,60.6,0
2010-03-18,66.5,46,54.5,49.2,0
2010-03-19,73.9,37,55.9,45.9,0
2010-03-20,77.3,39.1,59.1,45.8,0
2010-03-21,68.6,50.4,61.3,56.6,0
2010-03-22,64.9,47,59.5,61.5,0.062
2010-03-23,65.1,40.2,51.5,55.1,0.006
2010-03-24,73.8,39.9,56.8,53.9,0
2010-03-25,74.8,49.6,61.9,50.8,0
2010-03-26,66.6,40.4,55.8,74.5,0.056
2010-03-27,57.4,33.6,45,60.3,0
2010-03-28,68.2,38.7,53.5,70.3,0.03
2010-03-29,66.6,54.4,59.4,80.9,1.329
2010-03-30,69.8,51.5,59.2,51.6,0.001
2010-03-31,75.8,45.1,60.8,35.7,0
2010-04-01,84.1,43.6,64.3,46.1,0
2010-04-02,87.7,52.1,70.1,47.7,0
2010-04-03,79.4,54.2,67.5,53.2,0
2010-04-04,82.9,57.3,69.6,62.7,0
2010-04-05,88.2,58.1,73.3,57.8,0
2010-04-06,90,62.7,76.6,48.2,0
2010-04-07,87.7,61.6,75.6,50.6,0
2010-04-08,80.5,62.3,71.7,58.8,0.016
2010-04-09,65.3,49.3,57.8,58.8,0.585
2010-04-10,70.1,41.4,55.9,42.4,0
2010-04-11,75.2,42.6,59.3,54.2,0
2010-04-12,77.3,47.1,63.1,49.5,0
2010-04-13,78.6,51,64.5,58.8,0.01
2010-04-14,56,46,52.5,72.3,0
2010-04-15,74.8,38.7,55.9,68.8,0
2010-04-16,85.1,49.9,68.7,56.3,0
2010-04-17,77.3,58,68,50.8,0
2010-04-18,65,41.7,54.7,44.5,0
2010-04-19,67.9,39.3,53.7,56.9,0
2010-04-20,71.7,42.5,58.4,56.4,0
2010-04-21,61.8,51.6,57.3,82.4,0.119
2010-04-22,73.8,45.3,60,61.4,0
2010-04-23,71.4,48.1,61,66.7,0
2010-04-24,75,57.3,65.1,77.3,0.025
2010-04-25,80.5,62.5,70.4,77,0.118
2010-04-26,75.6,60.2,68.5,64,0
2010-04-27,67.6,52.4,59.9,55.5,0
2010-04-28,66,42.9,55.7,43.9,0
2010-04-29,73.6,37.4,56.7,54.8,0
2010-04-30,82.7,52,67.4,54.9,0
2010-05-01,87.7,62.3,74.1,69.4,0
2010-05-02,91.4,71.9,80.8,65.8,0
2010-05-03,78.5,73.2,75.2,76,0
2010-05-04,79.7,62.4,73.2,67.5,0
2010-05-05,87.5,56.8,72.2,62.2,0
2010-05-06,89.7,68,77.9,60.9,0.005
2010-05-07,89.3,61.9,76.2,52.4,0
2010-05-08,87.9,66.5,77.9,45.8,0
2010-05-09,66.8,51.2,60,35.4,0
2010-05-10,65.9,42.1,55.5,47.1,0
2010-05-11,66.6,54.8,61.3,57.6,0
2010-05-12,82.7,63.9,72.8,69.5,0
2010-05-13,74.6,64.5,69.5,77.5,0
2010-05-14,91.4,65.7,77.5,66.1,0
2010-05-15,92.9,69.3,80.4,55.7,0
2010-05-16,81.1,66.8,73.4,74.8,0.027
2010-05-17,74.7,57.8,64.9,91.1,0.904
2010-05-18,62.3,53.9,58.1,86.7,0.13
2010-05-19,69.5,55.7,61.8,85.8,0.129
2010-05-20,78.7,57.1,67.5,68.8,0.003
2010-05-21,82.4,53.5,69.4,65.1,0
2010-05-22,80.3,65.6,70.8,75.2,0.218
2010-05-23,78,66.1,70.3,84.7,0.378
2010-05-24,73,64.3,68.1,87.7,0.022
2010-05-25,75.5,65.8,70.2,80.2,0
2010-05-26,80.8,62.6,71,65.4,0
2010-05-27,89.5,60.7,76,65.8,0
2010-05-28,86.7,66,75.7,65.4,0
2010-05-29,82.1,64.3,72.1,78.6,0.159
2010-05-30,87,69.1,77.1,72.1,0
2010-05-31,85.5,69.2,76.2,73,0
2010-06-01,83.5,69.3,74.4,82.2,0.089
2010-06-02,86.5,71.2,74.7,85,0.006
2010-06-03,86.8,69.8,76.5,78.7,0
2010-06-04,90.8,70.1,80.2,73.8,0
2010-06-05,91.2,73.4,82.5,69.1,0
2010-06-06,95.3,73.5,82.6,68.4,0.061
2010-06-07,80.6,65.9,73.2,63.4,0
2010-06-08,81.9,63.4,72.3,60,0
2010-06-09,86.7,67.5,76.7,64.5,0
2010-06-10,89.2,73.7,80.9,66.4,0
2010-06-11,90.6,69.1,79.4,60.9,0.001
2010-06-12,92.7,68.4,79.3,71,0
2010-06-13,93.4,72.1,79.7,79.1,0.406
2010-06-14,91.6,71.7,81.3,70.8,0
2010-06-15,91.8,72.8,82,68.6,0
2010-06-16,88.7,74.9,79.5,79.9,0.083
2010-06-17,90.8,72.6,80.7,68.4,0
2010-06-18,87.6,69.8,77.9,66.3,0
2010-06-19,92.1,72.3,81.5,70.5,0
2010-06-20,93,73.1,82.9,66.6,0
2010-06-21,92,69.5,81,63.3,0
2010-06-22,96.2,69,83.1,63.7,0
2010-06-23,96.1,73.9,82.7,68.4,0.035
2010-06-24,98,73,85.8,63,0
2010-06-25,93.2,77.7,85.2,61.2,0
2010-06-26,95.2,73.2,82.8,68.7,0
2010-06-27,99.4,73.1,85.4,63.9,0
2010-06-28,98,73.2,85.5,60.2,0
2010-06-29,93.9,75.6,82.9,64.3,0.013
2010-06-30,77.3,71.7,75,79.4,0.06
2010-07-01,80.8,68.3,73.9,66.6,0
2010-07-02,83,57.7,71,52.8,0
2010-07-03,85.7,56.8,72.5,54,0
2010-07-04,91,61.6,77.4,50.8,0
2010-07-05,95.6,64.7,80.5,52.3,0
2010-07-06,97.8,67.3,83.1,52.2,0
2010-07-07,100.5,69,86.1,48.5,0
2010-07-08,96.9,73.4,84.6,58.1,0.006
2010-07-09,94.1,71.2,82.5,63.5,0
2010-07-10,89.5,73.4,81.3,70.3,0.128
2010-07-11,93.7,72.6,82.3,63.5,0
2010-07-12,86,73.3,79.5,74,0.046
2010-07-13,91,73.1,80.1,77.5,0.001
2010-07-14,91.1,72.5,80.5,71.9,0.221
2010-07-15,93.3,71.2,82.8,65.8,0
2010-07-16,95.9,76.6,85.1,67.6,0
2010-07-17,85.4,71.7,77.8,79.8,0.124
2010-07-18,94.1,71.6,79.9,76.6,0.008
2010-07-19,91.3,75.1,82.7,71,0.005
2010-07-20,95.5,74,82.5,73.2,0.215
2010-07-21,96.4,73.9,85,67.4,0
2010-07-22,96.3,75.2,85.8,63.5,0
2010-07-23,97.8,76.8,87.1,65.8,0
2010-07-24,99,78.7,87.6,67.4,0
2010-07-25,100.4,80.3,89,61.2,0.014
2010-07-26,93.2,76.7,85.4,63.2,0.006
2010-07-27,81.9,74.1,77.6,79.3,0.112
2010-07-28,91.9,73.2,81.6,75.5,0
2010-07-29,95.2,75.4,84.4,70,0.161
2010-07-30,87.6,73.1,78.6,68.1,0.026
2010-07-31,77.1,66.9,72.6,72.5,0.019
2010-08-01,78.7,65.5,71.4,82.1,0.067
2010-08-02,84.3,70.8,76.2,75.1,0
2010-08-03,89.4,70.6,79.8,74.3,0
2010-08-04,92.6,75.1,83.6,72.3,0
2010-08-05,94.5,73.3,82.2,76.7,0.364
2010-08-06,90.9,71.8,80.4,75.1,0.062
2010-08-07,87.9,71.5,79.9,68.6,0
2010-08-08,89.4,71.3,80.3,69.4,0
2010-08-09,92.2,70.7,81.6,67.6,0
2010-08-10,95.9,73.5,84.2,69.4,0
2010-08-11,96.2,78.4,86.1,68.6,0
2010-08-12,95.7,76.1,84.5,72.7,0.165
2010-08-13,87.9,74,80.4,76.8,0
2010-08-14,87.7,74.8,80.2,70.2,0
2010-08-15,89.8,72.8,81.4,66.9,0
2010-08-16,93.3,73.8,83.2,63.6,0
2010-08-17,95.8,74.5,84.6,64.2,0
2010-08-18,91.7,75.5,82.1,76,0.054
2010-08-19,83.8,74.7,78.2,87,0.1
2010-08-20,89.3,73.1,79.5,75.2,0.136
2010-08-21,89.2,67.5,78.8,69.2,0
2010-08-22,88.7,74.2,80.6,76.8,0.024
2010-08-23,87.7,73.3,78.2,76.5,0.007
2010-08-24,82.1,69.9,73.3,85.4,0.273
2010-08-25,80,66.3,72.5,78.3,0.011
2010-08-26,89.2,66.5,77.5,67.6,0
2010-08-27,89.4,67.4,77.8,68.1,0
2010-08-28,89.5,69.4,78.4,71.3,0
2010-08-29,89.1,67.9,78.6,67.6,0
2010-08-30,95.6,64.6,79.2,63,0
2010-08-31,96.2,65.5,80.7,61.4,0
2010-09-01,93.4,69.2,81.4,59.6,0
2010-09-02,85.1,65.8,76.8,64.2,0
2010-09-03,97,72.6,82.1,50.5,0
2010-09-04,85.4,61.8,76.2,44.3,0
2010-09-05,85.5,53.6,69.8,54.6,0
