datetime,tempmax,tempmin,temp,humidity,precip
2010-01-01,53.6,48,51,85.5,0.817
2010-01-02,51.5,39.1,47.1,83.6,0
2010-01-03,48.4,39.1,43.2,86.8,0
2010-01-04,55.4,39.5,48.3,87,0.073
2010-01-05,55.5,53.2,54.1,93.7,0.807
2010-01-06,53.6,42.5,46.3,87.3,0.304
2010-01-07,44.7,37.3,40.9,66.8,0
2010-01-08,42.5,39,40.1,85.8,0.371
2010-01-09,46.6,39.1,43.4,90.9,0.038
2010-01-10,44.3,35.3,40.4,89,0
2010-01-11,46.3,41,43.3,85.6,0
2010-01-12,55.6,44.2,50.3,87.2,0.561
2010-01-13,51.8,44.7,48.9,85.8,0.297
2010-01-14,53.2,44.5,47.8,78,0
2010-01-15,55.5,44.6,49.4,75.9,0.869
2010-01-16,53.2,48,49.8,87.7,0.223
2010-01-17,53.3,48.4,50.1,84.9,0.441
2010-01-18,53.7,37.4,48.1,71.7,0.001
2010-01-19,57,41.1,49.7,67.1,0
2010-01-20,48.4,37.4,45.3,79.2,0.069
2010-01-21,57,37.7,46.2,71.1,0
2010-01-22,46.6,39.4,43,89.1,0.169
2010-01-23,53.2,39,43.8,80.3,0
2010-01-24,47.9,37.3,42.5,91.2,0.722
2010-01-25,53.6,44.3,48.9,83,0.172
2010-01-26,51.8,39,45.2,85.5,0.041
2010-01-27,46.6,39.4,42.9,86.1,0
2010-01-28,50,37.2,42.5,83.3,0
2010-01-29,53.3,42.6,47.4,72.9,0
2010-01-30,48.4,44.3,45.9,90,0.076
2010-01-31,55.1,41,47.4,82.1,0.024
2010-02-01,46.6,39,43.8,92.5,0.243
2010-02-02,48.5,35.5,43.2,93.2,0.069
2010-02-03,53.3,39.5,47.4,87.9,0.148
2010-02-04,51.5,42.9,47.2,88.5,0.124
2010-02-05,62.2,42.6,50.8,75.2,0.012
2010-02-06,50,42.6,46.5,87.2,0.206
2010-02-07,55.2,37.7,47,83.6,0
2010-02-08,44.4,32,39.2,91.3,0
2010-02-09,46.6,33.5,40.1,90,0
2010-02-10,48.4,33.5,43.1,86.3,0.082
2010-02-11,58.8,48,51.7,79.9,0.487
2010-02-12,53.3,44.6,49.2,85.2,0.364
2010-02-13,53.6,44.7,48.5,86.5,0.012
2010-02-14,55.2,42.6,49.9,87.5,0.351
2010-02-15,51.7,41,45.2,92.8,0.193
2010-02-16,60.5,46.2,53.6,81,0.044
2010-02-17,55.7,39,44.5,83.1,0
2010-02-18,62.3,32.3,45.7,64.1,0
2010-02-19,62.2,30.7,44.8,59.5,0
2010-02-20,60.4,30.6,44.3,52.5,0
2010-02-21,57,28.3,41.9,50.2,0
2010-02-22,53.7,26.3,39.2,58.4,0
2010-02-23,44.3,35.7,41.3,85.5,0.743
2010-02-24,53.8,42.8,48.8,84.5,0.227
2010-02-25,58.9,41,50.1,76.7,0.105
2010-02-26,53.3,46.6,49.9,90.8,0.627
2010-02-27,57.3,44.3,50.6,71.4,0
2010-02-28,58.9,42.9,50.1,78.1,0
2010-03-01,55.6,39.4,48,84.8,0
2010-03-02,55.2,42.9,49.5,85.8,0.12
2010-03-03,50,44.3,46.8,88.9,0
2010-03-04,55.6,40.9,46.9,81.3,0.019
2010-03-05,57.4,40.9,48,70.3,0
2010-03-06,64.2,35.5,48.1,68.7,0
2010-03-07,55.2,37.5,46.9,77.7,0.097
2010-03-08,51.5,37.2,43.3,65.3,0.076
2010-03-09,48,32,39.4,73.6,0.075
2010-03-10,50,37.6,43.5,68.3,0.011
2010-03-11,50,44.6,47.3,78.1,0.696
2010-03-12,53.2,39,45.3,82.5,0.382
2010-03-13,49.9,35.3,42.2,75.7,0.017
2010-03-14,55.5,30.5,42.8,75.3,0
2010-03-15,62.7,41.1,51.6,70.3,0
2010-03-16,55.2,42.6,48.1,81.7,0
2010-03-17,55.6,39.5,47.2,67.7,0.011
2010-03-18,62.3,34,46.6,57,0
2010-03-19,67.9,33.7,50.3,50.3,0
2010-03-20,67.9,33.6,51.5,54.8,0
2010-03-21,57,46.2,51.9,73.4,0.103
2010-03-22,53.3,42.8,48.2,70.7,0.011
2010-03-23,60.5,33.9,46.7,73.3,0
2010-03-24,67.9,39,51.7,69.2,0.138
2010-03-25,51.5,44.6,47.1,84.9,0.733
2010-03-26,53.7,42.5,47.3,79.5,0.48
2010-03-27,64.2,37.3,50.4,72,0
2010-03-28,53.6,48,50.8,79.1,0.952
2010-03-29,51.4,42.5,47.3,80.9,0.984
2010-03-30,46.2,37.6,41.6,84.7,0.274
2010-03-31,51.4,37.6,43.3,74.2,0
2010-04-01,51.5,33.8,42.2,76.6,0
2010-04-02,51.7,37.7,43.2,79.2,0.894
2010-04-03,46.2,37.6,41.6,83.1,0.224
2010-04-04,55.5,37.3,44.2,74.4,0.1
2010-04-05,48.1,40.9,43.5,76.3,0.234
2010-04-06,53.6,40.9,46.8,73.6,0.138
2010-04-07,60.7,42.4,50.3,69.4,0
2010-04-08,51.4,33.9,44.2,66.4,0.24
2010-04-09,53.6,33.9,43.5,68.5,0
2010-04-10,64.2,35.4,49.8,58.1,0
2010-04-11,59,46.2,51.2,76.9,0.146
2010-04-12,64.2,46.3,54,66.1,0.043
2010-04-13,58.9,44.2,51.1,66.6,0.019
2010-04-14,62.3,33.9,47.8,70.7,0.626
2010-04-15,62.3,44.3,52.2,70.2,0.199
2010-04-16,66.3,41,53.5,70.9,0
2010-04-17,64.5,46.6,55.7,68.5,0.001
2010-04-18,71.6,42.9,57,70.8,0
2010-04-19,66,50,56.9,68.5,0.061
2010-04-20,55.2,48,51.5,79.7,0.116
2010-04-21,57,44.5,49.9,59.5,0
2010-04-22,59,39,49.8,65.6,0
2010-04-23,66.2,37.5,50.1,70,0
2010-04-24,55.6,42.9,49.9,64.3,0.001
2010-04-25,66,37.2,50.4,65.4,0
2010-04-26,62.5,46.5,53,74.6,0.514
2010-04-27,53.3,46.2,49.2,81.3,0.602
2010-04-28,53.3,42.8,46.7,78.6,0.156
2010-04-29,56.9,42.5,48.4,72.4,0.042
2010-04-30,57.4,44.6,50.1,71.9,0.024
2010-05-01,60.4,46.2,51.7,71.4,0
2010-05-02,62.2,46.6,53.1,61.8,0
2010-05-03,53.6,41,49.3,69.1,0.258
2010-05-04,51.8,37.3,44.9,71.6,0.012
2010-05-05,53.2,40.9,45.8,69.8,0.22
2010-05-06,57.4,35.7,47.8,67,0
2010-05-07,67.9,41,54.2,59.8,0
2010-05-08,68,39.4,55.1,58.4,0
2010-05-09,68,40.9,53.5,66,0.04
2010-05-10,59,46.6,51.4,73.7,0.063
2010-05-11,59,46.6,52.9,67.3,0
2010-05-12,66,48,56,64.1,0
2010-05-13,73.3,41,57.6,61.8,0
2010-05-14,77,44.6,61.1,58.7,0
2010-05-15,73.2,46.2,59.6,62.3,0
2010-05-16,73.6,51.8,62.9,59,0
2010-05-17,71.6,51.8,57,78,0.292
2010-05-18,62.3,51.9,56.6,76.6,0.169
2010-05-19,62.3,48,54.3,73.2,0.337
2010-05-20,57,44.3,49.2,77.2,0.37
2010-05-21,51.4,44.3,46.8,83.8,0.906
2010-05-22,55.5,42.5,47.7,79.4,0.124
2010-05-23,55.2,42.5,48.8,74.8,0.042
2010-05-24,60.4,44.7,52.9,69.2,0
2010-05-25,62.2,50,55.1,79,0.186
2010-05-26,62.2,51.5,55.1,76.8,0.226
2010-05-27,62.6,49.9,55.8,66.7,0.001
2010-05-28,60.4,46.3,53.2,67.6,0.003
2010-05-29,62.7,49.9,55.4,67.7,0.001
2010-05-30,69.8,53.2,59.5,70.4,0.033
2010-05-31,69.4,53.6,59.7,77,0.213
2010-06-01,62.6,53.2,57.8,78.3,0.076
2010-06-02,62.6,48.1,58.5,85.1,1
2010-06-03,59,44.2,51.6,83.1,0.358
