datetime,tempmax,tempmin,temp,humidity,precip
2010-01-01,38.7,28.6,33.3,78.4,0.027
2010-01-02,27.9,19.2,24.4,50.5,0
2010-01-03,24.9,17.3,21.4,54.7,0
2010-01-04,28.6,23,26.4,58.8,0
2010-01-05,30,23,27,57.6,0
2010-01-06,35.3,26.7,31,61.7,0
2010-01-07,34.9,28.2,31.1,58.6,0
2010-01-08,29.7,20.2,26,69.1,0.024
2010-01-09,30.4,21.4,25.9,48.3,0
2010-01-10,28.6,15.8,21.7,46.3,0
2010-01-11,33.5,16.2,24.7,60.1,0
2010-01-12,33.8,24.9,28.6,55.8,0
2010-01-13,37.6,24.2,30.2,58.2,0
2010-01-14,47.4,19.6,31,66.3,0
2010-01-15,50.9,24.4,38.5,64.9,0
2010-01-16,51.6,31.6,41.3,69.6,0
2010-01-17,38.7,30.8,36,91.6,0.812
2010-01-18,51.2,34.2,41.9,77.5,0
2010-01-19,46.3,31.3,37.4,78.8,0
2010-01-20,40.6,29.7,35.4,59.4,0
2010-01-21,39.4,22.5,31.5,68.7,0
2010-01-22,40.7,31.7,35.8,57.7,0
2010-01-23,41.3,21.7,31.7,63.1,0
2010-01-24,48.1,30.4,36.4,87.1,0.446
2010-01-25,61.9,42.2,53.8,78.6,1.134
2010-01-26,41.3,30.4,37.3,55.3,0.009
2010-01-27,39,28.6,32.6,55.6,0
2010-01-28,44.2,19.6,31.7,51.1,0
2010-01-29,23,15.5,18.7,43.3,0
2010-01-30,19.6,15.9,18.4,44,0
2010-01-31,33.1,15.1,22.9,38.2,0
2010-02-01,35.2,23.2,28.2,49.1,0
2010-02-02,33.5,19.9,27.3,74,0.121
2010-02-03,38.7,26.6,32.7,75.4,0.033
2010-02-04,39.1,26.9,32.4,51,0
2010-02-05,37.2,27.9,31.1,76.4,0.357
2010-02-06,28.6,20.7,26.9,71.4,0.85
2010-02-07,30.4,15.4,22.8,55.8,0.002
2010-02-08,34.9,19.2,26,54.3,0
2010-02-09,33.4,17.9,26.2,71.3,0.233
2010-02-10,28.6,21.4,26.6,83.8,0.807
2010-02-11,35.3,26.7,30.5,60,0.009
2010-02-12,36.9,21.7,28.7,57.4,0
2010-02-13,30.4,24.4,26.8,56.6,0
2010-02-14,35.3,26.3,30.5,59.4,0
2010-02-15,33.9,16.1,27.6,70.3,0.063
2010-02-16,33.5,26.3,29.2,66.5,0
2010-02-17,33.9,24.2,30,61.3,0
2010-02-18,41.8,32,37.6,55.5,0
2010-02-19,42.8,35.6,38.2,51.9,0
2010-02-20,39.4,30.1,35.8,50.5,0
2010-02-21,45.9,28.7,37.4,47.9,0
2010-02-22,37.6,28.2,33.8,70.9,0.121
