datetime,tempmax,tempmin,temp,humidity,precip
2010-01-01,49.5,38.8,44.9,79.8,0.015
2010-01-02,39.4,28.3,33.7,48.2,0
2010-01-03,39,19.7,29.2,39.3,0
2010-01-04,40,19,29.6,45.5,0
2010-01-05,39.5,20.9,31.1,48.3,0
2010-01-06,42.4,20.7,30.9,56.3,0
2010-01-07,51.9,21.3,37,52.2,0
2010-01-08,44.5,28.5,35.7,48.3,0
2010-01-09,38.9,23.3,29,43.4,0
2010-01-10,39.4,21.9,29.3,50.2,0
2010-01-11,48.6,18,32.9,51.3,0
2010-01-12,47.6,26.2,37.7,47.5,0
2010-01-13,47.9,21.9,33.3,61,0
2010-01-14,55.7,23.7,37.3,64.6,0
2010-01-15,64.2,27.5,43,62.3,0
2010-01-16,53.6,34.6,45.1,78.5,0.559
2010-01-17,66,53.6,60.3,83.1,1.144
2010-01-18,66,42.5,53.2,70.8,0
2010-01-19,69.4,35.6,49.8,69.6,0
2010-01-20,71.2,40.3,55.2,67.7,0
2010-01-21,55.6,42.7,48.5,87.7,0.494
2010-01-22,47.6,39.5,43.3,83.4,0.001
2010-01-23,49.6,42.7,46.1,74.2,0
2010-01-24,69.8,47.5,57.8,79.1,0.06
2010-01-25,69.4,48.4,56.8,59.4,0.372
2010-01-26,51.9,38.6,46.3,42.1,0
2010-01-27,52.7,28.5,39.4,60.7,0
2010-01-28,65.6,29.9,46.2,62.5,0
2010-01-29,52.7,41,46.5,49.3,0
2010-01-30,42.3,28.1,33.2,82.1,0.661
2010-01-31,42.3,24.2,31.9,71.9,0
2010-02-01,52.8,24.6,37.7,61.5,0
2010-02-02,47.5,40.5,43.2,75.6,0.196
2010-02-03,55,38.3,44.6,77.9,0
2010-02-04,45.5,36.6,40.9,68.9,0
2010-02-05,46.1,39,41.1,88.6,1.257
2010-02-06,51.8,40.5,45.1,80.7,0.05
2010-02-07,46.6,32.5,39.6,66.8,0.001
2010-02-08,53.7,29.2,41.6,69.6,0
2010-02-09,51.5,40,46.5,79.8,0.083
2010-02-10,47,30.4,37.3,43.4,0
2010-02-11,50.1,28.7,37.9,50.8,0
2010-02-12,39.3,30.4,35.1,68,0.126
2010-02-13,42.3,28.8,34.6,73.7,0.279
2010-02-14,51.3,24.2,37.2,64.6,0
2010-02-15,47.5,36.8,42.5,70.3,0.136
2010-02-16,44.8,29.4,36.2,48.1,0
2010-02-17,48,25,36.5,50.1,0
2010-02-18,53.2,26,38.8,53.4,0
2010-02-19,58,28,42.1,60.6,0
2010-02-20,64.2,29.3,45.4,57.7,0
2010-02-21,68,32.4,49.6,57.6,0
2010-02-22,60.8,43.9,52,84.4,0.742
2010-02-23,64.6,49.5,54.3,79.3,0
2010-02-24,48.2,42.7,45.4,82.3,0.116
2010-02-25,44.6,32,38.2,46.8,0.012
2010-02-26,51.3,29.7,39.4,37.8,0
2010-02-27,55.1,32.6,43.6,38,0
2010-02-28,55.3,32.3,45.6,48.8,0
2010-03-01,54.8,29.7,42.4,58.4,0
2010-03-02,41.4,33.5,38.5,78.3,0.44
2010-03-03,49.3,35.2,41.8,67.3,0.053
2010-03-04,54.7,37.5,45.2,44.1,0
2010-03-05,55.6,27.6,42.3,44.8,0
2010-03-06,58.5,28.7,42.7,47.7,0
2010-03-07,64.2,27.4,45.4,51.2,0
2010-03-08,71.2,31.5,50.9,50.7,0
2010-03-09,76.3,38.8,58.1,51,0
2010-03-10,61,51.3,55.1,67.5,0.063
2010-03-11,61.7,49.9,56.6,91.5,0.224
2010-03-12,65.6,56.5,61.9,88.3,0.741
2010-03-13,64,49.5,56.3,69.6,0.004
2010-03-14,59,41.9,51.5,62.4,0
2010-03-15,66.4,45.9,55.4,57.5,0
2010-03-16,60.8,38.9,53.1,56.5,0
2010-03-17,55.6,44.7,50,68,0.036
2010-03-18,64.3,47.2,54.1,62.2,0.001
2010-03-19,74.6,40.5,58,50.7,0
2010-03-20,76.5,42.6,60.4,51.1,0
2010-03-21,62.6,50.4,57.3,80.9,0.207
2010-03-22,64.6,44.6,51.9,60.4,0.017
2010-03-23,67.9,37.5,51.6,62.6,0
2010-03-24,76,40.3,58.7,55.1,0
2010-03-25,75.2,48.1,62.9,55,0
2010-03-26,67.5,55.5,63.2,56.7,0
2010-03-27,64.2,42.8,53.5,50.6,0
2010-03-28,73.2,48.4,59.4,70.4,0.068
2010-03-29,70.7,56.9,62.7,70.3,0.456
2010-03-30,71.7,50.4,60.4,53.8,0
2010-03-31,80.1,43.5,60.8,53,0
2010-04-01,87.9,46,66,51.8,0
2010-04-02,89.5,51.8,70.9,48.2,0
2010-04-03,82.3,55.8,68.6,57.4,0
2010-04-04,86,57,71.5,61.3,0
2010-04-05,91.2,58.1,74.4,51.9,0
2010-04-06,91.6,61.2,77,46.6,0
2010-04-07,86,60.8,74,54.4,0
2010-04-08,80.2,60.8,69.7,66.5,0.568
2010-04-09,69.4,51.2,61.2,62.3,0.038
2010-04-10,72.7,43.1,58,52.5,0
2010-04-11,75.6,43.9,59.8,55.6,0
2010-04-12,80.1,45.8,63.2,55.6,0
2010-04-13,79.7,48.8,64.8,57.8,0
2010-04-14,73.1,52.4,61.9,66.2,0
2010-04-15,75.4,48.5,61.5,64.5,0
2010-04-16,85.5,52.3,68.3,60,0
2010-04-17,86,61.1,74.2,40.8,0
2010-04-18,73.6,56.9,66.2,27.6,0
2010-04-19,71.6,45.4,59.6,46.5,0
2010-04-20,74.6,49.8,61.6,61.7,0.008
2010-04-21,73.2,56.9,63.3,65.1,0.096
2010-04-22,78.3,48.8,63.9,54.9,0
2010-04-23,87.3,55.3,70.5,53.4,0
2010-04-24,72.7,63.8,66.6,77.8,0.111
2010-04-25,81.5,64.2,72,79.4,0.263
2010-04-26,77.4,61.5,68.9,59.5,0
2010-04-27,73.2,56.3,64,53.4,0.003
2010-04-28,70.3,46.9,59.3,45.3,0
2010-04-29,76.5,43.9,60.7,55.4,0
2010-04-30,85,51.7,69.2,59.4,0
2010-05-01,85.5,66.8,76.1,73.1,0
2010-05-02,92.5,72.1,80.4,70.8,0
2010-05-03,81.6,70.8,76.2,78.6,0.127
2010-05-04,80.2,69.5,73.9,80.5,0.013
2010-05-05,84.5,62.1,71.7,76.1,0
2010-05-06,90.1,65.9,76.8,66.9,0
2010-05-07,92.9,65,79.1,60.2,0
2010-05-08,91.7,69.4,79.5,50.8,0
2010-05-09,74.5,54.6,65.8,33.8,0
2010-05-10,73.4,53.8,63.8,42.8,0
2010-05-11,75.2,62.5,68.3,62,0
2010-05-12,84.1,62.5,74,68,0
2010-05-13,89.2,66,78.4,63.2,0
2010-05-14,88.5,67.8,78.2,62.9,0
2010-05-15,91.2,67.5,78.8,61,0
2010-05-16,87.5,68.7,76.6,70.1,0.691
2010-05-17,78.8,69.3,72.1,86.1,0.979
2010-05-18,83,62.7,72,76.7,0
