datetime,tempmax,tempmin,temp,humidity,precip
2010-01-01,37.8,21.6,27.9,63.2,0
2010-01-02,26.9,16.1,20.4,61.7,0
2010-01-03,26.4,14,18.6,58.9,0
2010-01-04,28.5,12.3,20.1,62.1,0
2010-01-05,28.5,12.3,19.6,55.8,0
2010-01-06,33.6,11.7,22.7,60.8,0
2010-01-07,30.6,15.3,26.2,69.4,0.029
2010-01-08,18,13.8,16.1,68.2,0
2010-01-09,21.2,15.5,17.8,75.9,0
2010-01-10,28.5,8.6,17.2,70.2,0
2010-01-11,39.1,13.8,28.3,61.4,0
2010-01-12,30.2,20.5,25.5,70.6,0
2010-01-13,42.9,13.8,27,67.9,0
2010-01-14,50.3,19.5,34.4,58.6,0
2010-01-15,58,29.6,41.5,54,0
2010-01-16,51.5,32.9,41.3,72.6,0.31
2010-01-17,53.1,39.5,46.6,89.7,1.636
2010-01-18,57.8,29.2,41.9,83.3,0
2010-01-19,61.1,39,50.8,81.3,0
2010-01-20,55.3,50.4,52.7,89.3,0.492
2010-01-21,60.7,48.5,54.5,88.1,0.436
2010-01-22,52.7,44.4,47.4,88.7,0.001
2010-01-23,55.9,43.1,48.9,81.2,0
2010-01-24,55.7,48.1,52.2,87.5,0.486
2010-01-25,46.7,33.7,38.2,69.2,0.091
2010-01-26,35.4,27.9,32.8,58,0
2010-01-27,43,21,33.7,65.6,0
2010-01-28,46.5,28.9,39.7,52.3,0
2010-01-29,28.9,25.1,27,75.3,0.544
2010-01-30,26.6,21.1,24.5,80.5,0.168
2010-01-31,37.6,11.9,24.4,75.4,0
2010-02-01,41.7,19.1,30.2,80.4,0.011
2010-02-02,46.2,33.9,38.8,82,0.114
2010-02-03,46.4,33.1,38.3,63.5,0
2010-02-04,43,33.2,38.2,79.8,0.289
2010-02-05,44.8,39.6,42.2,94.2,0.963
2010-02-06,39.2,30.1,33,81.9,0.022
2010-02-07,32.1,24.5,29,76.6,0
2010-02-08,35.3,22.6,29.5,81.7,0.317
2010-02-09,34.1,21.8,31.1,83.1,0.515
2010-02-10,35.3,21.1,27.5,65.6,0
2010-02-11,37.4,20.9,27.9,64.5,0
2010-02-12,35.2,24.5,28.9,62.5,0
2010-02-13,35.9,28.2,32.1,62.4,0
2010-02-14,37.7,30.5,34.7,83.7,0.043
2010-02-15,37.3,21.4,25.6,74.9,0.068
2010-02-16,28.9,21.4,25.9,71.1,0
2010-02-17,37.4,23,31.4,63.1,0
2010-02-18,48.4,24.6,35.9,54.6,0
2010-02-19,52.1,23.9,37.3,57.7,0
2010-02-20,61.4,28.3,43.9,51.4,0
