datetime,tempmax,tempmin,temp,humidity,precip
2010-01-01,53.6,35.6,43.1,56.6,0
2010-01-02,55.1,28.4,41.1,66.9,0
2010-01-03,48.3,40.7,44.8,78.1,0
2010-01-04,46.6,32.3,39.3,61.9,0
2010-01-05,47.9,26.3,36.6,68.9,0
2010-01-06,51.5,33.8,45,80.7,0.006
2010-01-07,52.7,28.9,37.9,60.6,0
2010-01-08,33.4,22.7,27,38.6,0
2010-01-09,41.9,16.1,27.7,50.7,0
2010-01-10,46.7,19,32.2,52.1,0
2010-01-11,56.6,25.1,38.9,68.6,0
2010-01-12,64.6,38.2,49.7,67.6,0
2010-01-13,58.1,42,49.9,78.5,0.014
2010-01-14,57.8,50,53.8,94.4,0.33
2010-01-15,55.3,45.1,50.8,92.6,1.745
2010-01-16,61.7,44.4,51,76.1,0.161
2010-01-17,63.7,38.2,49.8,79.5,0
2010-01-18,69.8,43.4,55.8,83.6,0.001
2010-01-19,71.4,59.4,64.4,84.9,0
2010-01-20,72,59.3,65.4,87.4,0
2010-01-21,75.1,45.8,59,55.7,0
2010-01-22,74,45.4,59.6,69.7,0
2010-01-23,69.8,53.5,62.4,62.1,0
2010-01-24,64.7,45,55.7,38,0
2010-01-25,66.4,34.1,49.7,53.9,0
2010-01-26,68.3,35.1,52.6,51,0
2010-01-27,66.8,53.5,59.8,72.8,0
2010-01-28,66.8,60.9,63.7,86,0.034
2010-01-29,64.1,33.4,42.6,79.8,0.99
2010-01-30,44.8,30.6,35.8,67.7,0
2010-01-31,35.2,30.1,32.6,85.4,0
2010-02-01,44.7,34.2,39.8,87.8,0.003
2010-02-02,51.8,44.7,48.3,87.9,0
2010-02-03,49.8,46.1,47.4,91.6,0.861
2010-02-04,47,45.1,46.2,96.4,0.617
2010-02-05,58.7,43.7,48.1,88.2,0
2010-02-06,59.5,37.9,48,72.6,0
2010-02-07,50.4,40.2,44.9,81.8,0
2010-02-08,65.5,44.3,52.9,87.2,0.357
2010-02-09,48.2,35.6,41.2,55.5,0
2010-02-10,39.5,33.4,36.7,68.7,0.028
2010-02-11,39.8,35.7,37.8,92.3,0.538
2010-02-12,46.8,33.9,39.1,81.1,0
2010-02-13,57.4,29.7,42.9,78.9,0
