datetime,tempmax,tempmin,temp,humidity,precip
2010-01-01,42.8,30.4,38.7,83.8,0
2010-01-02,31.5,22.6,27.6,43.9,0
2010-01-03,33.4,19.6,25.5,36.5,0
2010-01-04,35.3,19.7,27.6,46,0
2010-01-05,36.1,22.2,29.4,47.4,0
2010-01-06,42.1,24.8,32,48,0
2010-01-07,39.5,19.2,30.1,61.4,0
2010-01-08,33.4,24.4,30.5,60.2,0.017
2010-01-09,37.7,19.6,27.7,49.4,0
2010-01-10,34.9,19.2,26,42.9,0
2010-01-11,41,12.4,27.4,48.7,0
2010-01-12,37.2,25.8,32.4,48.4,0
2010-01-13,46.7,19.2,31.8,51.7,0
2010-01-14,54.1,24.1,36.9,50,0
2010-01-15,62.3,28.2,42.7,51.9,0
2010-01-16,57,29.7,43,66.5,0
2010-01-17,51.1,42.9,46,87.3,1.218
2010-01-18,57.8,36.1,45.9,75.4,0
2010-01-19,62.7,35.3,47.6,69.6,0
2010-01-20,45.7,37.2,41.4,74.1,0.111
2010-01-21,41,35.7,37.9,78.6,0.212
2010-01-22,38.7,36.8,37.5,88.1,0.422
2010-01-23,46.7,31.5,39,67.8,0
2010-01-24,62.6,34.5,47.8,76.4,0.007
2010-01-25,64.2,47.7,60,72.8,0.915
2010-01-26,48,37.6,43.1,45.3,0
2010-01-27,44.6,28.1,38.4,50.7,0
2010-01-28,58.5,31.6,45.1,43,0
2010-01-29,33.8,24.4,28.6,38.5,0
2010-01-30,26.7,18.1,21,73.8,0.759
2010-01-31,31.3,11.6,21.7,57.3,0.032
2010-02-01,42.9,12.4,27.6,57.3,0
2010-02-02,40.2,22.6,32.7,68,0.152
2010-02-03,39.1,33.5,35.5,83.9,0.092
2010-02-04,41.4,27.7,34.4,67.1,0
2010-02-05,35.2,32.4,33.7,81.9,1.154
2010-02-06,35.2,23,30.3,90.2,0.654
2010-02-07,35.2,17.3,25.8,67.1,0
2010-02-08,36.8,16.2,27,61.3,0
2010-02-09,39.1,19.2,29.9,75.5,0.354
2010-02-10,33.8,24.5,30.6,68.5,0.149
2010-02-11,42.9,29.5,35.4,50.7,0
2010-02-12,39,22.5,32,56.7,0
2010-02-13,37.6,29,32.1,56.1,0
2010-02-14,42.8,26.2,33.2,46.6,0
2010-02-15,42.4,24.1,34.5,73.5,0.148
2010-02-16,38.6,27.7,32.5,49.2,0
2010-02-17,40.5,26.6,33.2,50.4,0
2010-02-18,47.6,30,38.3,49.5,0
2010-02-19,49.5,30.5,39.7,49,0
2010-02-20,53.6,30.4,40.3,42,0
2010-02-21,59.2,28.2,43.1,49.9,0
2010-02-22,52.8,32.7,42.8,75.2,0.183
2010-02-23,49.6,37.2,42,80.5,0
2010-02-24,42.4,34.4,37.7,77.6,0.105
2010-02-25,44.3,32,37.9,57.6,0.003
2010-02-26,45.7,30.8,36.9,41.6,0
2010-02-27,46.7,35.2,39.5,43.8,0
2010-02-28,49.6,29,40.2,48.8,0
2010-03-01,53.6,33.1,43.4,47.7,0
2010-03-02,44.2,33.5,38.4,67.1,0.195
2010-03-03,40.2,34.2,37.8,85.4,0.113
2010-03-04,48,34.2,40.5,48.9,0
2010-03-05,48.5,33.8,40.4,40.1,0
2010-03-06,53.7,33.5,42.3,37.1,0
2010-03-07,60.8,30.7,45.2,33.7,0
2010-03-08,64.2,33,46.8,35.4,0
2010-03-09,66.1,29.7,48.7,43.1,0
2010-03-10,71.2,43.4,55.5,50.2,0
2010-03-11,66.5,51.9,59,77.8,0.178
2010-03-12,60.8,55.6,57.9,93.2,0.911
2010-03-13,64.6,50.7,57.3,82.1,0.461
2010-03-14,53.3,48.8,50.5,86.8,0.632
2010-03-15,51.5,47.7,49,77,0.015
2010-03-16,60.8,42,50.2,59.5,0.009
2010-03-17,68.7,34.8,51.3,52.9,0
2010-03-18,70.2,39,55.4,42.8,0
2010-03-19,73.2,41.2,57.1,43.8,0
2010-03-20,78.4,41.6,59.7,42.7,0
2010-03-21,73.8,51.4,62.5,47.4,0
2010-03-22,68,55.2,62.8,68.6,0.386
2010-03-23,57.5,41.4,50.9,56.5,0
2010-03-24,69.1,42.9,56.2,47.8,0
2010-03-25,73.7,44.8,60.1,46.4,0
2010-03-26,62.3,38,50.1,83,0.959
2010-03-27,53.2,31.6,41.7,56,0
2010-03-28,68.6,34.5,51.4,70.8,0.232
2010-03-29,57.1,51.8,54.7,88.8,2.034
2010-03-30,64.2,48.5,56.2,50.7,0.03
2010-03-31,74.7,50.7,61.1,28.5,0
2010-04-01,78.5,43.4,61.4,47.3,0
2010-04-02,80.6,50.6,63.5,58.8,0
2010-04-03,80.7,48.4,62.8,66.4,0
2010-04-04,80.3,56.9,68.9,52.4,0
2010-04-05,88.9,53.2,70.3,59.4,0
2010-04-06,91.6,65.1,77.6,51.5,0.11
2010-04-07,92,69.9,79.8,37.3,0
2010-04-08,83,62.2,74.3,53.4,0.184
2010-04-09,64.6,50.3,57.7,59.3,0.298
2010-04-10,68,38.1,53.7,45.2,0
2010-04-11,78.5,43.4,60.9,44.9,0
