datetime,tempmax,tempmin,temp,humidity,precip
2010-01-01,44.1,29.9,36.6,72.9,0
2010-01-02,28.6,20.9,26.3,43.1,0.005
2010-01-03,28.1,15.9,21.9,41.8,0.007
2010-01-04,33.7,22.9,27.8,45.7,0
2010-01-05,36.9,26.6,30.4,46.3,0
2010-01-06,37.5,28.6,32.2,49.2,0
2010-01-07,37.6,29.8,32.9,52,0
2010-01-08,31.8,22.9,28,61.2,0.035
2010-01-09,35.5,22.9,28.9,47.7,0
2010-01-10,30.4,19.5,25.5,42.6,0
2010-01-11,35.3,21,27.9,50.1,0
2010-01-12,33.7,28.5,31.3,48,0
2010-01-13,44,27.9,34.2,51,0
2010-01-14,48.7,27.4,36.2,58.2,0
2010-01-15,55.4,29.4,40.9,62.1,0
2010-01-16,51.5,31.7,40.1,75.7,0
2010-01-17,44.6,37.4,41,86.9,0.68
2010-01-18,55.5,38.5,45.8,69.3,0
2010-01-19,59,33.3,43.5,72.3,0.003
2010-01-20,44,35.5,39.5,61.7,0.035
2010-01-21,42.7,30.4,37.5,59.7,0.062
2010-01-22,42.7,35.6,38.2,67.7,0.056
2010-01-23,46.4,31.6,38.1,58,0
2010-01-24,56.5,36.7,42.4,78.3,0.067
2010-01-25,66.3,46,57.5,72.3,0.355
2010-01-26,46.4,35.6,41.4,47.8,0.001
2010-01-27,44.6,31.6,37.5,48.3,0
2010-01-28,53.6,28.1,39.9,48.6,0.021
2010-01-29,26.3,19.6,23.4,38.5,0
2010-01-30,22.9,17.5,19.7,61.4,0.132
2010-01-31,33.2,15.7,23.8,44.8,0
2010-02-01,38.9,20,29.9,51,0
2010-02-02,40.7,25.7,32.4,69.8,0.16
2010-02-03,42.2,31.8,36.1,75.1,0.104
2010-02-04,40.9,31.6,36,49.8,0
2010-02-05,35.6,31.9,33.7,77.4,0.648
2010-02-06,31.9,20.5,27.5,84.7,0.574
2010-02-07,30.3,17,24,59.7,0
2010-02-08,33.7,21.1,27,52.1,0.034
2010-02-09,35.1,23.8,28.5,67.5,0.332
