datetime,tempmax,tempmin,temp,humidity,precip
2010-01-01,15.8,2.2,8.5,73.5,0
2010-01-02,7.2,-5.2,0.7,67.5,0
2010-01-03,12.4,-7,2.6,74.2,0
2010-01-04,17.6,1.9,10.7,73.4,0
2010-01-05,19.6,8,12.8,71.8,0
2010-01-06,18,2,12.3,80.4,0
2010-01-07,26.5,17.6,21.5,88,0.319
2010-01-08,23.3,-1.2,14.2,75,0
2010-01-09,15.5,-7.9,2.8,77.4,0
2010-01-10,17.6,-3.1,8.2,72.3,0
2010-01-11,26.6,12.4,19.8,73.1,0
2010-01-12,26.9,3.3,15.5,79.5,0
2010-01-13,32.6,15.9,23.9,79.2,0
2010-01-14,37.5,25.2,33.1,84.2,0
2010-01-15,28.5,25.2,27.1,89.2,0
2010-01-16,25.5,21.7,23.7,91.4,0
2010-01-17,28.6,20.3,25,94,0
2010-01-18,33.7,21.1,26.2,86.6,0
2010-01-19,28.9,9.8,20.4,83.1,0
2010-01-20,30.4,19.3,26.8,78,0
2010-01-21,30.7,30.3,30.4,77,0
2010-01-22,32.3,28.6,30.6,84.8,0
2010-01-23,37.5,32.3,35.2,95.6,0.02
2010-01-24,37.9,30.3,35.9,92.1,0.478
2010-01-25,30.7,19.9,27.8,79.9,0
2010-01-26,21.7,6.8,17.7,71,0
2010-01-27,22,3.7,12.4,65.8,0
2010-01-28,10.9,1.6,5.7,57.6,0
2010-01-29,12.4,-2.2,4.6,61.3,0
2010-01-30,20.3,1.6,11.8,70.4,0
2010-01-31,23.6,8.7,15.2,64.2,0
2010-02-01,23.4,5.4,16.5,71.1,0.02
2010-02-02,31,23.3,27.7,88.6,0.147
2010-02-03,26.9,10.1,21.6,78.9,0
2010-02-04,30.7,10.7,24.9,81.5,0
2010-02-05,32.4,28.3,30.7,85.5,0.01
2010-02-06,27,15.6,22.3,74.1,0
2010-02-07,27.3,18,23,72.7,0
2010-02-08,27,15.3,23.5,79.8,0.03
2010-02-09,26.6,24.5,25.4,85.9,0.27
2010-02-10,28.5,15.8,22.5,73.1,0
2010-02-11,26.3,0.2,12.9,76.6,0
2010-02-12,27.3,0.6,13.7,71.6,0
2010-02-13,29.2,1.4,15.4,64.9,0
2010-02-14,27.6,4.1,18,69,0
2010-02-15,27.3,17.7,23.2,79.6,0.076
2010-02-16,32.3,24.8,28.6,62.7,0.01
2010-02-17,34.2,28.2,31.1,63.7,0
2010-02-18,37.6,15.4,28,54.1,0
2010-02-19,36.9,8.6,24.6,53.4,0
2010-02-20,33.5,28.5,30.6,90.3,0.092
2010-02-21,34.2,27.9,30.8,83,0.01
2010-02-22,33.8,28.9,31,89.6,0.12
2010-02-23,33.8,21.7,28.3,78.5,0.094
2010-02-24,28.3,17.9,21.9,72.2,0.036
2010-02-25,27.3,9,18.2,68,0
2010-02-26,33.5,12.4,23.1,53.9,0
2010-02-27,37.9,26.3,31.7,60.8,0
2010-02-28,35.6,30.7,33.7,77.3,0
2010-03-01,35.7,23,30.8,73.3,0
2010-03-02,32.3,15.6,22.2,84.1,0
2010-03-03,37.5,9.1,23.6,66.6,0
2010-03-04,39.7,12.8,26.4,65.1,0
2010-03-05,39.7,12.5,26.5,73.2,0
2010-03-06,40,14.1,27.8,72.8,0
2010-03-07,44.6,22.1,33.4,77.9,0
2010-03-08,39.6,24.6,32.1,93.3,0
2010-03-09,44.3,35.6,38.7,91.8,0.021
