country,date,sector,MtCO2 per day
Brazil,01/01/2023,Domestic Aviation,0.0200738
Brazil,01/01/2023,Ground Transport,0.23143
Brazil,01/01/2023,Industry,0.238468
Brazil,01/01/2023,International Aviation,0.0138432
Brazil,01/01/2023,Power,0.0853684
Brazil,01/01/2023,Residential,0.0984519
China,01/01/2023,Domestic Aviation,0.0867145
China,01/01/2023,Ground Transport,2.16809
China,01/01/2023,Industry,12.8633
China,01/01/2023,International Aviation,0.0168365
China,01/01/2023,Power,16.8926
China,01/01/2023,Residential,3.68142
EU27 & UK,01/01/2023,Domestic Aviation,0.0312807
EU27 & UK,01/01/2023,Ground Transport,1.65057
EU27 & UK,01/01/2023,Industry,0.930929
EU27 & UK,01/01/2023,International Aviation,0.389516
EU27 & UK,01/01/2023,Power,1.26651
EU27 & UK,01/01/2023,Residential,1.71842
France,01/01/2023,Domestic Aviation,0.00412193
France,01/01/2023,Ground Transport,0.26186
France,01/01/2023,Industry,0.0763513
France,01/01/2023,International Aviation,0.0501139
France,01/01/2023,Power,0.0498056
France,01/01/2023,Residential,0.186998
Germany,01/01/2023,Domestic Aviation,0.00145453
Germany,01/01/2023,Ground Transport,0.260803
Germany,01/01/2023,Industry,0.101748
Germany,01/01/2023,International Aviation,0.0548967
Germany,01/01/2023,Power,0.234913
Germany,01/01/2023,Residential,0.296197
India,01/01/2023,Domestic Aviation,0.019577
India,01/01/2023,Ground Transport,0.784993
India,01/01/2023,Industry,2.16865
India,01/01/2023,International Aviation,0.0352459
India,01/01/2023,Power,4.14557
India,01/01/2023,Residential,1.7116
Italy,01/01/2023,Domestic Aviation,0.00447008
Italy,01/01/2023,Ground Transport,0.176287
Italy,01/01/2023,Industry,0.106861
Italy,01/01/2023,International Aviation,0.0278593
Italy,01/01/2023,Power,0.209048
Italy,01/01/2023,Residential,0.270641
Japan,01/01/2023,Domestic Aviation,0.0271565
Japan,01/01/2023,Ground Transport,0.414176
Japan,01/01/2023,Industry,0.422091
Japan,01/01/2023,International Aviation,0.0302221
Japan,01/01/2023,Power,1.12506
Japan,01/01/2023,Residential,0.568966
ROW,01/01/2023,Domestic Aviation,0.155359
ROW,01/01/2023,Ground Transport,5.33664
ROW,01/01/2023,Industry,8.60669
ROW,01/01/2023,International Aviation,0.649097
ROW,01/01/2023,Power,7.30686
ROW,01/01/2023,Residential,5.03022
Russia,01/01/2023,Domestic Aviation,0.0298336
Russia,01/01/2023,Ground Transport,0.194164
Russia,01/01/2023,Industry,0.603908
Russia,01/01/2023,International Aviation,0.0128227
Russia,01/01/2023,Power,2.4607
Russia,01/01/2023,Residential,0.760837
Spain,01/01/2023,Domestic Aviation,0.0149662
Spain,01/01/2023,Ground Transport,0.120912
Spain,01/01/2023,Industry,0.105269
Spain,01/01/2023,International Aviation,0.0553227
Spain,01/01/2023,Power,0.0490405
Spain,01/01/2023,Residential,0.124792
United Kingdom,01/01/2023,Domestic Aviation,0.00290542
United Kingdom,01/01/2023,Ground Transport,0.267577
United Kingdom,01/01/2023,Industry,0.0813746
United Kingdom,01/01/2023,International Aviation,0.0734489
United Kingdom,01/01/2023,Power,0.085338
United Kingdom,01/01/2023,Residential,0.282608
United States,01/01/2023,Domestic Aviation,0.327975
United States,01/01/2023,Ground Transport,3.31464
United States,01/01/2023,Industry,2.28547
United States,01/01/2023,International Aviation,0.173812
United States,01/01/2023,Power,3.47342
United States,01/01/2023,Residential,1.69553
WORLD,01/01/2023,Domestic Aviation,0.697971
WORLD,01/01/2023,Ground Transport,14.0947
WORLD,01/01/2023,Industry,28.1195
WORLD,01/01/2023,International Aviation,1.3214
WORLD,01/01/2023,Power,36.756
WORLD,01/01/2023,Residential,15.2654
Brazil,02/01/2023,Domestic Aviation,0.0357895
Brazil,02/01/2023,Ground Transport,0.279733
Brazil,02/01/2023,Industry,0.312832
Brazil,02/01/2023,International Aviation,0.0178832
Brazil,02/01/2023,Power,0.11199
Brazil,02/01/2023,Residential,0.0984519
China,02/01/2023,Domestic Aviation,0.122396
China,02/01/2023,Ground Transport,2.38442
China,02/01/2023,Industry,12.8823
China,02/01/2023,International Aviation,0.0163504
China,02/01/2023,Power,16.9175
China,02/01/2023,Residential,3.8154
EU27 & UK,02/01/2023,Domestic Aviation,0.040944
EU27 & UK,02/01/2023,Ground Transport,2.07855
EU27 & UK,02/01/2023,Industry,1.42434
EU27 & UK,02/01/2023,International Aviation,0.414447
EU27 & UK,02/01/2023,Power,1.93779
EU27 & UK,02/01/2023,Residential,2.0445
France,02/01/2023,Domestic Aviation,0.00572994
France,02/01/2023,Ground Transport,0.301671
France,02/01/2023,Industry,0.0929688
France,02/01/2023,International Aviation,0.0501763
France,02/01/2023,Power,0.0606455
France,02/01/2023,Residential,0.241265
Germany,02/01/2023,Domestic Aviation,0.00249834
Germany,02/01/2023,Ground Transport,0.363375
Germany,02/01/2023,Industry,0.210607
Germany,02/01/2023,International Aviation,0.0574798
Germany,02/01/2023,Power,0.486241
Germany,02/01/2023,Residential,0.376749
India,02/01/2023,Domestic Aviation,0.0198746
India,02/01/2023,Ground Transport,0.794231
India,02/01/2023,Industry,2.23386
India,02/01/2023,International Aviation,0.0313748
India,02/01/2023,Power,4.27022
India,02/01/2023,Residential,1.92748
Italy,02/01/2023,Domestic Aviation,0.00539749
Italy,02/01/2023,Ground Transport,0.210485
Italy,02/01/2023,Industry,0.13664
Italy,02/01/2023,International Aviation,0.0302952
Italy,02/01/2023,Power,0.267305
Italy,02/01/2023,Residential,0.273418
Japan,02/01/2023,Domestic Aviation,0.0274687
Japan,02/01/2023,Ground Transport,0.486111
Japan,02/01/2023,Industry,0.440341
Japan,02/01/2023,International Aviation,0.0308945
Japan,02/01/2023,Power,1.1737
Japan,02/01/2023,Residential,0.634769
ROW,02/01/2023,Domestic Aviation,0.188901
ROW,02/01/2023,Ground Transport,5.09109
ROW,02/01/2023,Industry,9.07967
ROW,02/01/2023,International Aviation,0.674968
ROW,02/01/2023,Power,7.50556
ROW,02/01/2023,Residential,5.02595
Russia,02/01/2023,Domestic Aviation,0.042177
Russia,02/01/2023,Ground Transport,0.398436
Russia,02/01/2023,Industry,0.612061
Russia,02/01/2023,International Aviation,0.0139303
Russia,02/01/2023,Power,2.49392
Russia,02/01/2023,Residential,0.72569
Spain,02/01/2023,Domestic Aviation,0.0167983
Spain,02/01/2023,Ground Transport,0.182856
Spain,02/01/2023,Industry,0.224563
Spain,02/01/2023,International Aviation,0.0566108
Spain,02/01/2023,Power,0.104615
Spain,02/01/2023,Residential,0.131541
United Kingdom,02/01/2023,Domestic Aviation,0.00474404
United Kingdom,02/01/2023,Ground Transport,0.256628
United Kingdom,02/01/2023,Industry,0.127989
United Kingdom,02/01/2023,International Aviation,0.0788536
United Kingdom,02/01/2023,Power,0.134223
United Kingdom,02/01/2023,Residential,0.353516
United States,02/01/2023,Domestic Aviation,0.391282
United States,02/01/2023,Ground Transport,2.00394
United States,02/01/2023,Industry,2.25609
United States,02/01/2023,International Aviation,0.189306
United States,02/01/2023,Power,3.42877
United States,02/01/2023,Residential,1.79223
WORLD,02/01/2023,Domestic Aviation,0.868832
WORLD,02/01/2023,Ground Transport,13.5165
WORLD,02/01/2023,Industry,29.2415
WORLD,02/01/2023,International Aviation,1.38915
WORLD,02/01/2023,Power,37.8395
WORLD,02/01/2023,Residential,16.0645
Brazil,03/01/2023,Domestic Aviation,0.0363363
Brazil,03/01/2023,Ground Transport,0.406784
Brazil,03/01/2023,Industry,0.354552
Brazil,03/01/2023,International Aviation,0.017484
Brazil,03/01/2023,Power,0.126925
Brazil,03/01/2023,Residential,0.0984519
China,03/01/2023,Domestic Aviation,0.117917
China,03/01/2023,Ground Transport,2.49605
China,03/01/2023,Industry,13.0891
China,03/01/2023,International Aviation,0.0161483
China,03/01/2023,Power,17.189
China,03/01/2023,Residential,3.78533
EU27 & UK,03/01/2023,Domestic Aviation,0.0379306
EU27 & UK,03/01/2023,Ground Transport,2.39097
EU27 & UK,03/01/2023,Industry,1.66642
EU27 & UK,03/01/2023,International Aviation,0.400234
EU27 & UK,03/01/2023,Power,2.26713
EU27 & UK,03/01/2023,Residential,2.32205
France,03/01/2023,Domestic Aviation,0.00513687
France,03/01/2023,Ground Transport,0.337145
France,03/01/2023,Industry,0.13954
France,03/01/2023,International Aviation,0.049443
France,03/01/2023,Power,0.0910248
France,03/01/2023,Residential,0.292858
Germany,03/01/2023,Domestic Aviation,0.00253266
Germany,03/01/2023,Ground Transport,0.389111
Germany,03/01/2023,Industry,0.297736
Germany,03/01/2023,International Aviation,0.0571104
Germany,03/01/2023,Power,0.687403
Germany,03/01/2023,Residential,0.551343
India,03/01/2023,Domestic Aviation,0.019776
India,03/01/2023,Ground Transport,0.802221
India,03/01/2023,Industry,2.25824
India,03/01/2023,International Aviation,0.031942
India,03/01/2023,Power,4.31683
India,03/01/2023,Residential,2.22224
Italy,03/01/2023,Domestic Aviation,0.00495085
Italy,03/01/2023,Ground Transport,0.224594
Italy,03/01/2023,Industry,0.129905
Italy,03/01/2023,International Aviation,0.0276331
Italy,03/01/2023,Power,0.254129
Italy,03/01/2023,Residential,0.275701
Japan,03/01/2023,Domestic Aviation,0.0279146
Japan,03/01/2023,Ground Transport,0.466991
Japan,03/01/2023,Industry,0.459055
Japan,03/01/2023,International Aviation,0.0298172
Japan,03/01/2023,Power,1.22358
Japan,03/01/2023,Residential,0.636541
ROW,03/01/2023,Domestic Aviation,0.193372
ROW,03/01/2023,Ground Transport,6.06919
ROW,03/01/2023,Industry,9.33093
ROW,03/01/2023,International Aviation,0.666197
ROW,03/01/2023,Power,7.98647
ROW,03/01/2023,Residential,4.96787
Russia,03/01/2023,Domestic Aviation,0.0410469
Russia,03/01/2023,Ground Transport,0.521095
Russia,03/01/2023,Industry,0.631636
Russia,03/01/2023,International Aviation,0.0148972
Russia,03/01/2023,Power,2.57368
Russia,03/01/2023,Residential,0.738543
Spain,03/01/2023,Domestic Aviation,0.0156612
Spain,03/01/2023,Ground Transport,0.259192
Spain,03/01/2023,Industry,0.249891
Spain,03/01/2023,International Aviation,0.0569523
Spain,03/01/2023,Power,0.116414
Spain,03/01/2023,Residential,0.142128
United Kingdom,03/01/2023,Domestic Aviation,0.00480708
United Kingdom,03/01/2023,Ground Transport,0.30546
United Kingdom,03/01/2023,Industry,0.0926172
United Kingdom,03/01/2023,International Aviation,0.078133
United Kingdom,03/01/2023,Power,0.0971282
United Kingdom,03/01/2023,Residential,0.295783
United States,03/01/2023,Domestic Aviation,0.41139
United States,03/01/2023,Ground Transport,3.41921
United States,03/01/2023,Industry,2.396
United States,03/01/2023,International Aviation,0.18414
United States,03/01/2023,Power,3.64141
United States,03/01/2023,Residential,1.69602
WORLD,03/01/2023,Domestic Aviation,0.885684
WORLD,03/01/2023,Ground Transport,16.5725
WORLD,03/01/2023,Industry,30.1859
WORLD,03/01/2023,International Aviation,1.36086
WORLD,03/01/2023,Power,39.3251
WORLD,03/01/2023,Residential,16.467
Brazil,04/01/2023,Domestic Aviation,0.0355522
Brazil,04/01/2023,Ground Transport,0.446115
Brazil,04/01/2023,Industry,0.352532
Brazil,04/01/2023,International Aviation,0.0179235
Brazil,04/01/2023,Power,0.126202
