name,ssp_range,year_range,p0.05,p0.50,p0.95
Aruba,SSP2-4.5,1986-2005,77.92,78.19,78.37
Aruba,SSP2-4.5,2020-2039,79.11,79.60,80.00
Aruba,SSP2-4.5,2040-2059,79.77,80.24,80.78
Aruba,SSP2-4.5,2080-2099,80.08,81.09,82.00
Afghanistan,SSP2-4.5,1986-2005,29.51,30.60,31.34
Afghanistan,SSP2-4.5,2020-2039,32.43,33.14,34.49
Afghanistan,SSP2-4.5,2040-2059,33.20,34.55,35.80
Afghanistan,SSP2-4.5,2080-2099,34.58,36.32,39.85
Angola,SSP2-4.5,1986-2005,73.59,73.90,74.11
Angola,SSP2-4.5,2020-2039,74.87,75.27,75.61
Angola,SSP2-4.5,2040-2059,75.22,75.99,76.58
Angola,SSP2-4.5,2080-2099,76.04,77.11,78.14
Anguilla,SSP2-4.5,1986-2005,76.48,76.73,76.89
Anguilla,SSP2-4.5,2020-2039,77.65,78.13,78.49
Anguilla,SSP2-4.5,2040-2059,78.26,78.71,79.22
Anguilla,SSP2-4.5,2080-2099,78.66,79.54,80.63
Åland Islands,SSP2-4.5,1986-2005,28.31,30.43,31.97
Åland Islands,SSP2-4.5,2020-2039,32.10,33.31,35.15
Åland Islands,SSP2-4.5,2040-2059,32.34,34.47,37.41
Åland Islands,SSP2-4.5,2080-2099,32.97,35.54,38.43
Albania,SSP2-4.5,1986-2005,39.10,40.17,41.59
Albania,SSP2-4.5,2020-2039,41.50,42.97,44.10
Albania,SSP2-4.5,2040-2059,42.25,43.68,44.68
Albania,SSP2-4.5,2080-2099,42.86,44.58,46.22
Andorra,SSP2-4.5,1986-2005,29.53,30.52,31.06
Andorra,SSP2-4.5,2020-2039,31.49,32.04,33.44
Andorra,SSP2-4.5,2040-2059,31.87,32.89,33.90
Andorra,SSP2-4.5,2080-2099,32.48,33.93,35.19
United Arab Emirates,SSP2-4.5,1986-2005,66.45,67.09,67.79
United Arab Emirates,SSP2-4.5,2020-2039,68.59,68.97,70.16
United Arab Emirates,SSP2-4.5,2040-2059,69.32,69.96,71.18
United Arab Emirates,SSP2-4.5,2080-2099,70.20,71.41,73.24
Argentina,SSP2-4.5,1986-2005,71.02,71.30,71.55
Argentina,SSP2-4.5,2020-2039,71.71,72.74,73.31
Argentina,SSP2-4.5,2040-2059,72.66,73.42,74.36
Argentina,SSP2-4.5,2080-2099,73.63,74.60,75.60
Armenia,SSP2-4.5,1986-2005,22.79,24.62,25.39
Armenia,SSP2-4.5,2020-2039,24.28,27.32,28.68
Armenia,SSP2-4.5,2040-2059,25.67,27.39,28.97
Armenia,SSP2-4.5,2080-2099,26.80,29.22,32.26
American Samoa,SSP2-4.5,1986-2005,79.96,80.25,80.47
American Samoa,SSP2-4.5,2020-2039,81.06,81.29,81.54
American Samoa,SSP2-4.5,2040-2059,81.44,81.83,82.41
American Samoa,SSP2-4.5,2080-2099,81.91,82.58,83.62
Antarctica,SSP2-4.5,1986-2005,-7.58,-6.99,-6.25
Antarctica,SSP2-4.5,2020-2039,-6.53,-5.31,-4.54
Antarctica,SSP2-4.5,2040-2059,-5.83,-4.86,-3.14
Antarctica,SSP2-4.5,2080-2099,-4.78,-4.07,-2.78
French Southern Territories,SSP2-4.5,1986-2005,56.68,56.82,56.98
French Southern Territories,SSP2-4.5,2020-2039,57.50,57.70,58.45
French Southern Territories,SSP2-4.5,2040-2059,57.80,58.24,59.25
French Southern Territories,SSP2-4.5,2080-2099,58.39,59.16,60.12
Antigua and Barbuda,SSP2-4.5,1986-2005,76.66,77.02,77.18
Antigua and Barbuda,SSP2-4.5,2020-2039,77.97,78.37,78.83
Antigua and Barbuda,SSP2-4.5,2040-2059,78.57,78.94,79.52
Antigua and Barbuda,SSP2-4.5,2080-2099,78.98,79.83,80.90
Australia,SSP2-4.5,1986-2005,68.05,68.28,68.48
Australia,SSP2-4.5,2020-2039,68.86,69.50,69.90
Australia,SSP2-4.5,2040-2059,69.68,70.16,70.63
Australia,SSP2-4.5,2080-2099,70.20,71.12,72.24
Austria,SSP2-4.5,1986-2005,26.75,28.04,29.11
Austria,SSP2-4.5,2020-2039,29.49,30.54,33.80
Austria,SSP2-4.5,2040-2059,30.24,31.77,34.17
Austria,SSP2-4.5,2080-2099,30.52,32.78,35.03
Azerbaijan,SSP2-4.5,1986-2005,32.62,34.02,34.89
Azerbaijan,SSP2-4.5,2020-2039,34.82,36.33,37.70
Azerbaijan,SSP2-4.5,2040-2059,35.27,36.65,37.98
Azerbaijan,SSP2-4.5,2080-2099,36.09,38.37,41.31
Burundi,SSP2-4.5,1986-2005,69.00,69.20,69.47
Burundi,SSP2-4.5,2020-2039,70.12,70.35,71.04
Burundi,SSP2-4.5,2040-2059,70.74,71.22,72.18
Burundi,SSP2-4.5,2080-2099,71.13,72.27,73.27
Belgium,SSP2-4.5,1986-2005,36.60,37.84,38.67
Belgium,SSP2-4.5,2020-2039,38.39,39.47,42.06
Belgium,SSP2-4.5,2040-2059,38.84,39.97,42.11
Belgium,SSP2-4.5,2080-2099,39.13,41.08,42.73
Benin,SSP2-4.5,1986-2005,81.11,81.63,82.47
Benin,SSP2-4.5,2020-2039,81.84,83.21,83.70
Benin,SSP2-4.5,2040-2059,82.56,84.06,85.20
Benin,SSP2-4.5,2080-2099,83.28,85.37,86.46
"Bonaire, Sint Eustatius and Saba",SSP2-4.5,1986-2005,77.98,78.24,78.44
"Bonaire, Sint Eustatius and Saba",SSP2-4.5,2020-2039,79.19,79.61,79.94
"Bonaire, Sint Eustatius and Saba",SSP2-4.5,2040-2059,79.81,80.21,80.81
"Bonaire, Sint Eustatius and Saba",SSP2-4.5,2080-2099,80.12,81.12,81.97
Burkina Faso,SSP2-4.5,1986-2005,78.59,79.28,79.75
Burkina Faso,SSP2-4.5,2020-2039,80.31,81.25,81.52
Burkina Faso,SSP2-4.5,2040-2059,80.89,81.96,83.30
Burkina Faso,SSP2-4.5,2080-2099,81.73,83.14,84.93
Bangladesh,SSP2-4.5,1986-2005,67.11,67.84,68.34
Bangladesh,SSP2-4.5,2020-2039,67.51,68.80,69.46
Bangladesh,SSP2-4.5,2040-2059,68.64,69.81,70.75
Bangladesh,SSP2-4.5,2080-2099,70.49,71.43,73.39
Bulgaria,SSP2-4.5,1986-2005,31.64,33.18,34.78
Bulgaria,SSP2-4.5,2020-2039,34.31,36.42,38.04
Bulgaria,SSP2-4.5,2040-2059,35.55,37.09,38.79
Bulgaria,SSP2-4.5,2080-2099,35.98,38.34,40.72
Bahrain,SSP2-4.5,1986-2005,63.42,64.08,64.62
Bahrain,SSP2-4.5,2020-2039,65.65,66.20,67.42
Bahrain,SSP2-4.5,2040-2059,66.22,66.91,68.58
Bahrain,SSP2-4.5,2080-2099,67.15,68.61,70.07
Bahamas,SSP2-4.5,1986-2005,72.59,73.17,73.40
Bahamas,SSP2-4.5,2020-2039,73.88,74.29,74.84
Bahamas,SSP2-4.5,2040-2059,74.44,74.85,75.52
Bahamas,SSP2-4.5,2080-2099,74.91,75.71,76.71
Bosnia and Herzegovina,SSP2-4.5,1986-2005,32.26,33.01,34.68
Bosnia and Herzegovina,SSP2-4.5,2020-2039,34.93,36.26,38.40
Bosnia and Herzegovina,SSP2-4.5,2040-2059,35.72,37.19,39.09
Bosnia and Herzegovina,SSP2-4.5,2080-2099,36.27,38.39,40.33
Saint Barthélemy,SSP2-4.5,1986-2005,76.53,76.86,77.01
Saint Barthélemy,SSP2-4.5,2020-2039,77.80,78.22,78.65
Saint Barthélemy,SSP2-4.5,2040-2059,78.43,78.79,79.36
Saint Barthélemy,SSP2-4.5,2080-2099,78.81,79.66,80.74
Belarus,SSP2-4.5,1986-2005,22.16,23.73,24.78
Belarus,SSP2-4.5,2020-2039,25.19,26.77,29.12
Belarus,SSP2-4.5,2040-2059,25.40,28.24,30.97
Belarus,SSP2-4.5,2080-2099,27.28,29.48,32.49
Belize,SSP2-4.5,1986-2005,74.27,74.56,74.87
Belize,SSP2-4.5,2020-2039,75.64,75.94,76.43
Belize,SSP2-4.5,2040-2059,76.10,76.62,77.39
Belize,SSP2-4.5,2080-2099,76.41,77.38,79.05
Bermuda,SSP2-4.5,1986-2005,64.65,65.22,65.39
Bermuda,SSP2-4.5,2020-2039,65.79,66.32,67.18
Bermuda,SSP2-4.5,2040-2059,65.64,67.04,68.09
Bermuda,SSP2-4.5,2080-2099,66.89,67.63,69.37
"Bolivia, Plurinational State of",SSP2-4.5,1986-2005,64.49,64.76,64.95
"Bolivia, Plurinational State of",SSP2-4.5,2020-2039,66.02,66.34,66.87
"Bolivia, Plurinational State of",SSP2-4.5,2040-2059,66.71,67.34,68.04
"Bolivia, Plurinational State of",SSP2-4.5,2080-2099,67.35,68.65,69.68
Brazil,SSP2-4.5,1986-2005,78.21,78.42,78.65
Brazil,SSP2-4.5,2020-2039,79.61,79.79,80.26
Brazil,SSP2-4.5,2040-2059,80.13,80.62,81.03
Brazil,SSP2-4.5,2080-2099,80.63,81.70,82.81
Barbados,SSP2-4.5,1986-2005,77.59,77.91,78.12
Barbados,SSP2-4.5,2020-2039,78.76,79.25,79.70
Barbados,SSP2-4.5,2040-2059,79.47,79.84,80.37
Barbados,SSP2-4.5,2080-2099,79.83,80.69,81.66
Brunei Darussalam,SSP2-4.5,1986-2005,78.43,78.65,78.96
Brunei Darussalam,SSP2-4.5,2020-2039,79.70,80.00,80.36
Brunei Darussalam,SSP2-4.5,2040-2059,80.21,80.63,81.23
Brunei Darussalam,SSP2-4.5,2080-2099,80.64,81.55,82.76
Bhutan,SSP2-4.5,1986-2005,41.32,42.04,43.13
Bhutan,SSP2-4.5,2020-2039,43.18,43.65,44.52
Bhutan,SSP2-4.5,2040-2059,44.05,44.93,45.87
Bhutan,SSP2-4.5,2080-2099,44.90,46.24,48.40
Botswana,SSP2-4.5,1986-2005,77.08,77.58,77.99
Botswana,SSP2-4.5,2020-2039,78.23,79.40,80.00
Botswana,SSP2-4.5,2040-2059,79.00,80.11,81.58
Botswana,SSP2-4.5,2080-2099,80.50,81.59,83.38
Central African Republic,SSP2-4.5,1986-2005,79.50,79.88,80.34
Central African Republic,SSP2-4.5,2020-2039,79.16,81.00,81.61
Central African Republic,SSP2-4.5,2040-2059,79.03,81.69,83.33
Central African Republic,SSP2-4.5,2080-2099,80.18,82.93,84.44
Canada,SSP2-4.5,1986-2005,12.91,13.65,14.22
Canada,SSP2-4.5,2020-2039,15.48,16.74,18.36
Canada,SSP2-4.5,2040-2059,16.90,18.69,20.56
Canada,SSP2-4.5,2080-2099,18.56,21.06,23.37
Switzerland,SSP2-4.5,1986-2005,28.88,30.26,31.07
Switzerland,SSP2-4.5,2020-2039,31.41,32.36,35.21
