name,ssp_range,year_range,p0.05,p0.50,p0.95
Aruba,SSP2-4.5,1986-2005,80.35,80.60,80.73
Aruba,SSP2-4.5,2020-2039,81.42,81.95,82.35
Aruba,SSP2-4.5,2040-2059,82.20,82.50,83.16
Aruba,SSP2-4.5,2080-2099,82.51,83.46,84.46
Afghanistan,SSP2-4.5,1986-2005,72.41,72.82,73.30
Afghanistan,SSP2-4.5,2020-2039,74.18,75.10,76.31
Afghanistan,SSP2-4.5,2040-2059,75.46,76.58,77.80
Afghanistan,SSP2-4.5,2080-2099,76.50,77.91,80.21
Angola,SSP2-4.5,1986-2005,69.92,70.40,70.77
Angola,SSP2-4.5,2020-2039,71.38,71.78,72.57
Angola,SSP2-4.5,2040-2059,72.06,72.65,73.78
Angola,SSP2-4.5,2080-2099,72.67,73.80,75.64
Anguilla,SSP2-4.5,1986-2005,79.86,80.43,80.70
Anguilla,SSP2-4.5,2020-2039,81.38,81.88,82.17
Anguilla,SSP2-4.5,2040-2059,81.63,82.36,82.97
Anguilla,SSP2-4.5,2080-2099,82.25,83.08,84.38
Åland Islands,SSP2-4.5,1986-2005,56.79,58.25,59.26
Åland Islands,SSP2-4.5,2020-2039,59.67,60.84,62.49
Åland Islands,SSP2-4.5,2040-2059,60.38,61.97,64.08
Åland Islands,SSP2-4.5,2080-2099,61.26,62.90,65.79
Albania,SSP2-4.5,1986-2005,69.54,70.15,70.51
Albania,SSP2-4.5,2020-2039,72.55,73.53,74.30
Albania,SSP2-4.5,2040-2059,73.29,74.69,76.46
Albania,SSP2-4.5,2080-2099,73.86,76.72,78.86
Andorra,SSP2-4.5,1986-2005,56.86,57.48,58.62
Andorra,SSP2-4.5,2020-2039,59.64,60.82,62.34
Andorra,SSP2-4.5,2040-2059,60.84,62.07,63.99
Andorra,SSP2-4.5,2080-2099,61.47,64.06,67.10
United Arab Emirates,SSP2-4.5,1986-2005,93.85,94.26,94.55
United Arab Emirates,SSP2-4.5,2020-2039,95.57,96.46,97.22
United Arab Emirates,SSP2-4.5,2040-2059,96.56,97.33,98.88
United Arab Emirates,SSP2-4.5,2080-2099,97.22,99.02,100.98
Argentina,SSP2-4.5,1986-2005,49.95,51.07,51.53
Argentina,SSP2-4.5,2020-2039,51.49,52.20,52.76
Argentina,SSP2-4.5,2040-2059,51.77,52.81,54.05
Argentina,SSP2-4.5,2080-2099,52.56,53.46,54.62
Armenia,SSP2-4.5,1986-2005,63.44,64.10,64.69
Armenia,SSP2-4.5,2020-2039,65.64,67.35,68.52
Armenia,SSP2-4.5,2040-2059,67.33,68.50,69.83
Armenia,SSP2-4.5,2080-2099,68.42,70.55,73.19
American Samoa,SSP2-4.5,1986-2005,78.94,79.35,79.55
American Samoa,SSP2-4.5,2020-2039,80.01,80.44,80.60
American Samoa,SSP2-4.5,2040-2059,80.59,80.87,81.48
American Samoa,SSP2-4.5,2080-2099,81.05,81.54,82.46
Antarctica,SSP2-4.5,1986-2005,-44.40,-43.41,-42.82
Antarctica,SSP2-4.5,2020-2039,-43.13,-42.07,-37.58
Antarctica,SSP2-4.5,2040-2059,-42.58,-40.80,-35.55
Antarctica,SSP2-4.5,2080-2099,-41.56,-39.31,-35.96
French Southern Territories,SSP2-4.5,1986-2005,50.20,50.44,50.61
French Southern Territories,SSP2-4.5,2020-2039,50.97,51.33,51.98
French Southern Territories,SSP2-4.5,2040-2059,51.37,51.76,52.59
French Southern Territories,SSP2-4.5,2080-2099,52.03,52.64,53.67
Antigua and Barbuda,SSP2-4.5,1986-2005,79.88,80.42,80.68
Antigua and Barbuda,SSP2-4.5,2020-2039,81.37,81.82,82.19
Antigua and Barbuda,SSP2-4.5,2040-2059,81.69,82.28,82.81
Antigua and Barbuda,SSP2-4.5,2080-2099,82.26,83.02,84.36
Australia,SSP2-4.5,1986-2005,54.70,54.87,55.05
Australia,SSP2-4.5,2020-2039,55.26,55.98,56.16
Australia,SSP2-4.5,2040-2059,55.66,56.61,57.12
Australia,SSP2-4.5,2080-2099,56.49,57.44,58.40
Austria,SSP2-4.5,1986-2005,59.92,60.57,61.15
Austria,SSP2-4.5,2020-2039,62.85,63.53,64.32
Austria,SSP2-4.5,2040-2059,63.65,64.83,66.46
Austria,SSP2-4.5,2080-2099,63.70,66.07,68.03
Azerbaijan,SSP2-4.5,1986-2005,71.58,72.19,72.67
Azerbaijan,SSP2-4.5,2020-2039,73.69,74.91,76.23
Azerbaijan,SSP2-4.5,2040-2059,75.22,76.18,77.43
Azerbaijan,SSP2-4.5,2080-2099,76.23,78.29,80.33
Burundi,SSP2-4.5,1986-2005,68.73,69.14,69.32
Burundi,SSP2-4.5,2020-2039,70.29,70.68,71.24
Burundi,SSP2-4.5,2040-2059,70.97,71.61,72.71
Burundi,SSP2-4.5,2080-2099,71.74,73.00,74.65
Belgium,SSP2-4.5,1986-2005,61.48,61.97,62.75
Belgium,SSP2-4.5,2020-2039,63.33,64.40,65.82
Belgium,SSP2-4.5,2040-2059,64.08,65.30,67.08
Belgium,SSP2-4.5,2080-2099,64.86,66.56,68.47
Benin,SSP2-4.5,1986-2005,78.34,78.59,78.84
Benin,SSP2-4.5,2020-2039,79.39,79.75,80.49
Benin,SSP2-4.5,2040-2059,80.04,80.45,81.41
Benin,SSP2-4.5,2080-2099,80.85,81.76,83.05
"Bonaire, Sint Eustatius and Saba",SSP2-4.5,1986-2005,80.17,80.48,80.56
"Bonaire, Sint Eustatius and Saba",SSP2-4.5,2020-2039,81.29,81.76,82.20
"Bonaire, Sint Eustatius and Saba",SSP2-4.5,2040-2059,82.09,82.30,83.00
"Bonaire, Sint Eustatius and Saba",SSP2-4.5,2080-2099,82.39,83.19,84.29
Burkina Faso,SSP2-4.5,1986-2005,81.76,82.14,82.71
Burkina Faso,SSP2-4.5,2020-2039,82.63,83.27,84.18
Burkina Faso,SSP2-4.5,2040-2059,83.22,84.02,85.19
Burkina Faso,SSP2-4.5,2080-2099,84.40,85.62,87.22
Bangladesh,SSP2-4.5,1986-2005,83.11,83.67,84.10
Bangladesh,SSP2-4.5,2020-2039,83.29,84.40,85.09
Bangladesh,SSP2-4.5,2040-2059,83.76,85.23,86.03
Bangladesh,SSP2-4.5,2080-2099,84.97,86.46,87.59
Bulgaria,SSP2-4.5,1986-2005,69.08,69.95,70.27
Bulgaria,SSP2-4.5,2020-2039,72.24,73.25,74.12
Bulgaria,SSP2-4.5,2040-2059,73.10,74.62,75.68
Bulgaria,SSP2-4.5,2080-2099,74.07,76.40,78.31
Bahrain,SSP2-4.5,1986-2005,90.63,91.00,91.31
Bahrain,SSP2-4.5,2020-2039,92.54,93.25,94.04
Bahrain,SSP2-4.5,2040-2059,93.33,94.22,95.55
Bahrain,SSP2-4.5,2080-2099,94.05,95.60,97.70
Bahamas,SSP2-4.5,1986-2005,80.58,81.04,81.19
Bahamas,SSP2-4.5,2020-2039,82.19,82.42,82.85
Bahamas,SSP2-4.5,2040-2059,82.68,83.04,83.54
Bahamas,SSP2-4.5,2080-2099,83.23,83.90,84.99
Bosnia and Herzegovina,SSP2-4.5,1986-2005,66.08,66.61,67.31
Bosnia and Herzegovina,SSP2-4.5,2020-2039,69.32,69.95,70.91
Bosnia and Herzegovina,SSP2-4.5,2040-2059,69.49,71.36,73.31
Bosnia and Herzegovina,SSP2-4.5,2080-2099,70.48,72.92,75.17
Saint Barthélemy,SSP2-4.5,1986-2005,79.89,80.44,80.70
Saint Barthélemy,SSP2-4.5,2020-2039,81.38,81.85,82.19
Saint Barthélemy,SSP2-4.5,2040-2059,81.69,82.30,82.81
Saint Barthélemy,SSP2-4.5,2080-2099,82.27,83.05,84.37
Belarus,SSP2-4.5,1986-2005,61.41,62.27,63.32
Belarus,SSP2-4.5,2020-2039,63.63,65.43,67.03
Belarus,SSP2-4.5,2040-2059,64.28,66.42,68.48
Belarus,SSP2-4.5,2080-2099,65.31,67.87,70.65
Belize,SSP2-4.5,1986-2005,80.58,81.02,81.15
Belize,SSP2-4.5,2020-2039,82.03,82.71,83.28
Belize,SSP2-4.5,2040-2059,82.59,83.32,84.21
Belize,SSP2-4.5,2080-2099,82.99,84.54,86.05
Bermuda,SSP2-4.5,1986-2005,76.74,77.05,77.51
Bermuda,SSP2-4.5,2020-2039,78.29,78.68,79.31
Bermuda,SSP2-4.5,2040-2059,78.47,79.56,80.18
Bermuda,SSP2-4.5,2080-2099,78.96,80.49,81.42
"Bolivia, Plurinational State of",SSP2-4.5,1986-2005,57.85,58.10,58.63
"Bolivia, Plurinational State of",SSP2-4.5,2020-2039,59.72,60.11,60.83
"Bolivia, Plurinational State of",SSP2-4.5,2040-2059,60.24,61.33,62.24
"Bolivia, Plurinational State of",SSP2-4.5,2080-2099,61.05,62.61,63.74
Brazil,SSP2-4.5,1986-2005,73.52,73.79,74.10
Brazil,SSP2-4.5,2020-2039,75.06,75.28,75.86
Brazil,SSP2-4.5,2040-2059,75.57,76.15,76.89
Brazil,SSP2-4.5,2080-2099,76.33,77.39,78.41
Barbados,SSP2-4.5,1986-2005,79.71,80.09,80.38
Barbados,SSP2-4.5,2020-2039,81.16,81.44,81.83
Barbados,SSP2-4.5,2040-2059,81.59,81.92,82.55
Barbados,SSP2-4.5,2080-2099,82.12,82.75,83.94
Brunei Darussalam,SSP2-4.5,1986-2005,80.01,80.26,80.54
Brunei Darussalam,SSP2-4.5,2020-2039,81.27,81.54,81.86
Brunei Darussalam,SSP2-4.5,2040-2059,81.71,82.14,82.74
Brunei Darussalam,SSP2-4.5,2080-2099,82.35,83.09,84.51
Bhutan,SSP2-4.5,1986-2005,63.51,63.92,64.21
Bhutan,SSP2-4.5,2020-2039,64.83,65.17,65.72
Bhutan,SSP2-4.5,2040-2059,65.57,65.98,66.99
Bhutan,SSP2-4.5,2080-2099,66.34,67.14,68.14
Botswana,SSP2-4.5,1986-2005,59.19,59.98,60.41
Botswana,SSP2-4.5,2020-2039,60.77,61.44,62.31
Botswana,SSP2-4.5,2040-2059,61.54,62.75,63.74
Botswana,SSP2-4.5,2080-2099,62.90,64.06,65.83
Central African Republic,SSP2-4.5,1986-2005,76.63,76.83,77.08
Central African Republic,SSP2-4.5,2020-2039,77.81,78.10,78.53
Central African Republic,SSP2-4.5,2040-2059,78.47,78.95,79.53
Central African Republic,SSP2-4.5,2080-2099,79.24,80.04,81.20
Canada,SSP2-4.5,1986-2005,59.03,59.69,60.27
Canada,SSP2-4.5,2020-2039,61.36,62.16,62.93
