country,ssp_range,year_range,p0.05,p0.50,p0.95
Aruba,SSP2-4.5,1986-2005,79.42,79.62,79.76
Aruba,SSP2-4.5,2020-2039,80.54,80.98,81.47
Aruba,SSP2-4.5,2040-2059,81.23,81.60,82.20
Aruba,SSP2-4.5,2080-2099,81.43,82.45,83.41
Afghanistan,SSP2-4.5,1986-2005,52.22,52.77,53.23
Afghanistan,SSP2-4.5,2020-2039,54.46,55.07,56.31
Afghanistan,SSP2-4.5,2040-2059,55.48,56.51,57.67
Afghanistan,SSP2-4.5,2080-2099,56.40,58.17,60.39
Angola,SSP2-4.5,1986-2005,72.81,73.06,73.34
Angola,SSP2-4.5,2020-2039,74.23,74.55,74.96
Angola,SSP2-4.5,2040-2059,74.84,75.37,76.21
Angola,SSP2-4.5,2080-2099,75.50,76.46,77.68
Anguilla,SSP2-4.5,1986-2005,78.25,78.67,78.78
Anguilla,SSP2-4.5,2020-2039,79.58,79.99,80.31
Anguilla,SSP2-4.5,2040-2059,79.98,80.54,81.12
Anguilla,SSP2-4.5,2080-2099,80.57,81.36,82.52
Åland Islands,SSP2-4.5,1986-2005,41.42,43.01,43.97
Åland Islands,SSP2-4.5,2020-2039,44.60,45.65,47.27
Åland Islands,SSP2-4.5,2040-2059,45.44,46.78,49.10
Åland Islands,SSP2-4.5,2080-2099,46.06,47.87,50.15
Albania,SSP2-4.5,1986-2005,54.68,55.07,55.80
Albania,SSP2-4.5,2020-2039,57.20,57.75,58.77
Albania,SSP2-4.5,2040-2059,57.66,58.68,59.95
Albania,SSP2-4.5,2080-2099,58.34,59.95,61.76
Andorra,SSP2-4.5,1986-2005,42.92,43.74,44.35
Andorra,SSP2-4.5,2020-2039,45.39,45.96,46.60
Andorra,SSP2-4.5,2040-2059,45.99,46.70,47.99
Andorra,SSP2-4.5,2080-2099,46.81,48.11,49.74
United Arab Emirates,SSP2-4.5,1986-2005,81.16,81.59,82.05
United Arab Emirates,SSP2-4.5,2020-2039,83.15,83.66,84.39
United Arab Emirates,SSP2-4.5,2040-2059,84.05,84.83,85.85
United Arab Emirates,SSP2-4.5,2080-2099,84.69,86.11,87.54
Argentina,SSP2-4.5,1986-2005,61.04,61.45,61.70
Argentina,SSP2-4.5,2020-2039,62.21,62.75,63.16
Argentina,SSP2-4.5,2040-2059,62.82,63.51,64.07
Argentina,SSP2-4.5,2080-2099,63.63,64.44,65.33
