name,ssp_range,year_range,p0.05,p0.50,p0.95
Alabama,SSP2-4.5,1986-2005,4.02,6.47,8.66
Alabama,SSP2-4.5,2020-2039,9.66,13.35,20.53
Alabama,SSP2-4.5,2040-2059,11.85,20.63,31.29
Alabama,SSP2-4.5,2080-2099,17.23,29.95,60.64
Alaska,SSP2-4.5,1986-2005,0.00,0.00,0.02
Alaska,SSP2-4.5,2020-2039,0.00,0.00,0.14
Alaska,SSP2-4.5,2040-2059,0.00,0.00,0.21
Alaska,SSP2-4.5,2080-2099,0.00,0.02,0.13
Arizona,SSP2-4.5,1986-2005,97.92,102.21,109.23
Arizona,SSP2-4.5,2020-2039,115.69,120.11,127.52
Arizona,SSP2-4.5,2040-2059,121.47,127.10,136.34
Arizona,SSP2-4.5,2080-2099,126.78,138.44,150.54
Arkansas,SSP2-4.5,1986-2005,9.66,16.58,18.45
Arkansas,SSP2-4.5,2020-2039,11.93,31.45,42.06
Arkansas,SSP2-4.5,2040-2059,18.23,39.83,57.32
Arkansas,SSP2-4.5,2080-2099,18.56,49.55,73.60
California,SSP2-4.5,1986-2005,10.00,11.31,12.18
California,SSP2-4.5,2020-2039,14.63,18.05,20.37
California,SSP2-4.5,2040-2059,17.10,21.05,24.06
California,SSP2-4.5,2080-2099,18.90,24.96,31.45
Colorado,SSP2-4.5,1986-2005,0.77,1.59,2.43
Colorado,SSP2-4.5,2020-2039,3.89,5.12,8.45
Colorado,SSP2-4.5,2040-2059,5.55,8.48,12.79
Colorado,SSP2-4.5,2080-2099,7.81,14.59,19.85
Connecticut,SSP2-4.5,1986-2005,0.43,0.88,1.47
Connecticut,SSP2-4.5,2020-2039,1.02,2.07,3.10
Connecticut,SSP2-4.5,2040-2059,1.69,2.87,5.93
Connecticut,SSP2-4.5,2080-2099,2.27,4.56,8.87
Delaware,SSP2-4.5,1986-2005,1.29,1.57,2.27
Delaware,SSP2-4.5,2020-2039,2.42,3.53,5.02
Delaware,SSP2-4.5,2040-2059,2.33,5.18,11.25
Delaware,SSP2-4.5,2080-2099,2.76,7.69,18.69
District of Columbia,SSP2-4.5,1986-2005,3.64,4.92,6.30
District of Columbia,SSP2-4.5,2020-2039,6.06,10.61,15.02
District of Columbia,SSP2-4.5,2040-2059,6.70,13.72,26.54
District of Columbia,SSP2-4.5,2080-2099,8.90,19.81,39.85
Florida,SSP2-4.5,1986-2005,0.75,1.62,3.00
Florida,SSP2-4.5,2020-2039,3.89,5.21,7.11
Florida,SSP2-4.5,2040-2059,4.30,7.70,10.86
Florida,SSP2-4.5,2080-2099,5.79,14.55,29.03
Georgia,SSP2-4.5,1986-2005,3.21,6.56,8.53
Georgia,SSP2-4.5,2020-2039,9.23,12.90,19.21
Georgia,SSP2-4.5,2040-2059,10.85,19.55,29.90
Georgia,SSP2-4.5,2080-2099,15.83,26.91,57.47
Hawaii,SSP2-4.5,1986-2005,0.00,0.00,0.00
Hawaii,SSP2-4.5,2020-2039,0.00,0.00,0.00
Hawaii,SSP2-4.5,2040-2059,0.00,0.00,0.00
Hawaii,SSP2-4.5,2080-2099,0.00,0.00,0.00
Idaho,SSP2-4.5,1986-2005,12.00,14.70,17.85
Idaho,SSP2-4.5,2020-2039,21.01,28.06,31.76
Idaho,SSP2-4.5,2040-2059,22.93,34.61,39.93
Idaho,SSP2-4.5,2080-2099,28.59,43.57,52.26
Illinois,SSP2-4.5,1986-2005,1.08,1.50,2.22
Illinois,SSP2-4.5,2020-2039,2.09,4.08,7.33
Illinois,SSP2-4.5,2040-2059,2.64,6.72,12.47
Illinois,SSP2-4.5,2080-2099,3.41,11.83,23.66
Indiana,SSP2-4.5,1986-2005,1.20,1.62,2.63
Indiana,SSP2-4.5,2020-2039,2.10,4.22,6.39
Indiana,SSP2-4.5,2040-2059,2.54,6.93,13.44
Indiana,SSP2-4.5,2080-2099,4.30,13.34,30.66
Iowa,SSP2-4.5,1986-2005,1.14,1.56,2.97
Iowa,SSP2-4.5,2020-2039,2.26,4.68,10.60
Iowa,SSP2-4.5,2040-2059,3.12,7.72,20.80
Iowa,SSP2-4.5,2080-2099,5.35,13.75,38.41
Kansas,SSP2-4.5,1986-2005,6.17,14.18,20.45
Kansas,SSP2-4.5,2020-2039,19.84,28.07,39.61
Kansas,SSP2-4.5,2040-2059,25.75,34.58,51.37
Kansas,SSP2-4.5,2080-2099,29.56,45.36,71.41
Kentucky,SSP2-4.5,1986-2005,2.66,3.21,4.47
Kentucky,SSP2-4.5,2020-2039,4.70,8.13,12.41
Kentucky,SSP2-4.5,2040-2059,5.93,10.86,22.65
Kentucky,SSP2-4.5,2080-2099,8.57,21.07,45.98
Louisiana,SSP2-4.5,1986-2005,8.71,11.44,14.35
Louisiana,SSP2-4.5,2020-2039,9.62,21.34,35.24
Louisiana,SSP2-4.5,2040-2059,20.07,29.26,44.66
Louisiana,SSP2-4.5,2080-2099,14.89,38.99,67.35
Maine,SSP2-4.5,1986-2005,0.01,0.04,0.10
Maine,SSP2-4.5,2020-2039,0.10,0.22,0.40
Maine,SSP2-4.5,2040-2059,0.13,0.43,1.76
Maine,SSP2-4.5,2080-2099,0.24,0.77,2.03
Maryland,SSP2-4.5,1986-2005,1.93,2.41,3.34
Maryland,SSP2-4.5,2020-2039,3.78,5.79,8.18
Maryland,SSP2-4.5,2040-2059,3.47,8.28,17.45
Maryland,SSP2-4.5,2080-2099,5.00,12.16,28.44
Massachusetts,SSP2-4.5,1986-2005,0.23,0.44,0.67
Massachusetts,SSP2-4.5,2020-2039,0.53,1.46,1.89
Massachusetts,SSP2-4.5,2040-2059,1.10,2.05,4.56
Massachusetts,SSP2-4.5,2080-2099,1.76,3.09,5.73
Michigan,SSP2-4.5,1986-2005,0.38,0.53,0.95
Michigan,SSP2-4.5,2020-2039,0.95,1.49,2.71
Michigan,SSP2-4.5,2040-2059,1.18,2.89,6.20
Michigan,SSP2-4.5,2080-2099,2.42,5.91,10.78
Minnesota,SSP2-4.5,1986-2005,0.31,0.52,0.91
Minnesota,SSP2-4.5,2020-2039,0.80,2.14,4.02
Minnesota,SSP2-4.5,2040-2059,1.89,4.09,8.89
Minnesota,SSP2-4.5,2080-2099,1.84,6.93,19.60
Mississippi,SSP2-4.5,1986-2005,7.59,10.69,13.46
Mississippi,SSP2-4.5,2020-2039,11.07,21.96,39.83
Mississippi,SSP2-4.5,2040-2059,20.68,31.66,52.25
Mississippi,SSP2-4.5,2080-2099,16.42,42.76,72.68
Missouri,SSP2-4.5,1986-2005,4.07,7.20,10.99
Missouri,SSP2-4.5,2020-2039,9.89,16.42,26.25
Missouri,SSP2-4.5,2040-2059,10.49,21.90,38.03
Missouri,SSP2-4.5,2080-2099,13.90,32.79,58.79
Montana,SSP2-4.5,1986-2005,1.85,3.00,3.76
Montana,SSP2-4.5,2020-2039,3.64,7.47,9.60
Montana,SSP2-4.5,2040-2059,3.68,10.03,13.19
Montana,SSP2-4.5,2080-2099,7.62,13.51,19.11
Nebraska,SSP2-4.5,1986-2005,3.51,6.60,11.87
Nebraska,SSP2-4.5,2020-2039,10.68,16.18,28.31
Nebraska,SSP2-4.5,2040-2059,14.32,21.21,43.46
Nebraska,SSP2-4.5,2080-2099,20.24,34.43,64.76
Nevada,SSP2-4.5,1986-2005,55.06,60.86,62.49
Nevada,SSP2-4.5,2020-2039,71.59,76.50,81.85
Nevada,SSP2-4.5,2040-2059,75.60,83.59,90.03
Nevada,SSP2-4.5,2080-2099,82.14,92.22,102.41
New Hampshire,SSP2-4.5,1986-2005,0.24,0.48,0.71
New Hampshire,SSP2-4.5,2020-2039,0.72,1.70,2.14
New Hampshire,SSP2-4.5,2040-2059,1.31,2.38,5.25
New Hampshire,SSP2-4.5,2080-2099,2.28,3.60,7.23
New Jersey,SSP2-4.5,1986-2005,1.29,1.79,2.55
New Jersey,SSP2-4.5,2020-2039,2.94,3.80,5.27
New Jersey,SSP2-4.5,2040-2059,2.94,5.37,10.22
New Jersey,SSP2-4.5,2080-2099,3.40,8.56,15.95
New Mexico,SSP2-4.5,1986-2005,8.64,9.97,11.16
New Mexico,SSP2-4.5,2020-2039,16.23,19.71,26.83
New Mexico,SSP2-4.5,2040-2059,20.50,26.39,33.48
New Mexico,SSP2-4.5,2080-2099,25.53,38.27,45.75
New York,SSP2-4.5,1986-2005,0.26,0.37,0.57
New York,SSP2-4.5,2020-2039,0.61,0.92,1.31
New York,SSP2-4.5,2040-2059,0.74,1.46,3.30
New York,SSP2-4.5,2080-2099,1.14,2.41,5.25
North Carolina,SSP2-4.5,1986-2005,3.34,4.78,5.96
North Carolina,SSP2-4.5,2020-2039,6.00,9.89,14.29
North Carolina,SSP2-4.5,2040-2059,8.13,12.31,23.46
North Carolina,SSP2-4.5,2080-2099,10.13,16.99,43.29
North Dakota,SSP2-4.5,1986-2005,0.72,1.24,2.05
North Dakota,SSP2-4.5,2020-2039,1.84,3.67,6.30
North Dakota,SSP2-4.5,2040-2059,1.70,5.92,15.69
North Dakota,SSP2-4.5,2080-2099,3.65,8.65,24.10
Ohio,SSP2-4.5,1986-2005,0.57,0.74,1.32
Ohio,SSP2-4.5,2020-2039,1.20,2.42,3.90
Ohio,SSP2-4.5,2040-2059,1.42,3.97,9.47
Ohio,SSP2-4.5,2080-2099,3.07,7.93,22.69
Oklahoma,SSP2-4.5,1986-2005,16.33,29.39,32.44
Oklahoma,SSP2-4.5,2020-2039,32.13,45.65,60.48
Oklahoma,SSP2-4.5,2040-2059,43.74,54.57,68.11
Oklahoma,SSP2-4.5,2080-2099,50.32,66.06,86.08
Oregon,SSP2-4.5,1986-2005,2.72,3.97,5.32
Oregon,SSP2-4.5,2020-2039,4.22,7.67,9.72
Oregon,SSP2-4.5,2040-2059,5.77,9.62,14.09
Oregon,SSP2-4.5,2080-2099,7.25,13.18,20.88
Pennsylvania,SSP2-4.5,1986-2005,1.27,1.67,2.30
Pennsylvania,SSP2-4.5,2020-2039,2.95,3.55,4.92
Pennsylvania,SSP2-4.5,2040-2059,2.59,5.38,11.34
Pennsylvania,SSP2-4.5,2080-2099,3.56,7.84,18.40
Rhode Island,SSP2-4.5,1986-2005,0.40,0.78,1.84
Rhode Island,SSP2-4.5,2020-2039,1.07,1.48,2.41
Rhode Island,SSP2-4.5,2040-2059,1.63,2.25,3.49
Rhode Island,SSP2-4.5,2080-2099,1.86,3.01,5.01
South Carolina,SSP2-4.5,1986-2005,4.02,6.62,8.92
South Carolina,SSP2-4.5,2020-2039,8.29,12.09,17.87
South Carolina,SSP2-4.5,2040-2059,10.08,15.40,27.29
South Carolina,SSP2-4.5,2080-2099,13.52,22.00,49.56
South Dakota,SSP2-4.5,1986-2005,2.29,3.49,4.48
South Dakota,SSP2-4.5,2020-2039,4.20,7.97,13.49
South Dakota,SSP2-4.5,2040-2059,6.14,11.33,25.15
South Dakota,SSP2-4.5,2080-2099,10.02,18.17,39.88
Tennessee,SSP2-4.5,1986-2005,3.15,4.74,6.41
Tennessee,SSP2-4.5,2020-2039,7.01,11.13,15.23
Tennessee,SSP2-4.5,2040-2059,8.40,16.59,26.99
Tennessee,SSP2-4.5,2080-2099,10.36,24.72,52.05
Texas,SSP2-4.5,1986-2005,28.74,34.25,38.91
Texas,SSP2-4.5,2020-2039,44.62,54.67,71.37
Texas,SSP2-4.5,2040-2059,56.90,68.72,77.57
Texas,SSP2-4.5,2080-2099,65.25,81.14,96.62
Utah,SSP2-4.5,1986-2005,3.21,4.42,6.15
Utah,SSP2-4.5,2020-2039,8.30,12.35,15.95
Utah,SSP2-4.5,2040-2059,9.70,17.55,22.09
Utah,SSP2-4.5,2080-2099,14.53,25.98,38.80
Vermont,SSP2-4.5,1986-2005,0.00,0.04,0.11
Vermont,SSP2-4.5,2020-2039,0.15,0.35,0.84
Vermont,SSP2-4.5,2040-2059,0.28,0.65,2.41
Vermont,SSP2-4.5,2080-2099,0.44,1.03,3.01
Virginia,SSP2-4.5,1986-2005,2.52,3.36,4.63
Virginia,SSP2-4.5,2020-2039,4.19,8.04,11.86
Virginia,SSP2-4.5,2040-2059,5.06,10.35,21.02
Virginia,SSP2-4.5,2080-2099,7.05,15.39,34.64
Washington,SSP2-4.5,1986-2005,2.38,3.12,4.07
Washington,SSP2-4.5,2020-2039,3.99,5.81,6.81
Washington,SSP2-4.5,2040-2059,4.62,6.73,9.29
Washington,SSP2-4.5,2080-2099,6.16,9.18,12.58
West Virginia,SSP2-4.5,1986-2005,0.66,0.87,1.39
West Virginia,SSP2-4.5,2020-2039,1.70,2.51,4.03
West Virginia,SSP2-4.5,2040-2059,1.56,3.60,8.74
West Virginia,SSP2-4.5,2080-2099,2.80,6.47,19.73
Wisconsin,SSP2-4.5,1986-2005,0.21,0.49,0.61
Wisconsin,SSP2-4.5,2020-2039,0.70,1.36,2.03
Wisconsin,SSP2-4.5,2040-2059,0.93,2.49,4.82
Wisconsin,SSP2-4.5,2080-2099,1.27,4.88,9.26
Wyoming,SSP2-4.5,1986-2005,1.81,2.48,3.46
Wyoming,SSP2-4.5,2020-2039,3.86,7.35,9.20
Wyoming,SSP2-4.5,2040-2059,5.02,10.30,13.08
Wyoming,SSP2-4.5,2080-2099,8.45,15.64,20.90
American Samoa,SSP2-4.5,1986-2005,0.00,0.00,0.00
American Samoa,SSP2-4.5,2020-2039,0.00,0.00,0.00
American Samoa,SSP2-4.5,2040-2059,0.00,0.00,0.00
American Samoa,SSP2-4.5,2080-2099,0.00,0.00,0.00
Guam,SSP2-4.5,1986-2005,0.00,0.00,0.00
Guam,SSP2-4.5,2020-2039,0.00,0.00,0.00
Guam,SSP2-4.5,2040-2059,0.00,0.00,0.00
Guam,SSP2-4.5,2080-2099,0.00,0.00,0.00
Commonwealth of the Northern Mariana Islands,SSP2-4.5,1986-2005,0.00,0.00,0.00
Commonwealth of the Northern Mariana Islands,SSP2-4.5,2020-2039,0.00,0.00,0.00
Commonwealth of the Northern Mariana Islands,SSP2-4.5,2040-2059,0.00,0.00,0.00
Commonwealth of the Northern Mariana Islands,SSP2-4.5,2080-2099,0.00,0.00,0.00
Puerto Rico,SSP2-4.5,1986-2005,0.00,0.00,0.00
Puerto Rico,SSP2-4.5,2020-2039,0.00,0.00,0.00
Puerto Rico,SSP2-4.5,2040-2059,0.00,0.00,0.00
Puerto Rico,SSP2-4.5,2080-2099,0.00,0.00,0.04
United States Virgin Islands,SSP2-4.5,1986-2005,0.00,0.00,0.00
United States Virgin Islands,SSP2-4.5,2020-2039,0.00,0.00,0.00
United States Virgin Islands,SSP2-4.5,2040-2059,0.00,0.00,0.00
United States Virgin Islands,SSP2-4.5,2080-2099,0.00,0.00,0.00
