Field Name,Country,Country_iso3,Region,Latitude,Longitude,Location,gwp,ch4_gwp_potential,Upstream Methane Emission Rate (NGSI Standard %),Upstream Methane Intensity (kgCH4/boe),Midstream Methane Intensity (kgCH4/boe),Downstream Methane Intensity (kgCH4/boe),Upstream Carbon Dioxide Intensity (kgCO2/boe),Midstream Carbon Dioxide Intensity (kgCO2/boe),Downstream Carbon Dioxide Intensity (kgCO2/boe),Total Emissions Intensity (kgCO2eq/boe),Total Carbon Dioxide Intensity (kgCO2/boe),Industry GHG Responsibility (kgCO2eq/boe),Consumer GHG Responsibility (kgCO2eq/boe),Sulfur Content Weight Percent,API Category,Enhanced recovery,Fracked,Dry Gas,Flaring-to-Oil Ratio (scf flared/bbl),Energy Output of Oil and Gas Produced (MJ/d),Energy Output of Petroleum Products (MJ/d),Breakeven Oil Price (usd/bbl),Breakeven Gas Price (usd/kcf),Flare Rate,Oil or Gas or Condensate,Resource Type,Sour or Sweet
Abana,Cameroon,CMR,West Africa,4.1883,8.4868,Offshore,20,82.5,0.0,1.51646,0.00456,0.02176,40.39746,58.22485,390.57739,632.12125,507.29055,229.98585,402.13541,0.34787,Regular,1,False,0,342.6398,17792504.14688,16904298.04807,65.5,0.0,High Flare,Oil,Medium Oil,Sweet Oil
Abana,Cameroon,CMR,West Africa,4.1883,8.4868,Offshore,100,29.8,0.0,1.51646,0.00446,0.0217,40.39746,57.89893,390.65803,551.48816,507.04528,149.52494,401.96321,0.34787,Regular,1,False,0,342.6398,17792504.14688,16904298.04807,65.5,0.0,High Flare,Oil,Medium Oil,Sweet Oil
Abqaiq,Saudi Arabia,SAU,Middle East,25.9722,49.7631,Onshore,20,82.5,0.0,0.81789,0.00417,0.0218,50.89731,53.99682,356.97793,545.13609,474.99996,172.09188,373.0442,1.89636,Regular,1,False,0,128.34808,712989175.66179,587737276.37271,28.4,0.0,High Flare,Oil,Light Oil,Sour Oil
Abqaiq,Saudi Arabia,SAU,Middle East,25.9722,49.7631,Onshore,100,29.8,0.0,0.81789,0.00408,0.02174,50.89731,53.67549,357.08254,501.35315,474.78325,128.488,372.86515,1.89636,Regular,1,False,0,128.34808,712989175.66179,587737276.37271,28.4,0.0,High Flare,Oil,Light Oil,Sour Oil
Abu El Gharadiq,Egypt,EGY,North Africa,29.6723,28.5337,Onshore,20,82.5,0.0,2.08497,0.00458,0.02119,48.20841,58.645,363.88964,648.10884,481.41728,275.29911,372.80973,0.71726,Regular,1,False,0,372.9,211959.13468,193492.97287,16.5,0.0,High Flare,Oil,Light Oil,Sour Oil
Abu El Gharadiq,Egypt,EGY,North Africa,29.6723,28.5337,Onshore,100,29.8,0.0,2.08497,0.00448,0.02111,48.20841,58.23013,363.96866,537.43234,481.08143,164.84522,372.58713,0.71726,Regular,1,False,0,372.9,211959.13468,193492.97287,16.5,0.0,High Flare,Oil,Light Oil,Sour Oil
Abushar,Iran,IRN,Middle East,29.2715,49.4904,Offshore,20,82.5,0.56239,1.01886,0.00394,0.0203,23.56588,51.16116,386.59981,558.19941,473.50208,160.45362,397.7458,2.54745,Regular,1,False,0,209.66395,445522932.76677,378968433.16392,10.5,0.0,High Flare,Oil,Medium Oil,Sour Oil
Abushar,Iran,IRN,Middle East,29.2715,49.4904,Offshore,100,29.8,0.56239,1.01886,0.00385,0.02025,23.56588,50.87513,386.67451,503.87588,473.29075,106.2797,397.59619,2.54745,Regular,1,False,0,209.66395,445522932.76677,378968433.16392,10.5,0.0,High Flare,Oil,Medium Oil,Sour Oil
AfiesereEriemu,Nigeria,NGA,West Africa,5.5394,6.0263,Onshore,20,82.5,0.54179,1.4573,0.00421,0.02089,43.17268,55.49103,380.5941,615.13178,495.60935,223.35731,391.77447,0.93296,Regular,0,False,0,373.1,49975564.43499,44579503.64779,17.3,0.0,High Flare,Oil,Medium Oil,Sour Oil
AfiesereEriemu,Nigeria,NGA,West Africa,5.5394,6.0263,Onshore,100,29.8,0.54179,1.4573,0.00411,0.02083,43.17268,55.15867,380.67376,537.63841,495.35665,146.03724,391.60117,0.93296,Regular,0,False,0,373.1,49975564.43499,44579503.64779,17.3,0.0,High Flare,Oil,Medium Oil,Sour Oil
